NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	8	0.4505102038383484	0.017210238	Yes	
row_1	ME1	malic enzyme 1 [Source:HGNC Symbol;Acc:HGNC:6983]	37	0.38066405057907104	0.030695032	Yes	
row_2	CTSO	cathepsin O [Source:HGNC Symbol;Acc:HGNC:2542]	52	0.36868816614151	0.044408575	Yes	
row_3	OLR1	oxidized low density lipoprotein receptor 1 [Source:HGNC Symbol;Acc:HGNC:8133]	56	0.3656330108642578	0.058550213	Yes	
row_4	PLA2G4A	phospholipase A2 group IVA [Source:HGNC Symbol;Acc:HGNC:9035]	61	0.3625342547893524	0.07252096	Yes	
row_5	CPM	carboxypeptidase M [Source:HGNC Symbol;Acc:HGNC:2311]	86	0.3483273684978485	0.08494095	Yes	
row_6	PLAT	plasminogen activator, tissue type [Source:HGNC Symbol;Acc:HGNC:9051]	96	0.34272536635398865	0.09788859	Yes	
row_7	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	139	0.32223746180534363	0.10839292	Yes	
row_8	CPQ	carboxypeptidase Q [Source:HGNC Symbol;Acc:HGNC:16910]	185	0.3057996332645416	0.11810545	Yes	
row_9	CTSS	cathepsin S [Source:HGNC Symbol;Acc:HGNC:2545]	202	0.3007034957408905	0.12906222	Yes	
row_10	PLA2G7	phospholipase A2 group VII [Source:HGNC Symbol;Acc:HGNC:9040]	207	0.2995874285697937	0.14057267	Yes	
row_11	C3	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	253	0.28642603754997253	0.14952797	Yes	
row_12	GZMK	granzyme K [Source:HGNC Symbol;Acc:HGNC:4711]	255	0.28624841570854187	0.16066636	Yes	
row_13	LAMP2	lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]	259	0.2852999269962311	0.17166814	Yes	
row_14	ANXA5	annexin A5 [Source:HGNC Symbol;Acc:HGNC:543]	289	0.2793754041194916	0.18114424	Yes	
row_15	GZMB	granzyme B [Source:HGNC Symbol;Acc:HGNC:4709]	292	0.2787204086780548	0.19193862	Yes	
row_16	CTSC	cathepsin C [Source:HGNC Symbol;Acc:HGNC:2528]	352	0.2657771408557892	0.19939002	Yes	
row_17	HPCAL4	hippocalcin like 4 [Source:HGNC Symbol;Acc:HGNC:18212]	359	0.26422974467277527	0.20941894	Yes	
row_18	FCER1G	Fc fragment of IgE receptor Ig [Source:HGNC Symbol;Acc:HGNC:3611]	373	0.2617686688899994	0.21900325	Yes	
row_19	C1S	complement C1s [Source:HGNC Symbol;Acc:HGNC:1247]	435	0.253360390663147	0.22586979	Yes	
row_20	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	463	0.2501671314239502	0.23430382	Yes	
row_21	LGMN	legumain [Source:HGNC Symbol;Acc:HGNC:9472]	469	0.24905771017074585	0.2437895	Yes	
row_22	CSRP1	cysteine and glycine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:2469]	495	0.24540135264396667	0.2521368	Yes	
row_23	F8	coagulation factor VIII [Source:HGNC Symbol;Acc:HGNC:3546]	499	0.24496367573738098	0.26156202	Yes	
row_24	KYNU	kynureninase [Source:HGNC Symbol;Acc:HGNC:6469]	517	0.24156244099140167	0.27015746	Yes	
row_25	TFPI2	tissue factor pathway inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11761]	565	0.236593097448349	0.27706546	Yes	
row_26	GNB4	G protein subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:20731]	573	0.23550109565258026	0.28592172	Yes	
row_27	C1R	complement C1r [Source:HGNC Symbol;Acc:HGNC:1246]	589	0.23345597088336945	0.29429987	Yes	
row_28	SERPING1	serpin family G member 1 [Source:HGNC Symbol;Acc:HGNC:1228]	595	0.23281817138195038	0.30315083	Yes	
row_29	FN1	fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778]	598	0.23213933408260345	0.31212458	Yes	
row_30	LYN	LYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6735]	634	0.2286887764930725	0.31932092	Yes	
row_31	PLEK	pleckstrin [Source:HGNC Symbol;Acc:HGNC:9070]	651	0.22665806114673615	0.32738358	Yes	
row_32	F3	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	654	0.22636832296848297	0.33613178	Yes	
row_33	DUSP6	dual specificity phosphatase 6 [Source:HGNC Symbol;Acc:HGNC:3072]	681	0.22297872602939606	0.3435529	Yes	
row_34	PLSCR1	phospholipid scramblase 1 [Source:HGNC Symbol;Acc:HGNC:9092]	708	0.22082340717315674	0.35088977	Yes	
row_35	SERPINB2	serpin family B member 2 [Source:HGNC Symbol;Acc:HGNC:8584]	711	0.22069308161735535	0.35941613	Yes	
row_36	SPOCK2	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:13564]	735	0.21901845932006836	0.3668318	Yes	
row_37	CTSH	cathepsin H [Source:HGNC Symbol;Acc:HGNC:2535]	771	0.21555332839488983	0.37351474	Yes	
row_38	LCP2	lymphocyte cytosolic protein 2 [Source:HGNC Symbol;Acc:HGNC:6529]	807	0.211473748087883	0.38003823	Yes	
row_39	MMP14	matrix metallopeptidase 14 [Source:HGNC Symbol;Acc:HGNC:7160]	815	0.21083888411521912	0.38793057	Yes	
row_40	CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	838	0.20960946381092072	0.39502823	Yes	
row_41	CASP4	caspase 4 [Source:HGNC Symbol;Acc:HGNC:1505]	870	0.20654618740081787	0.40155822	Yes	
row_42	C1QA	complement C1q A chain [Source:HGNC Symbol;Acc:HGNC:1241]	930	0.20187662541866302	0.40651205	Yes	
row_43	CTSL	cathepsin L [Source:HGNC Symbol;Acc:HGNC:2537]	944	0.20105114579200745	0.41372317	Yes	
row_44	GCA	grancalcin [Source:HGNC Symbol;Acc:HGNC:15990]	1006	0.19657880067825317	0.41837037	Yes	
row_45	LIPA	lipase A, lysosomal acid type [Source:HGNC Symbol;Acc:HGNC:6617]	1012	0.19630974531173706	0.42579436	Yes	
row_46	CCL5	C-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10632]	1018	0.1957968920469284	0.43319833	Yes	
