NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NBN	nibrin [Source:HGNC Symbol;Acc:HGNC:7652]	1439	0.17104680836200714	-0.055709623	No	
row_1	MYC	MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]	1454	0.17015936970710754	-0.040574532	No	
row_2	PRPS1	phosphoribosyl pyrophosphate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:9462]	2491	0.13419872522354126	-0.07965383	No	
row_3	BRMS1L	BRMS1 like transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:20512]	3595	0.1102021336555481	-0.124300644	No	
row_4	GSPT1	G1 to S phase transition 1 [Source:HGNC Symbol;Acc:HGNC:4621]	4215	0.09912768006324768	-0.14588745	No	
row_5	ASF1A	anti-silencing function 1A histone chaperone [Source:HGNC Symbol;Acc:HGNC:20995]	4793	0.09033355861902237	-0.16620198	No	
row_6	TUBG1	tubulin gamma 1 [Source:HGNC Symbol;Acc:HGNC:12417]	5153	0.08523926883935928	-0.17613988	No	
row_7	UBR7	ubiquitin protein ligase E3 component n-recognin 7 [Source:HGNC Symbol;Acc:HGNC:20344]	5184	0.08481010049581528	-0.16974221	No	
row_8	RAD1	RAD1 checkpoint DNA exonuclease [Source:HGNC Symbol;Acc:HGNC:9806]	5253	0.08385927230119705	-0.16532439	No	
row_9	SLBP	stem-loop binding protein [Source:HGNC Symbol;Acc:HGNC:10904]	5298	0.08327838778495789	-0.15976606	No	
row_10	SMC6	structural maintenance of chromosomes 6 [Source:HGNC Symbol;Acc:HGNC:20466]	5601	0.07947731018066406	-0.16740297	No	
row_11	PMS2	PMS1 homolog 2, mismatch repair system component [Source:HGNC Symbol;Acc:HGNC:9122]	5646	0.07873927801847458	-0.16226697	No	
row_12	RFC1	replication factor C subunit 1 [Source:HGNC Symbol;Acc:HGNC:9969]	6391	0.06925056874752045	-0.19285528	No	
row_13	ZW10	zw10 kinetochore protein [Source:HGNC Symbol;Acc:HGNC:13194]	6481	0.06821580231189728	-0.1909382	No	
row_14	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	6584	0.06689684838056564	-0.18979092	No	
row_15	EIF2S1	eukaryotic translation initiation factor 2 subunit alpha [Source:HGNC Symbol;Acc:HGNC:3265]	6618	0.06653229147195816	-0.18524316	No	
row_16	RPA2	replication protein A2 [Source:HGNC Symbol;Acc:HGNC:10290]	6637	0.06629499793052673	-0.17997089	No	
row_17	PRDX4	peroxiredoxin 4 [Source:HGNC Symbol;Acc:HGNC:17169]	6656	0.06611141562461853	-0.17471568	No	
row_18	RAD50	RAD50 double strand break repair protein [Source:HGNC Symbol;Acc:HGNC:9816]	7003	0.06222604215145111	-0.18614772	No	
row_19	PPP1R8	protein phosphatase 1 regulatory subunit 8 [Source:HGNC Symbol;Acc:HGNC:9296]	7324	0.0589020773768425	-0.1965949	No	
row_20	USP1	ubiquitin specific peptidase 1 [Source:HGNC Symbol;Acc:HGNC:12607]	7377	0.058314114809036255	-0.19375747	No	
row_21	NOLC1	nucleolar and coiled-body phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:15608]	7470	0.05730176717042923	-0.19300519	No	
row_22	KPNA2	karyopherin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6395]	7570	0.056458596140146255	-0.19267976	No	
row_23	DCK	deoxycytidine kinase [Source:HGNC Symbol;Acc:HGNC:2704]	7644	0.05561588704586029	-0.19113863	No	
row_24	RPA3	replication protein A3 [Source:HGNC Symbol;Acc:HGNC:10291]	7665	0.05544542521238327	-0.18697536	No	
row_25	TFRC	transferrin receptor [Source:HGNC Symbol;Acc:HGNC:11763]	7672	0.05540965497493744	-0.1821186	No	
row_26	LYAR	Ly1 antibody reactive [Source:HGNC Symbol;Acc:HGNC:26021]	7689	0.05523091182112694	-0.17777619	No	
row_27	ORC2	origin recognition complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:8488]	7767	0.05450689047574997	-0.17653733	No	
row_28	ANP32E	acidic nuclear phosphoprotein 32 family member E [Source:HGNC Symbol;Acc:HGNC:16673]	7794	0.05418260768055916	-0.17279021	No	
row_29	POLE4	DNA polymerase epsilon 4, accessory subunit [Source:HGNC Symbol;Acc:HGNC:18755]	7850	0.05358736217021942	-0.1705419	No	
row_30	PSIP1	PC4 and SFRS1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:9527]	7949	0.05252864584326744	-0.17053235	No	
row_31	IPO7	importin 7 [Source:HGNC Symbol;Acc:HGNC:9852]	7966	0.05239467695355415	-0.16645382	No	
row_32	CDKN2C	cyclin dependent kinase inhibitor 2C [Source:HGNC Symbol;Acc:HGNC:1789]	7972	0.05233599245548248	-0.16183327	No	
row_33	NUP153	nucleoporin 153 [Source:HGNC Symbol;Acc:HGNC:8062]	8020	0.05181495100259781	-0.15935168	No	
row_34	NUDT21	nudix hydrolase 21 [Source:HGNC Symbol;Acc:HGNC:13870]	8081	0.05112558975815773	-0.15758127	No	
row_35	MLH1	mutL homolog 1 [Source:HGNC Symbol;Acc:HGNC:7127]	8109	0.050849441438913345	-0.15419404	No	
row_36	RAN	RAN, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9846]	8389	0.04806211218237877	-0.16360907	No	
row_37	ING3	inhibitor of growth family member 3 [Source:HGNC Symbol;Acc:HGNC:14587]	8539	0.046648021787405014	-0.16668512	No	
row_38	STAG1	stromal antigen 1 [Source:HGNC Symbol;Acc:HGNC:11354]	8550	0.04650146886706352	-0.16285628	No	
row_39	XRCC6	X-ray repair cross complementing 6 [Source:HGNC Symbol;Acc:HGNC:4055]	8589	0.046028897166252136	-0.16046506	No	
row_40	RAD21	RAD21 cohesin complex component [Source:HGNC Symbol;Acc:HGNC:9811]	8593	0.04600232094526291	-0.15633425	No	
row_41	RPA1	replication protein A1 [Source:HGNC Symbol;Acc:HGNC:10289]	8601	0.04593092203140259	-0.15240917	No	
row_42	DCLRE1B	DNA cross-link repair 1B [Source:HGNC Symbol;Acc:HGNC:17641]	8625	0.04572877287864685	-0.14929928	No	
row_43	HUS1	HUS1 checkpoint clamp component [Source:HGNC Symbol;Acc:HGNC:5309]	8687	0.04505356028676033	-0.1481436	No	
row_44	AK2	adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362]	9012	0.04211382195353508	-0.16035189	No	
row_45	RBBP7	RB binding protein 7, chromatin remodeling factor [Source:HGNC Symbol;Acc:HGNC:9890]	9065	0.041552938520908356	-0.15907395	No	
row_46	SUV39H1	suppressor of variegation 3-9 homolog 1 [Source:HGNC Symbol;Acc:HGNC:11479]	9111	0.041153255850076675	-0.15748478	No	
row_47	GINS3	GINS complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:25851]	9417	0.03837468475103378	-0.16909528	No	
row_48	NAA38	N-alpha-acetyltransferase 38, NatC auxiliary subunit [Source:HGNC Symbol;Acc:HGNC:28212]	9481	0.03774934262037277	-0.16871874	No	
row_49	POP7	POP7 homolog, ribonuclease P/MRP subunit [Source:HGNC Symbol;Acc:HGNC:19949]	9612	0.03640878200531006	-0.17180176	No	
row_50	CCP110	centriolar coiled-coil protein 110 [Source:HGNC Symbol;Acc:HGNC:24342]	9666	0.035867687314748764	-0.17110257	No	
row_51	TUBB	tubulin beta class I [Source:HGNC Symbol;Acc:HGNC:20778]	9757	0.03505198657512665	-0.17232089	No	
row_52	CTPS1	CTP synthase 1 [Source:HGNC Symbol;Acc:HGNC:2519]	9893	0.03351711481809616	-0.17592183	No	
row_53	RAD51C	RAD51 paralog C [Source:HGNC Symbol;Acc:HGNC:9820]	9945	0.03299100697040558	-0.17539074	No	
row_54	DONSON	DNA replication fork stabilization factor DONSON [Source:HGNC Symbol;Acc:HGNC:2993]	10334	0.029229532927274704	-0.1919833	No	
row_55	CSE1L	chromosome segregation 1 like [Source:HGNC Symbol;Acc:HGNC:2431]	10412	0.028460726141929626	-0.19316784	No	
row_56	TBRG4	transforming growth factor beta regulator 4 [Source:HGNC Symbol;Acc:HGNC:17443]	10618	0.026388240978121758	-0.2009162	No	
row_57	NOP56	NOP56 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:15911]	10860	0.024241644889116287	-0.21065614	No	
row_58	BARD1	BRCA1 associated RING domain 1 [Source:HGNC Symbol;Acc:HGNC:952]	10992	0.023001987487077713	-0.21503632	No	
row_59	XPO1	exportin 1 [Source:HGNC Symbol;Acc:HGNC:12825]	11046	0.022596251219511032	-0.21557193	No	
row_60	DCTPP1	dCTP pyrophosphatase 1 [Source:HGNC Symbol;Acc:HGNC:28777]	11069	0.022398440167307854	-0.21458295	No	
row_61	CCNE1	cyclin E1 [Source:HGNC Symbol;Acc:HGNC:1589]	11200	0.021188849583268166	-0.21908207	No	
