NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL13RA2	interleukin 13 receptor subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:5975]	70	0.3578047454357147	0.034613863	Yes	
row_1	GSTM3	glutathione S-transferase mu 3 [Source:HGNC Symbol;Acc:HGNC:4635]	427	0.25421807169914246	0.044012047	Yes	
row_2	NEFH	neurofilament heavy [Source:HGNC Symbol;Acc:HGNC:7737]	501	0.24489928781986237	0.06645878	Yes	
row_3	ADCYAP1	adenylate cyclase activating polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:241]	531	0.24030430614948273	0.09059936	Yes	
row_4	MLF1	myeloid leukemia factor 1 [Source:HGNC Symbol;Acc:HGNC:7125]	759	0.21707290410995483	0.10244367	Yes	
row_5	HSPA4L	heat shock protein family A (Hsp70) member 4 like [Source:HGNC Symbol;Acc:HGNC:17041]	809	0.2112581580877304	0.12250016	Yes	
row_6	SPATA6	spermatogenesis associated 6 [Source:HGNC Symbol;Acc:HGNC:18309]	919	0.20274658501148224	0.13867384	Yes	
row_7	SCG3	secretogranin III [Source:HGNC Symbol;Acc:HGNC:13707]	1204	0.18358983099460602	0.14412609	Yes	
row_8	HSPA1L	heat shock protein family A (Hsp70) member 1 like [Source:HGNC Symbol;Acc:HGNC:5234]	1350	0.1755356341600418	0.15561722	Yes	
row_9	SCG5	secretogranin V [Source:HGNC Symbol;Acc:HGNC:10816]	1613	0.16398794949054718	0.16007441	Yes	
row_10	STAM2	signal transducing adaptor molecule 2 [Source:HGNC Symbol;Acc:HGNC:11358]	1701	0.16048592329025269	0.17284112	Yes	
row_11	NPHP1	nephrocystin 1 [Source:HGNC Symbol;Acc:HGNC:7905]	1898	0.15284889936447144	0.17938708	Yes	
row_12	RAD17	RAD17 checkpoint clamp loader component [Source:HGNC Symbol;Acc:HGNC:9807]	2048	0.14756515622138977	0.1877024	Yes	
row_13	MAP7	microtubule associated protein 7 [Source:HGNC Symbol;Acc:HGNC:6869]	2177	0.14400261640548706	0.1966804	Yes	
row_14	IDE	insulin degrading enzyme [Source:HGNC Symbol;Acc:HGNC:5381]	2275	0.1401822566986084	0.20678973	Yes	
row_15	PCSK1N	proprotein convertase subtilisin/kexin type 1 inhibitor [Source:HGNC Symbol;Acc:HGNC:17301]	2309	0.13884156942367554	0.21993159	Yes	
row_16	ACE	angiotensin I converting enzyme [Source:HGNC Symbol;Acc:HGNC:2707]	2359	0.13732729852199554	0.23211846	Yes	
row_17	VDAC3	voltage dependent anion channel 3 [Source:HGNC Symbol;Acc:HGNC:12674]	2443	0.13513338565826416	0.24238494	Yes	
row_18	HSPA2	heat shock protein family A (Hsp70) member 2 [Source:HGNC Symbol;Acc:HGNC:5235]	2445	0.13510693609714508	0.25671688	Yes	
row_19	PRKAR2A	protein kinase cAMP-dependent type II regulatory subunit alpha [Source:HGNC Symbol;Acc:HGNC:9391]	2513	0.13361148536205292	0.26761517	Yes	
row_20	CLGN	calmegin [Source:HGNC Symbol;Acc:HGNC:2060]	2730	0.12807731330394745	0.27053204	Yes	
row_21	SEPTIN4	septin 4 [Source:HGNC Symbol;Acc:HGNC:9165]	3046	0.12144716084003448	0.26783147	Yes	
