NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OLR1	oxidized low density lipoprotein receptor 1 [Source:HGNC Symbol;Acc:HGNC:8133]	56	0.3656330108642578	0.010972231	Yes	
row_1	CXCL10	C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]	114	0.33355408906936646	0.02068749	Yes	
row_2	GPR183	G protein-coupled receptor 183 [Source:HGNC Symbol;Acc:HGNC:3128]	116	0.33259081840515137	0.033153817	Yes	
row_3	IL18	interleukin 18 [Source:HGNC Symbol;Acc:HGNC:5986]	119	0.33231404423713684	0.045559958	Yes	
row_4	TLR2	toll like receptor 2 [Source:HGNC Symbol;Acc:HGNC:11848]	136	0.3234008848667145	0.056933843	Yes	
row_5	IFIT2	interferon induced protein with tetratricopeptide repeats 2 [Source:HGNC Symbol;Acc:HGNC:5409]	196	0.30297863483428955	0.06539894	Yes	
row_6	PLK2	polo like kinase 2 [Source:HGNC Symbol;Acc:HGNC:19699]	203	0.30048006772994995	0.076408	Yes	
row_7	KLF4	Kruppel like factor 4 [Source:HGNC Symbol;Acc:HGNC:6348]	228	0.29355818033218384	0.086260654	Yes	
row_8	CCL2	C-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:10618]	250	0.2873935401439667	0.09603064	Yes	
row_9	RIPK2	receptor interacting serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:10020]	274	0.2821897864341736	0.10550525	Yes	
row_10	SGK1	serum/glucocorticoid regulated kinase 1 [Source:HGNC Symbol;Acc:HGNC:10810]	324	0.27232152223587036	0.11331439	Yes	
row_11	CXCL11	C-X-C motif chemokine ligand 11 [Source:HGNC Symbol;Acc:HGNC:10638]	335	0.2693883776664734	0.12295431	Yes	
row_12	DDX58	DExD/H-box helicase 58 [Source:HGNC Symbol;Acc:HGNC:19102]	336	0.26938360929489136	0.13309179	Yes	
row_13	GEM	GTP binding protein overexpressed in skeletal muscle [Source:HGNC Symbol;Acc:HGNC:4234]	378	0.26121649146080017	0.14088121	Yes	
row_14	IL6ST	interleukin 6 signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]	380	0.2609024941921234	0.15064976	Yes	
row_15	BCL6	BCL6 transcription repressor [Source:HGNC Symbol;Acc:HGNC:1001]	400	0.2583845853805542	0.15942761	Yes	
row_16	SDC4	syndecan 4 [Source:HGNC Symbol;Acc:HGNC:10661]	444	0.252403199672699	0.16678582	Yes	
row_17	INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	449	0.2519024610519409	0.17606635	Yes	
row_18	NR4A2	nuclear receptor subfamily 4 group A member 2 [Source:HGNC Symbol;Acc:HGNC:7981]	454	0.25105392932891846	0.18531495	Yes	
row_19	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	463	0.2501671314239502	0.1943311	Yes	
row_20	SERPINB8	serpin family B member 8 [Source:HGNC Symbol;Acc:HGNC:8952]	475	0.2487909495830536	0.20314611	Yes	
row_21	ABCA1	ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]	507	0.24313142895698547	0.21075268	Yes	
row_22	KYNU	kynureninase [Source:HGNC Symbol;Acc:HGNC:6469]	517	0.24156244099140167	0.21939524	Yes	
row_23	DNAJB4	DnaJ heat shock protein family (Hsp40) member B4 [Source:HGNC Symbol;Acc:HGNC:14886]	523	0.24105167388916016	0.22821766	Yes	
row_24	CCL4	C-C motif chemokine ligand 4 [Source:HGNC Symbol;Acc:HGNC:10630]	551	0.237898588180542	0.2358264	Yes	
row_25	PTGS2	prostaglandin-endoperoxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:9605]	552	0.23784121870994568	0.24477687	Yes	
row_26	TNFAIP6	TNF alpha induced protein 6 [Source:HGNC Symbol;Acc:HGNC:11898]	553	0.23780420422554016	0.25372595	Yes	
row_27	CD69	CD69 molecule [Source:HGNC Symbol;Acc:HGNC:1694]	563	0.23668789863586426	0.26218507	Yes	
row_28	PLEK	pleckstrin [Source:HGNC Symbol;Acc:HGNC:9070]	651	0.22665806114673615	0.2663844	Yes	
row_29	F3	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	654	0.22636832296848297	0.27480355	Yes	
row_30	IFIH1	interferon induced with helicase C domain 1 [Source:HGNC Symbol;Acc:HGNC:18873]	677	0.2232469767332077	0.2821098	Yes	
row_31	CD44	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]	686	0.22268255054950714	0.29009163	Yes	
row_32	TIPARP	TCDD inducible poly(ADP-ribose) polymerase [Source:HGNC Symbol;Acc:HGNC:23696]	698	0.22172372043132782	0.29788807	Yes	
row_33	NR4A3	nuclear receptor subfamily 4 group A member 3 [Source:HGNC Symbol;Acc:HGNC:7982]	704	0.2212269902229309	0.30596444	Yes	
row_34	SERPINB2	serpin family B member 2 [Source:HGNC Symbol;Acc:HGNC:8584]	711	0.22069308161735535	0.31397095	Yes	
row_35	CCN1	cellular communication network factor 1 [Source:HGNC Symbol;Acc:HGNC:2654]	722	0.22016407549381256	0.32175845	Yes	
row_36	SAT1	spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]	723	0.22004030644893646	0.33003902	Yes	
row_37	TNFRSF9	TNF receptor superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11924]	742	0.21857565641403198	0.33736858	Yes	
row_38	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	792	0.21281610429286957	0.3429384	Yes	
row_39	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	813	0.21101608872413635	0.3498839	Yes	
row_40	NAMPT	nicotinamide phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30092]	827	0.21024663746356964	0.3571489	Yes	
row_41	NFE2L2	nuclear factor, erythroid 2 like 2 [Source:HGNC Symbol;Acc:HGNC:7782]	910	0.2034003734588623	0.36072186	Yes	
row_42	PDLIM5	PDZ and LIM domain 5 [Source:HGNC Symbol;Acc:HGNC:17468]	924	0.20242610573768616	0.3676925	Yes	
row_43	DUSP1	dual specificity phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3064]	968	0.1991315633058548	0.373046	Yes	
