NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ABCB1	ATP binding cassette subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:40]	122	0.3300533592700958	0.01879387	Yes	
row_1	IL6ST	interleukin 6 signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]	380	0.2609024941921234	0.025675153	Yes	
row_2	GPX3	glutathione peroxidase 3 [Source:HGNC Symbol;Acc:HGNC:4555]	415	0.2559342086315155	0.04325866	Yes	
row_3	TUBA4A	tubulin alpha 4a [Source:HGNC Symbol;Acc:HGNC:12407]	525	0.2409752756357193	0.055990502	Yes	
row_4	LYN	LYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6735]	634	0.2286887764930725	0.06784683	Yes	
row_5	ATP6V1C1	ATPase H+ transporting V1 subunit C1 [Source:HGNC Symbol;Acc:HGNC:856]	755	0.21760787069797516	0.0782727	Yes	
row_6	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	792	0.21281610429286957	0.09251	Yes	
row_7	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	813	0.21101608872413635	0.10740647	Yes	
row_8	MMP14	matrix metallopeptidase 14 [Source:HGNC Symbol;Acc:HGNC:7160]	815	0.21083888411521912	0.12323332	Yes	
row_9	CREG1	cellular repressor of E1A stimulated genes 1 [Source:HGNC Symbol;Acc:HGNC:2351]	880	0.20568028092384338	0.13554253	Yes	
row_10	EPHX1	epoxide hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:3401]	1037	0.1940399706363678	0.1424056	Yes	
row_11	PPT1	palmitoyl-protein thioesterase 1 [Source:HGNC Symbol;Acc:HGNC:9325]	1048	0.19309474527835846	0.15644926	Yes	
row_12	ICAM1	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]	1060	0.19262036681175232	0.17040752	Yes	
row_13	CYB5R1	cytochrome b5 reductase 1 [Source:HGNC Symbol;Acc:HGNC:13397]	1157	0.1869259774684906	0.17971507	Yes	
row_14	HMOX1	heme oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:5013]	1190	0.1843288093805313	0.19200592	Yes	
row_15	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]	1203	0.18360592424869537	0.2052357	Yes	
row_16	CXCL2	C-X-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:4603]	1395	0.1732548624277115	0.20879517	Yes	
row_17	TAP1	transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]	1404	0.17279121279716492	0.22140929	Yes	
row_18	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	1474	0.1695055514574051	0.23074614	Yes	
row_19	PDLIM3	PDZ and LIM domain 3 [Source:HGNC Symbol;Acc:HGNC:20767]	1529	0.16748498380184174	0.24067587	Yes	
row_20	PRKCD	protein kinase C delta [Source:HGNC Symbol;Acc:HGNC:9399]	1697	0.1607358157634735	0.24448471	Yes	
row_21	NR4A1	nuclear receptor subfamily 4 group A member 1 [Source:HGNC Symbol;Acc:HGNC:7980]	1732	0.15953947603702545	0.25480953	Yes	
row_22	DNAJA1	DnaJ heat shock protein family (Hsp40) member A1 [Source:HGNC Symbol;Acc:HGNC:5229]	1829	0.15550723671913147	0.2617512	Yes	
row_23	RAB27A	RAB27A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9766]	1901	0.1527421772480011	0.2697264	Yes	
row_24	SOD2	superoxide dismutase 2 [Source:HGNC Symbol;Acc:HGNC:11180]	1934	0.15166404843330383	0.27955753	Yes	
row_25	PPP1R2	protein phosphatase 1 regulatory inhibitor subunit 2 [Source:HGNC Symbol;Acc:HGNC:9288]	1956	0.15101833641529083	0.2898864	Yes	
row_26	SELENOW	selenoprotein W [Source:HGNC Symbol;Acc:HGNC:10752]	2118	0.14558833837509155	0.2928526	Yes	
row_27	HLA-F	major histocompatibility complex, class I, F [Source:HGNC Symbol;Acc:HGNC:4963]	2146	0.14484335482120514	0.30241847	Yes	
row_28	CDO1	cysteine dioxygenase type 1 [Source:HGNC Symbol;Acc:HGNC:1795]	2301	0.13909830152988434	0.30524367	Yes	
row_29	ATF3	activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785]	2365	0.13720470666885376	0.31244624	Yes	
row_30	HSPA2	heat shock protein family A (Hsp70) member 2 [Source:HGNC Symbol;Acc:HGNC:5235]	2445	0.13510693609714508	0.3186961	Yes	
row_31	SLC25A4	solute carrier family 25 member 4 [Source:HGNC Symbol;Acc:HGNC:10990]	2469	0.13455434143543243	0.32768586	Yes	
row_32	TACR3	tachykinin receptor 3 [Source:HGNC Symbol;Acc:HGNC:11528]	2664	0.12974560260772705	0.32782	Yes	
row_33	BTG2	BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]	2729	0.12809129059314728	0.33428663	Yes	
row_34	RHOB	ras homolog family member B [Source:HGNC Symbol;Acc:HGNC:668]	2767	0.12747417390346527	0.34204787	Yes	
row_35	SQSTM1	sequestosome 1 [Source:HGNC Symbol;Acc:HGNC:11280]	2791	0.12702108919620514	0.35047036	Yes	
row_36	HTR7	5-hydroxytryptamine receptor 7 [Source:HGNC Symbol;Acc:HGNC:5302]	2879	0.12540005147457123	0.35559195	Yes	
row_37	IRF1	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]	3016	0.12226475775241852	0.3580436	Yes	
row_38	FOSB	FosB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3797]	3209	0.11781568080186844	0.35737875	Yes	
row_39	GLS	glutaminase [Source:HGNC Symbol;Acc:HGNC:4331]	3515	0.1117684543132782	0.35064584	Yes	
row_40	HSPA13	heat shock protein family A (Hsp70) member 13 [Source:HGNC Symbol;Acc:HGNC:11375]	3531	0.11141471564769745	0.35829052	Yes	
row_41	ATP6V1F	ATPase H+ transporting V1 subunit F [Source:HGNC Symbol;Acc:HGNC:16832]	3567	0.11075252294540405	0.36489192	Yes	
row_42	DLG4	discs large MAGUK scaffold protein 4 [Source:HGNC Symbol;Acc:HGNC:2903]	3714	0.10826211422681808	0.36579245	Yes	
row_43	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	3738	0.10775517672300339	0.3727642	Yes	
row_44	YKT6	YKT6 v-SNARE homolog [Source:HGNC Symbol;Acc:HGNC:16959]	3860	0.10556390881538391	0.37470332	Yes	
