NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BIRC3	baculoviral IAP repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:591]	1	0.9158815741539001	0.040264476	Yes	
row_1	VCAM1	vascular cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:12663]	76	0.688167929649353	0.066874415	Yes	
row_2	ITGA4	integrin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6140]	171	0.5901232957839966	0.088173866	Yes	
row_3	LYN	LYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6735]	252	0.5400108695030212	0.107963935	Yes	
row_4	UBD	ubiquitin D [Source:HGNC Symbol;Acc:HGNC:18795]	273	0.5313695669174194	0.13035826	Yes	
row_5	EPB41L2	erythrocyte membrane protein band 4.1 like 2 [Source:HGNC Symbol;Acc:HGNC:3379]	429	0.4734119176864624	0.14348608	Yes	
row_6	PLS3	plastin 3 [Source:HGNC Symbol;Acc:HGNC:9091]	519	0.4455891251564026	0.1586723	Yes	
row_7	NEDD9	neural precursor cell expressed, developmentally down-regulated 9 [Source:HGNC Symbol;Acc:HGNC:7733]	612	0.4176844656467438	0.17248103	Yes	
row_8	FRMD6	FERM domain containing 6 [Source:HGNC Symbol;Acc:HGNC:19839]	639	0.40964561700820923	0.189219	Yes	
row_9	B2M	beta-2-microglobulin [Source:HGNC Symbol;Acc:HGNC:914]	657	0.40491336584091187	0.20619637	Yes	
row_10	EGFR	epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236]	750	0.37662893533706665	0.21819794	Yes	
row_11	LILRB1	leukocyte immunoglobulin like receptor B1 [Source:HGNC Symbol;Acc:HGNC:6605]	873	0.3511115312576294	0.22758402	Yes	
row_12	ANXA11	annexin A11 [Source:HGNC Symbol;Acc:HGNC:535]	875	0.3509589433670044	0.24298239	Yes	
row_13	PTPN14	protein tyrosine phosphatase non-receptor type 14 [Source:HGNC Symbol;Acc:HGNC:9647]	924	0.34188324213027954	0.2556433	Yes	
row_14	STAT1	signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]	975	0.3302384316921234	0.26769218	Yes	
row_15	JAK2	Janus kinase 2 [Source:HGNC Symbol;Acc:HGNC:6192]	1055	0.3173503875732422	0.27773118	Yes	
row_16	MSN	moesin [Source:HGNC Symbol;Acc:HGNC:7373]	1111	0.3085900545120239	0.28857842	Yes	
row_17	ATM	ATM serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:795]	1181	0.2954607605934143	0.29815134	Yes	
row_18	FERMT3	fermitin family member 3 [Source:HGNC Symbol;Acc:HGNC:23151]	1183	0.29496684670448303	0.3110851	Yes	
row_19	EZR	ezrin [Source:HGNC Symbol;Acc:HGNC:12691]	1360	0.2707282304763794	0.3142468	Yes	
row_20	MYH9	myosin heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:7579]	1363	0.27052733302116394	0.32605508	Yes	
row_21	EPS15	epidermal growth factor receptor pathway substrate 15 [Source:HGNC Symbol;Acc:HGNC:3419]	1474	0.25703486800193787	0.3318971	Yes	
row_22	FRMD4B	FERM domain containing 4B [Source:HGNC Symbol;Acc:HGNC:24886]	1732	0.2278403341770172	0.32914177	Yes	
row_23	MAP3K1	mitogen-activated protein kinase kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6848]	1814	0.2206886112689972	0.33482653	Yes	
row_24	OASL	2'-5'-oligoadenylate synthetase like [Source:HGNC Symbol;Acc:HGNC:8090]	1938	0.2096002846956253	0.337934	Yes	
row_25	JAK1	Janus kinase 1 [Source:HGNC Symbol;Acc:HGNC:6190]	1942	0.20910465717315674	0.3469889	Yes	
row_26	HERPUD1	homocysteine inducible ER protein with ubiquitin like domain 1 [Source:HGNC Symbol;Acc:HGNC:13744]	2057	0.19990277290344238	0.35011718	Yes	
