NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OMD	osteomodulin [Source:HGNC Symbol;Acc:HGNC:8134]	96	0.6638157367706299	0.024498248	Yes	
row_1	C3	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	282	0.5280853509902954	0.038580757	Yes	
row_2	SPARCL1	SPARC like 1 [Source:HGNC Symbol;Acc:HGNC:11220]	374	0.49025458097457886	0.055673294	Yes	
row_3	CD302	CD302 molecule [Source:HGNC Symbol;Acc:HGNC:30843]	376	0.4896177351474762	0.07721714	Yes	
row_4	ITIH5	inter-alpha-trypsin inhibitor heavy chain 5 [Source:HGNC Symbol;Acc:HGNC:21449]	481	0.4559982717037201	0.09215184	Yes	
row_5	NABP1	nucleic acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:26232]	491	0.4538898766040802	0.11172181	Yes	
row_6	FABP4	fatty acid binding protein 4 [Source:HGNC Symbol;Acc:HGNC:3559]	530	0.44101619720458984	0.12928066	Yes	
row_7	SQOR	sulfide quinone oxidoreductase [Source:HGNC Symbol;Acc:HGNC:20390]	533	0.4398725926876068	0.14858082	Yes	
row_8	CAVIN2	caveolae associated protein 2 [Source:HGNC Symbol;Acc:HGNC:10690]	800	0.3659125864505768	0.15147956	Yes	
row_9	GPX3	glutathione peroxidase 3 [Source:HGNC Symbol;Acc:HGNC:4555]	820	0.36200693249702454	0.16649951	Yes	
row_10	SSPN	sarcospan [Source:HGNC Symbol;Acc:HGNC:11322]	912	0.34330758452415466	0.17711124	Yes	
row_11	RREB1	ras responsive element binding protein 1 [Source:HGNC Symbol;Acc:HGNC:10449]	913	0.3430881202220917	0.19224246	Yes	
row_12	CD36	CD36 molecule [Source:HGNC Symbol;Acc:HGNC:1663]	920	0.3421918451786041	0.20703551	Yes	
row_13	LIFR	LIF receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6597]	933	0.3397529423236847	0.22142239	Yes	
row_14	ABCA1	ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]	956	0.3339047431945801	0.23505363	Yes	
row_15	CAVIN1	caveolae associated protein 1 [Source:HGNC Symbol;Acc:HGNC:9688]	970	0.33074817061424255	0.24899359	Yes	
