NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IQGAP2	IQ motif containing GTPase activating protein 2 [Source:HGNC Symbol;Acc:HGNC:6111]	186	0.5791640877723694	0.0292723	Yes	
row_1	TNFAIP8	TNF alpha induced protein 8 [Source:HGNC Symbol;Acc:HGNC:17260]	291	0.5246238708496094	0.05898172	Yes	
row_2	SELENOP	selenoprotein P [Source:HGNC Symbol;Acc:HGNC:10751]	378	0.48937180638313293	0.0872402	Yes	
row_3	STEAP4	STEAP4 metalloreductase [Source:HGNC Symbol;Acc:HGNC:21923]	385	0.48819082975387573	0.11938237	Yes	
row_4	HPGD	15-hydroxyprostaglandin dehydrogenase [Source:HGNC Symbol;Acc:HGNC:5154]	529	0.44189855456352234	0.1416633	Yes	
row_5	ARID5B	AT-rich interaction domain 5B [Source:HGNC Symbol;Acc:HGNC:17362]	543	0.4365328848361969	0.17002621	Yes	
row_6	ELL2	elongation factor for RNA polymerase II 2 [Source:HGNC Symbol;Acc:HGNC:17064]	629	0.41191351413726807	0.19318725	Yes	
row_7	B2M	beta-2-microglobulin [Source:HGNC Symbol;Acc:HGNC:914]	657	0.40491336584091187	0.21875574	Yes	
row_8	MAF	MAF bZIP transcription factor [Source:HGNC Symbol;Acc:HGNC:6776]	797	0.366499125957489	0.23622462	Yes	
row_9	MYL12A	myosin light chain 12A [Source:HGNC Symbol;Acc:HGNC:16701]	801	0.36580008268356323	0.26038274	Yes	
row_10	PTK2B	protein tyrosine kinase 2 beta [Source:HGNC Symbol;Acc:HGNC:9612]	805	0.3648378252983093	0.28447694	Yes	
row_11	SAT1	spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]	843	0.3573308289051056	0.30638838	Yes	
row_12	MERTK	MER proto-oncogene, tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7027]	864	0.35231924057006836	0.32880875	Yes	
row_13	LIFR	LIF receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6597]	933	0.3397529423236847	0.34801683	Yes	
row_14	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1 [Source:HGNC Symbol;Acc:HGNC:217]	1086	0.3127846419811249	0.36127266	Yes	
row_15	INPP4B	inositol polyphosphate-4-phosphatase type II B [Source:HGNC Symbol;Acc:HGNC:6075]	1597	0.24326658248901367	0.35217845	Yes	
row_16	PLPP1	phospholipid phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:9228]	1610	0.24160680174827576	0.36763844	Yes	
row_17	SGK1	serum/glucocorticoid regulated kinase 1 [Source:HGNC Symbol;Acc:HGNC:10810]	1729	0.2281116247177124	0.37695184	Yes	
row_18	HERC3	HECT and RLD domain containing E3 ubiquitin protein ligase 3 [Source:HGNC Symbol;Acc:HGNC:4876]	1789	0.22280170023441315	0.38883448	Yes	
row_19	RPS6KA3	ribosomal protein S6 kinase A3 [Source:HGNC Symbol;Acc:HGNC:10432]	1832	0.2193516492843628	0.40132982	Yes	
row_20	HSD17B14	hydroxysteroid 17-beta dehydrogenase 14 [Source:HGNC Symbol;Acc:HGNC:23238]	1884	0.2145330309867859	0.41305926	Yes	
row_21	ELK4	ETS transcription factor ELK4 [Source:HGNC Symbol;Acc:HGNC:3326]	1958	0.20756566524505615	0.4232361	Yes	
row_22	ALDH1A3	aldehyde dehydrogenase 1 family member A3 [Source:HGNC Symbol;Acc:HGNC:409]	1988	0.20561456680297852	0.4354625	Yes	
row_23	ITGAV	integrin subunit alpha V [Source:HGNC Symbol;Acc:HGNC:6150]	2011	0.2038552463054657	0.4479187	Yes	
row_24	CCND3	cyclin D3 [Source:HGNC Symbol;Acc:HGNC:1585]	2171	0.1913152039051056	0.45275643	Yes	
row_25	CDC14B	cell division cycle 14B [Source:HGNC Symbol;Acc:HGNC:1719]	2543	0.16563096642494202	0.44538775	Yes	
row_26	INSIG1	insulin induced gene 1 [Source:HGNC Symbol;Acc:HGNC:6083]	2553	0.16448844969272614	0.45587197	Yes	
row_27	SPCS3	signal peptidase complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:26212]	2723	0.1544957458972931	0.45776784	Yes	
row_28	NGLY1	N-glycanase 1 [Source:HGNC Symbol;Acc:HGNC:17646]	2926	0.14284206926822662	0.45725495	Yes	
row_29	TMEM50A	transmembrane protein 50A [Source:HGNC Symbol;Acc:HGNC:30590]	2939	0.14233659207820892	0.4661186	Yes	
row_30	FKBP5	FKBP prolyl isomerase 5 [Source:HGNC Symbol;Acc:HGNC:3721]	3042	0.13667434453964233	0.4701486	Yes	
row_31	GUCY1A1	guanylate cyclase 1 soluble subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:4685]	3231	0.12748132646083832	0.4693084	Yes	
row_32	TPD52	tumor protein D52 [Source:HGNC Symbol;Acc:HGNC:12005]	3359	0.1216297298669815	0.47110054	Yes	
row_33	DBI	diazepam binding inhibitor, acyl-CoA binding protein [Source:HGNC Symbol;Acc:HGNC:2690]	3479	0.11675581336021423	0.472965	Yes	
row_34	NDRG1	N-myc downstream regulated 1 [Source:HGNC Symbol;Acc:HGNC:7679]	3499	0.11589127033948898	0.47972476	Yes	
row_35	ABCC4	ATP binding cassette subfamily C member 4 [Source:HGNC Symbol;Acc:HGNC:55]	3601	0.11203129589557648	0.4821668	Yes	
row_36	IDI1	isopentenyl-diphosphate delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:5387]	3664	0.10985545814037323	0.48639578	Yes	
