NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NPY1R	neuropeptide Y receptor Y1 [Source:HGNC Symbol;Acc:HGNC:7956]	80	0.6824897527694702	0.020281132	Yes	
row_1	FCMR	Fc fragment of IgM receptor [Source:HGNC Symbol;Acc:HGNC:14315]	97	0.6636191606521606	0.043076906	Yes	
row_2	ELF1	E74 like ETS transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3316]	228	0.5516473054885864	0.056217816	Yes	
row_3	RASGRP1	RAS guanyl releasing protein 1 [Source:HGNC Symbol;Acc:HGNC:9878]	314	0.5143235921859741	0.07027165	Yes	
row_4	KLF4	Kruppel like factor 4 [Source:HGNC Symbol;Acc:HGNC:6348]	347	0.5036922693252563	0.08658553	Yes	
row_5	CXCL12	C-X-C motif chemokine ligand 12 [Source:HGNC Symbol;Acc:HGNC:10672]	523	0.44430622458457947	0.09367058	Yes	
row_6	IL6ST	interleukin 6 signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]	616	0.41661667823791504	0.103902444	Yes	
row_7	ENDOD1	endonuclease domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29129]	684	0.3983464539051056	0.11472913	Yes	
row_8	PLAAT3	phospholipase A and acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:17825]	690	0.3960384726524353	0.12855972	Yes	
row_9	MYOF	myoferlin [Source:HGNC Symbol;Acc:HGNC:3656]	761	0.37474650144577026	0.13839808	Yes	
row_10	GJA1	gap junction protein alpha 1 [Source:HGNC Symbol;Acc:HGNC:4274]	764	0.37433117628097534	0.15160629	Yes	
row_11	PRSS23	serine protease 23 [Source:HGNC Symbol;Acc:HGNC:14370]	857	0.3547614812850952	0.15963916	Yes	
row_12	EGR3	early growth response 3 [Source:HGNC Symbol;Acc:HGNC:3240]	859	0.3543635606765747	0.17218727	Yes	
row_13	GFRA1	GDNF family receptor alpha 1 [Source:HGNC Symbol;Acc:HGNC:4243]	885	0.34822341799736023	0.18332253	Yes	
row_14	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	959	0.3335411846637726	0.1915467	Yes	
row_15	JAK2	Janus kinase 2 [Source:HGNC Symbol;Acc:HGNC:6192]	1055	0.3173503875732422	0.19810025	Yes	
