NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BIRC3	baculoviral IAP repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:591]	1	0.9158815741539001	0.021526307	Yes	
row_1	IL7R	interleukin 7 receptor [Source:HGNC Symbol;Acc:HGNC:6024]	43	0.7326422929763794	0.036745075	Yes	
row_2	IL2RG	interleukin 2 receptor subunit gamma [Source:HGNC Symbol;Acc:HGNC:6010]	62	0.6969210505485535	0.052267063	Yes	
row_3	F13A1	coagulation factor XIII A chain [Source:HGNC Symbol;Acc:HGNC:3531]	77	0.6862433552742004	0.067736596	Yes	
row_4	CXCL10	C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]	83	0.6795557737350464	0.08349652	Yes	
row_5	DOCK2	dedicator of cytokinesis 2 [Source:HGNC Symbol;Acc:HGNC:2988]	89	0.6766336560249329	0.09918761	Yes	
row_6	LY96	lymphocyte antigen 96 [Source:HGNC Symbol;Acc:HGNC:17156]	114	0.6440351009368896	0.1131651	Yes	
row_7	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	118	0.6381210088729858	0.12804846	Yes	
row_8	TFPI	tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]	145	0.6125331521034241	0.1411843	Yes	
row_9	IKZF1	IKAROS family zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:13176]	158	0.6009392142295837	0.15474379	Yes	
row_10	IRF8	interferon regulatory factor 8 [Source:HGNC Symbol;Acc:HGNC:5358]	183	0.5804173946380615	0.1672226	Yes	
row_11	CD37	CD37 molecule [Source:HGNC Symbol;Acc:HGNC:1666]	264	0.5341436862945557	0.17582412	Yes	
row_12	PTGS2	prostaglandin-endoperoxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:9605]	288	0.5256098508834839	0.18706155	Yes	
row_13	CCND2	cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]	309	0.5167421698570251	0.1982394	Yes	
row_14	KLF4	Kruppel like factor 4 [Source:HGNC Symbol;Acc:HGNC:6348]	347	0.5036922693252563	0.20826371	Yes	
row_15	ETS1	ETS proto-oncogene 1, transcription factor [Source:HGNC Symbol;Acc:HGNC:3488]	359	0.4973750710487366	0.21943325	Yes	
row_16	APOD	apolipoprotein D [Source:HGNC Symbol;Acc:HGNC:612]	366	0.4936482012271881	0.23076385	Yes	
row_17	SPARCL1	SPARC like 1 [Source:HGNC Symbol;Acc:HGNC:11220]	374	0.49025458097457886	0.24196473	Yes	
row_18	GNG11	G protein subunit gamma 11 [Source:HGNC Symbol;Acc:HGNC:4403]	390	0.48732811212539673	0.2526985	Yes	
row_19	TNFAIP3	TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]	413	0.4797496199607849	0.26290533	Yes	
row_20	C3AR1	complement C3a receptor 1 [Source:HGNC Symbol;Acc:HGNC:1319]	417	0.4768778681755066	0.27399018	Yes	
row_21	SERPINA3	serpin family A member 3 [Source:HGNC Symbol;Acc:HGNC:16]	422	0.4753545820713043	0.28498936	Yes	
row_22	PDCD1LG2	programmed cell death 1 ligand 2 [Source:HGNC Symbol;Acc:HGNC:18731]	438	0.47200843691825867	0.29536223	Yes	
row_23	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	447	0.46951887011528015	0.30602485	Yes	
row_24	IL10RA	interleukin 10 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5964]	457	0.4631456136703491	0.31648758	Yes	
row_25	CTSS	cathepsin S [Source:HGNC Symbol;Acc:HGNC:2545]	458	0.4631447494029999	0.3273982	Yes	
row_26	LCP1	lymphocyte cytosolic protein 1 [Source:HGNC Symbol;Acc:HGNC:6528]	475	0.4569830596446991	0.33736736	Yes	
row_27	RELN	reelin [Source:HGNC Symbol;Acc:HGNC:9957]	538	0.4383540749549866	0.34460816	Yes	
row_28	PSMB8	proteasome 20S subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:9545]	568	0.431581974029541	0.3533319	Yes	
row_29	ADGRL4	adhesion G protein-coupled receptor L4 [Source:HGNC Symbol;Acc:HGNC:20822]	648	0.40693172812461853	0.35898635	Yes	
row_30	LAPTM5	lysosomal protein transmembrane 5 [Source:HGNC Symbol;Acc:HGNC:29612]	693	0.394614040851593	0.36609265	Yes	
row_31	ST6GAL1	ST6 beta-galactoside alpha-2,6-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10860]	707	0.3903193771839142	0.37464064	Yes	
