NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HHEX	hematopoietically expressed homeobox [Source:HGNC Symbol;Acc:HGNC:4901]	419	0.476272314786911	0.060408067	Yes	
row_1	PDLIM1	PDZ and LIM domain 1 [Source:HGNC Symbol;Acc:HGNC:2067]	553	0.43428024649620056	0.12779406	Yes	
row_2	GPX3	glutathione peroxidase 3 [Source:HGNC Symbol;Acc:HGNC:4555]	820	0.36200693249702454	0.17630164	Yes	
row_3	IPCEF1	interaction protein for cytohesin exchange factors 1 [Source:HGNC Symbol;Acc:HGNC:21204]	1012	0.3244529664516449	0.2221191	Yes	
row_4	GLRX	glutaredoxin [Source:HGNC Symbol;Acc:HGNC:4330]	1071	0.3149588108062744	0.2728902	Yes	
row_5	CAT	catalase [Source:HGNC Symbol;Acc:HGNC:1516]	1114	0.30846089124679565	0.32334518	Yes	
row_6	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]	1149	0.30125972628593445	0.37296903	Yes	
row_7	MGST1	microsomal glutathione S-transferase 1 [Source:HGNC Symbol;Acc:HGNC:7061]	1187	0.29469072818756104	0.421326	Yes	
row_8	LSP1	lymphocyte specific protein 1 [Source:HGNC Symbol;Acc:HGNC:6707]	1216	0.2918025851249695	0.46963575	Yes	
row_9	MBP	myelin basic protein [Source:HGNC Symbol;Acc:HGNC:6925]	1472	0.257290780544281	0.50085396	Yes	
row_10	NQO1	NAD(P)H quinone dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:2874]	1872	0.21559695899486542	0.5178579	Yes	
row_11	SOD2	superoxide dismutase 2 [Source:HGNC Symbol;Acc:HGNC:11180]	2249	0.18536491692066193	0.5308497	Yes	
row_12	GCLM	glutamate-cysteine ligase modifier subunit [Source:HGNC Symbol;Acc:HGNC:4312]	2425	0.17292462289333344	0.5516528	Yes	
row_13	PRNP	prion protein [Source:HGNC Symbol;Acc:HGNC:9449]	2540	0.1657724231481552	0.5742515	Yes	
row_14	FES	FES proto-oncogene, tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3657]	3228	0.1277354508638382	0.56206506	Yes	
row_15	FTL	ferritin light chain [Source:HGNC Symbol;Acc:HGNC:3999]	3299	0.12431471794843674	0.5797773	Yes	
row_16	SBNO2	strawberry notch homolog 2 [Source:HGNC Symbol;Acc:HGNC:29158]	3324	0.12349730730056763	0.5996228	Yes	
row_17	ATOX1	antioxidant 1 copper chaperone [Source:HGNC Symbol;Acc:HGNC:798]	4136	0.09425858408212662	0.5756095	No	
row_18	PRDX1	peroxiredoxin 1 [Source:HGNC Symbol;Acc:HGNC:9352]	4166	0.09307342767715454	0.590027	No	
row_19	MSRA	methionine sulfoxide reductase A [Source:HGNC Symbol;Acc:HGNC:7377]	5253	0.06569584459066391	0.5475639	No	
row_20	GPX4	glutathione peroxidase 4 [Source:HGNC Symbol;Acc:HGNC:4556]	5329	0.06439055502414703	0.55482423	No	
row_21	SELENOS	selenoprotein S [Source:HGNC Symbol;Acc:HGNC:30396]	5341	0.06417975574731827	0.5652104	No	
row_22	GCLC	glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]	5788	0.056606195867061615	0.55281687	No	
