NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD200R1L	CD200 receptor 1 like [Source:HGNC Symbol;Acc:HGNC:24665]	768	0.15397000312805176	-0.008699619	No	
row_1	ACE2	angiotensin I converting enzyme 2 [Source:HGNC Symbol;Acc:HGNC:13557]	3171	0.09149006754159927	-0.11007871	No	
row_2	ESR1	estrogen receptor 1 [Source:HGNC Symbol;Acc:HGNC:3467]	3254	0.08996499329805374	-0.097026914	No	
row_3	GPA33	glycoprotein A33 [Source:HGNC Symbol;Acc:HGNC:4445]	3546	0.08531257510185242	-0.09519454	No	
row_4	SIGLEC15	sialic acid binding Ig like lectin 15 [Source:HGNC Symbol;Acc:HGNC:27596]	3631	0.08389728516340256	-0.08339541	No	
row_5	VPREB3	V-set pre-B cell surrogate light chain 3 [Source:HGNC Symbol;Acc:HGNC:12710]	4421	0.07199742645025253	-0.10872029	No	
row_6	SIRPD	signal regulatory protein delta [Source:HGNC Symbol;Acc:HGNC:16248]	4425	0.07198112457990646	-0.09518164	No	
row_7	TRGV3	T cell receptor gamma variable 3 [Source:HGNC Symbol;Acc:HGNC:12288]	4470	0.07119452208280563	-0.08381995	No	
row_8	HAPLN2	hyaluronan and proteoglycan link protein 2 [Source:HGNC Symbol;Acc:HGNC:17410]	4888	0.06438103318214417	-0.09219817	No	
row_9	KIR3DS1	killer cell immunoglobulin like receptor, three Ig domains and short cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6340]	4972	0.0628683939576149	-0.08434817	No	
row_10	TREM2	triggering receptor expressed on myeloid cells 2 [Source:HGNC Symbol;Acc:HGNC:17761]	5228	0.05804327130317688	-0.08592082	No	
row_11	SFN	stratifin [Source:HGNC Symbol;Acc:HGNC:10773]	5329	0.05627002567052841	-0.0801661	No	
row_12	SCN2B	sodium voltage-gated channel beta subunit 2 [Source:HGNC Symbol;Acc:HGNC:10589]	5622	0.05138920620083809	-0.0848336	No	
row_13	CD7	CD7 molecule [Source:HGNC Symbol;Acc:HGNC:1695]	5831	0.047561656683683395	-0.08607521	No	
row_14	MXRA8	matrix remodeling associated 8 [Source:HGNC Symbol;Acc:HGNC:7542]	5850	0.047275692224502563	-0.07797595	No	
row_15	IGSF8	immunoglobulin superfamily member 8 [Source:HGNC Symbol;Acc:HGNC:17813]	6257	0.03982260078191757	-0.090479955	No	
row_16	VSTM2B	V-set and transmembrane domain containing 2B [Source:HGNC Symbol;Acc:HGNC:33595]	6382	0.03799063712358475	-0.08938778	No	
row_17	SIRPB2	signal regulatory protein beta 2 [Source:HGNC Symbol;Acc:HGNC:16247]	6741	0.031191755086183548	-0.10115938	No	
row_18	VSIG4	V-set and immunoglobulin domain containing 4 [Source:HGNC Symbol;Acc:HGNC:17032]	6849	0.028933009132742882	-0.100948855	No	
row_19	CD244	CD244 molecule [Source:HGNC Symbol;Acc:HGNC:18171]	6877	0.028476420789957047	-0.09686926	No	
row_20	ARHGEF4	Rho guanine nucleotide exchange factor 4 [Source:HGNC Symbol;Acc:HGNC:684]	6966	0.02697017975151539	-0.09609244	No	
row_21	CD79B	CD79b molecule [Source:HGNC Symbol;Acc:HGNC:1699]	7147	0.023736124858260155	-0.10047984	No	
row_22	NCAN	neurocan [Source:HGNC Symbol;Acc:HGNC:2465]	7260	0.021895619109272957	-0.101854704	No	
row_23	CD8B	CD8b molecule [Source:HGNC Symbol;Acc:HGNC:1707]	7291	0.02144158072769642	-0.09926111	No	
row_24	LILRB2	leukocyte immunoglobulin like receptor B2 [Source:HGNC Symbol;Acc:HGNC:6606]	7647	0.015258942730724812	-0.11391394	No	
