NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STX3	syntaxin 3 [Source:HGNC Symbol;Acc:HGNC:11438]	214	0.20706631243228912	0.04266536	No	
row_1	SPTA1	spectrin alpha, erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11272]	1315	0.13165855407714844	0.022189213	No	
row_2	ISG15	ISG15 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:4053]	3612	0.08414199203252792	-0.069567405	No	
row_3	BCAR1	BCAR1 scaffold protein, Cas family member [Source:HGNC Symbol;Acc:HGNC:971]	4764	0.06635940819978714	-0.10934967	No	
row_4	SPTBN5	spectrin beta, non-erythrocytic 5 [Source:HGNC Symbol;Acc:HGNC:15680]	4954	0.06313701719045639	-0.10245184	No	
row_5	CHRNB1	cholinergic receptor nicotinic beta 1 subunit [Source:HGNC Symbol;Acc:HGNC:1961]	5866	0.04677900671958923	-0.1354155	No	
row_6	BAIAP2L1	BAR/IMD domain containing adaptor protein 2 like 1 [Source:HGNC Symbol;Acc:HGNC:21649]	6095	0.042882807552814484	-0.13565075	No	
row_7	PLEC	plectin [Source:HGNC Symbol;Acc:HGNC:9069]	6434	0.03717220202088356	-0.1427865	No	
row_8	BAG3	BAG cochaperone 3 [Source:HGNC Symbol;Acc:HGNC:939]	7724	0.014031143859028816	-0.20283677	No	
row_9	ERBB2	erb-b2 receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:3430]	8122	0.006444455124437809	-0.22078589	No	
row_10	SRC	SRC proto-oncogene, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11283]	8296	0.003179818857461214	-0.22851203	No	
row_11	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4 [Source:HGNC Symbol;Acc:HGNC:11100]	9175	-0.012386980466544628	-0.2686877	No	
row_12	FN1	fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778]	9990	-0.02642725221812725	-0.30209315	No	
row_13	UBC	ubiquitin C [Source:HGNC Symbol;Acc:HGNC:12468]	10270	-0.03131081536412239	-0.30782202	No	
row_14	RPL13	ribosomal protein L13 [Source:HGNC Symbol;Acc:HGNC:10303]	10859	-0.04147961363196373	-0.3261967	No	
row_15	TUBA1A	tubulin alpha 1a [Source:HGNC Symbol;Acc:HGNC:20766]	11500	-0.053361594676971436	-0.34408468	Yes	
row_16	SPTAN1	spectrin alpha, non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11273]	11785	-0.05886650085449219	-0.34297633	Yes	
row_17	APP	amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]	11879	-0.06081445515155792	-0.33193463	Yes	
row_18	ELAVL1	ELAV like RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3312]	12279	-0.06786589324474335	-0.33419195	Yes	
row_19	ARRB2	arrestin beta 2 [Source:HGNC Symbol;Acc:HGNC:712]	12332	-0.06887340545654297	-0.31905362	Yes	
row_20	DYNC1H1	dynein cytoplasmic 1 heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:2961]	12542	-0.0727347731590271	-0.31067607	Yes	
row_21	UBB	ubiquitin B [Source:HGNC Symbol;Acc:HGNC:12463]	12728	-0.07668215781450272	-0.30009842	Yes	
row_22	TPM4	tropomyosin 4 [Source:HGNC Symbol;Acc:HGNC:12013]	12952	-0.08109226822853088	-0.29026365	Yes	
row_23	RAD23B	RAD23 homolog B, nucleotide excision repair protein [Source:HGNC Symbol;Acc:HGNC:9813]	12983	-0.0816325917840004	-0.27075863	Yes	
row_24	STAT3	signal transducer and activator of transcription 3 [Source:HGNC Symbol;Acc:HGNC:11364]	12988	-0.08166734129190445	-0.24996068	Yes	
row_25	NEDD9	neural precursor cell expressed, developmentally down-regulated 9 [Source:HGNC Symbol;Acc:HGNC:7733]	13129	-0.08445984870195389	-0.23516119	Yes	
row_26	MSN	moesin [Source:HGNC Symbol;Acc:HGNC:7373]	13144	-0.08467552810907364	-0.21408372	Yes	
row_27	TPM3	tropomyosin 3 [Source:HGNC Symbol;Acc:HGNC:12012]	13253	-0.08661030977964401	-0.19715104	Yes	
row_28	GRB2	growth factor receptor bound protein 2 [Source:HGNC Symbol;Acc:HGNC:4566]	13454	-0.09058886766433716	-0.18373898	Yes	
row_29	SPTBN1	spectrin beta, non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11275]	13558	-0.09260541200637817	-0.16501813	Yes	
row_30	EP300	E1A binding protein p300 [Source:HGNC Symbol;Acc:HGNC:3373]	13845	-0.09842513501644135	-0.15383859	Yes	
row_31	CAPN2	calpain 2 [Source:HGNC Symbol;Acc:HGNC:1479]	14703	-0.11633522063493729	-0.16625354	Yes	
row_32	EZR	ezrin [Source:HGNC Symbol;Acc:HGNC:12691]	15657	-0.13636893033981323	-0.1782591	Yes	
