NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FABP2	fatty acid binding protein 2 [Source:HGNC Symbol;Acc:HGNC:3556]	82	0.24081121385097504	0.00959182	No	
row_1	HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2 [Source:HGNC Symbol;Acc:HGNC:5008]	165	0.21537069976329803	0.017740028	No	
row_2	CYP4A11	cytochrome P450 family 4 subfamily A member 11 [Source:HGNC Symbol;Acc:HGNC:2642]	201	0.20902244746685028	0.027862482	No	
row_3	HAO2	hydroxyacid oxidase 2 [Source:HGNC Symbol;Acc:HGNC:4810]	274	0.19566069543361664	0.03538895	No	
row_4	FABP1	fatty acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3555]	282	0.19500911235809326	0.046106976	No	
row_5	CYP4A22	cytochrome P450 family 4 subfamily A member 22 [Source:HGNC Symbol;Acc:HGNC:20575]	486	0.1723467856645584	0.045803778	No	
row_6	VNN1	vanin 1 [Source:HGNC Symbol;Acc:HGNC:12705]	755	0.15447686612606049	0.041258026	No	
row_7	CYP1A1	cytochrome P450 family 1 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2595]	981	0.14427031576633453	0.038268905	No	
row_8	ACADL	acyl-CoA dehydrogenase long chain [Source:HGNC Symbol;Acc:HGNC:88]	1835	0.1167169064283371	0.0025237077	No	
row_9	ADH7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide [Source:HGNC Symbol;Acc:HGNC:256]	2009	0.1127442792057991	3.28479E-4	No	
row_10	LTC4S	leukotriene C4 synthase [Source:HGNC Symbol;Acc:HGNC:6719]	2270	0.10695870965719223	-0.006516313	No	
row_11	GAPDHS	glyceraldehyde-3-phosphate dehydrogenase, spermatogenic [Source:HGNC Symbol;Acc:HGNC:24864]	2459	0.10323713719844818	-0.009996067	No	
row_12	GAD2	glutamate decarboxylase 2 [Source:HGNC Symbol;Acc:HGNC:4093]	2754	0.0977046862244606	-0.019054744	No	
row_13	CA6	carbonic anhydrase 6 [Source:HGNC Symbol;Acc:HGNC:1380]	2758	0.09768342226743698	-0.013660747	No	
row_14	AQP7	aquaporin 7 [Source:HGNC Symbol;Acc:HGNC:640]	2887	0.09556697309017181	-0.014595559	No	
row_15	CIDEA	cell death inducing DFFA like effector a [Source:HGNC Symbol;Acc:HGNC:1976]	3034	0.09331478178501129	-0.016552225	No	
row_16	CA4	carbonic anhydrase 4 [Source:HGNC Symbol;Acc:HGNC:1375]	3210	0.09078268706798553	-0.020092994	No	
row_17	RDH16	retinol dehydrogenase 16 [Source:HGNC Symbol;Acc:HGNC:29674]	3512	0.08563537150621414	-0.030184228	No	
row_18	ALDH3A1	aldehyde dehydrogenase 3 family member A1 [Source:HGNC Symbol;Acc:HGNC:405]	3609	0.08416680246591568	-0.03017651	No	
row_19	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide [Source:HGNC Symbol;Acc:HGNC:251]	4394	0.07246328890323639	-0.06500565	No	
row_20	REEP6	receptor accessory protein 6 [Source:HGNC Symbol;Acc:HGNC:30078]	4691	0.06760696321725845	-0.07587155	No	
row_21	D2HGDH	D-2-hydroxyglutarate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:28358]	4996	0.06234903261065483	-0.08743317	No	
row_22	CEL	carboxyl ester lipase [Source:HGNC Symbol;Acc:HGNC:1848]	5196	0.05872637778520584	-0.09398503	No	
row_23	ACADS	acyl-CoA dehydrogenase short chain [Source:HGNC Symbol;Acc:HGNC:90]	5501	0.05325108766555786	-0.106062904	No	
row_24	FMO1	flavin containing dimethylaniline monoxygenase 1 [Source:HGNC Symbol;Acc:HGNC:3769]	5760	0.04893864691257477	-0.116100684	No	
row_25	LGALS1	galectin 1 [Source:HGNC Symbol;Acc:HGNC:6561]	6111	0.04243817925453186	-0.13107695	No	
row_26	GPD1	glycerol-3-phosphate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:4455]	6169	0.04144546017050743	-0.1315563	No	
row_27	CD1D	CD1d molecule [Source:HGNC Symbol;Acc:HGNC:1637]	6171	0.041441794484853745	-0.12925439	No	
row_28	INMT	indolethylamine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:6069]	6414	0.0375177226960659	-0.13914552	No	
row_29	CBR3	carbonyl reductase 3 [Source:HGNC Symbol;Acc:HGNC:1549]	6467	0.03661748394370079	-0.1396505	No	
row_30	ACSM3	acyl-CoA synthetase medium chain family member 3 [Source:HGNC Symbol;Acc:HGNC:10522]	6482	0.036336224526166916	-0.13828398	No	
row_31	ENO3	enolase 3 [Source:HGNC Symbol;Acc:HGNC:3354]	7057	0.02530837059020996	-0.16535828	No	
row_32	AOC3	amine oxidase copper containing 3 [Source:HGNC Symbol;Acc:HGNC:550]	7249	0.022062359377741814	-0.17359327	No	
row_33	IL4I1	interleukin 4 induced 1 [Source:HGNC Symbol;Acc:HGNC:19094]	7338	0.02051989734172821	-0.17679982	No	
