NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NUPR1	nuclear protein 1, transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:29990]	4200	0.07541929185390472	-0.20589557	No	
row_1	FDXR	ferredoxin reductase [Source:HGNC Symbol;Acc:HGNC:3642]	5105	0.06022479385137558	-0.24837287	No	
row_2	CFP	complement factor properdin [Source:HGNC Symbol;Acc:HGNC:8864]	5421	0.05469939112663269	-0.26176456	No	
row_3	TRIB3	tribbles pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:16228]	5827	0.04760509729385376	-0.2799325	No	
row_4	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	6547	0.03504471853375435	-0.31425443	No	
row_5	SLC9A3R1	SLC9A3 regulator 1 [Source:HGNC Symbol;Acc:HGNC:11075]	7046	0.025497794151306152	-0.33797562	No	
row_6	NFKBIB	NFKB inhibitor beta [Source:HGNC Symbol;Acc:HGNC:7798]	7143	0.023876167833805084	-0.34175563	No	
row_7	SDF2L1	stromal cell derived factor 2 like 1 [Source:HGNC Symbol;Acc:HGNC:10676]	7354	0.020275859162211418	-0.35136032	No	
row_8	ALDOA	aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]	8111	0.006689455825835466	-0.38870943	No	
row_9	BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	8322	0.0028784463647753	-0.39904153	No	
row_10	DDX39A	DExD-box helicase 39A [Source:HGNC Symbol;Acc:HGNC:17821]	8347	0.0022241713013499975	-0.4001431	No	
row_11	SERPINH1	serpin family H member 1 [Source:HGNC Symbol;Acc:HGNC:1546]	8526	-9.236765909008682E-4	-0.40896416	No	
row_12	SHMT2	serine hydroxymethyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10852]	8597	-0.0022481922060251236	-0.41235432	No	
row_13	IGFBP5	insulin like growth factor binding protein 5 [Source:HGNC Symbol;Acc:HGNC:5474]	8657	-0.0035054050385951996	-0.4151444	No	
row_14	SLC1A5	solute carrier family 1 member 5 [Source:HGNC Symbol;Acc:HGNC:10943]	8704	-0.004378630314022303	-0.4172509	No	
row_15	RRP9	ribosomal RNA processing 9, U3 small nucleolar RNA binding protein [Source:HGNC Symbol;Acc:HGNC:16829]	8746	-0.005023567471653223	-0.4190816	No	
row_16	GAPDH	glyceraldehyde-3-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4141]	8914	-0.007964031770825386	-0.4270608	No	
row_17	MAP2K3	mitogen-activated protein kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6843]	9013	-0.00982548389583826	-0.4315278	No	
row_18	HMBS	hydroxymethylbilane synthase [Source:HGNC Symbol;Acc:HGNC:4982]	9081	-0.010952156037092209	-0.43440473	No	
row_19	G6PD	glucose-6-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4057]	9086	-0.011017619632184505	-0.4341432	No	
row_20	LDLR	low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547]	9273	-0.014209279790520668	-0.44280696	No	
row_21	PHGDH	phosphoglycerate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8923]	9278	-0.014305345714092255	-0.44240797	No	
row_22	PFKL	phosphofructokinase, liver type [Source:HGNC Symbol;Acc:HGNC:8876]	9506	-0.018104730173945427	-0.45294958	No	
row_23	CORO1A	coronin 1A [Source:HGNC Symbol;Acc:HGNC:2252]	9529	-0.01841176487505436	-0.45327482	No	
row_24	FKBP2	FKBP prolyl isomerase 2 [Source:HGNC Symbol;Acc:HGNC:3718]	9581	-0.01938541606068611	-0.45500278	No	
row_25	HK2	hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]	9723	-0.021852437406778336	-0.4611072	No	
row_26	PLK1	polo like kinase 1 [Source:HGNC Symbol;Acc:HGNC:9077]	9808	-0.023269129917025566	-0.4643153	No	
row_27	TM7SF2	transmembrane 7 superfamily member 2 [Source:HGNC Symbol;Acc:HGNC:11863]	9841	-0.023754702880978584	-0.4649149	No	
row_28	TOMM40	translocase of outer mitochondrial membrane 40 [Source:HGNC Symbol;Acc:HGNC:18001]	9951	-0.025621730834245682	-0.46926895	No	
row_29	SLC37A4	solute carrier family 37 member 4 [Source:HGNC Symbol;Acc:HGNC:4061]	10002	-0.026556486263871193	-0.4706473	No	
row_30	DHCR24	24-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2859]	10131	-0.02879229374229908	-0.47581452	No	
row_31	SLC2A1	solute carrier family 2 member 1 [Source:HGNC Symbol;Acc:HGNC:11005]	10139	-0.02892480045557022	-0.47495362	No	
row_32	EGLN3	egl-9 family hypoxia inducible factor 3 [Source:HGNC Symbol;Acc:HGNC:14661]	10322	-0.03225765377283096	-0.48266372	No	
row_33	TUBG1	tubulin gamma 1 [Source:HGNC Symbol;Acc:HGNC:12417]	10387	-0.03356276825070381	-0.48444596	No	
row_34	PPP1R15A	protein phosphatase 1 regulatory subunit 15A [Source:HGNC Symbol;Acc:HGNC:14375]	10421	-0.034058403223752975	-0.48466453	No	
row_35	TPI1	triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:12009]	10555	-0.036400873214006424	-0.48976249	No	
row_36	ATP5MC1	ATP synthase membrane subunit c locus 1 [Source:HGNC Symbol;Acc:HGNC:841]	10567	-0.036646999418735504	-0.4887778	No	
row_37	POLR3G	RNA polymerase III subunit G [Source:HGNC Symbol;Acc:HGNC:30075]	10577	-0.036873213946819305	-0.4876841	No	
row_38	DDIT3	DNA damage inducible transcript 3 [Source:HGNC Symbol;Acc:HGNC:2726]	10584	-0.03695842623710632	-0.48643753	No	
row_39	TUBA4A	tubulin alpha 4a [Source:HGNC Symbol;Acc:HGNC:12407]	10603	-0.037235576659440994	-0.48577663	No	
row_40	CALR	calreticulin [Source:HGNC Symbol;Acc:HGNC:1455]	10630	-0.03780672326683998	-0.48549005	No	
row_41	SLC7A5	solute carrier family 7 member 5 [Source:HGNC Symbol;Acc:HGNC:11063]	10655	-0.03826167806982994	-0.48508492	No	
row_42	ITGB2	integrin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6155]	10771	-0.040164925158023834	-0.4891296	No	
row_43	SQSTM1	sequestosome 1 [Source:HGNC Symbol;Acc:HGNC:11280]	10786	-0.04046914726495743	-0.4881344	No	
row_44	MCM2	minichromosome maintenance complex component 2 [Source:HGNC Symbol;Acc:HGNC:6944]	10807	-0.040709830820560455	-0.48742783	No	
row_45	CD9	CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]	11258	-0.04870245233178139	-0.5077897	No	
row_46	FADS2	fatty acid desaturase 2 [Source:HGNC Symbol;Acc:HGNC:3575]	11299	-0.049334004521369934	-0.50771797	No	
row_47	STC1	stanniocalcin 1 [Source:HGNC Symbol;Acc:HGNC:11373]	11458	-0.052684906870126724	-0.51337945	No	
row_48	ACLY	ATP citrate lyase [Source:HGNC Symbol;Acc:HGNC:115]	11583	-0.05498337000608444	-0.51725256	No	
row_49	MLLT11	MLLT11 transcription factor 7 cofactor [Source:HGNC Symbol;Acc:HGNC:16997]	11634	-0.05600329115986824	-0.5173997	No	
