NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TCIRG1	T cell immune regulator 1, ATPase H+ transporting V0 subunit a3 [Source:HGNC Symbol;Acc:HGNC:11647]	5370	0.055698953568935394	-0.2649632	No	
row_1	NDUFS7	NADH:ubiquinone oxidoreductase core subunit S7 [Source:HGNC Symbol;Acc:HGNC:7714]	5868	0.04676971584558487	-0.28775203	No	
row_2	RHOT2	ras homolog family member T2 [Source:HGNC Symbol;Acc:HGNC:21169]	5995	0.04464514181017876	-0.29216337	No	
row_3	NDUFS8	NADH:ubiquinone oxidoreductase core subunit S8 [Source:HGNC Symbol;Acc:HGNC:7715]	6004	0.04441102221608162	-0.29071122	No	
row_4	MRPL34	mitochondrial ribosomal protein L34 [Source:HGNC Symbol;Acc:HGNC:14488]	6201	0.04087997227907181	-0.29876357	No	
row_5	ATP5F1D	ATP synthase F1 subunit delta [Source:HGNC Symbol;Acc:HGNC:837]	7493	0.017856918275356293	-0.3622772	No	
row_6	BAX	BCL2 associated X, apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:959]	7791	0.012679423205554485	-0.3765317	No	
row_7	ETFB	electron transfer flavoprotein subunit beta [Source:HGNC Symbol;Acc:HGNC:3482]	8000	0.008823269046843052	-0.38651696	No	
row_8	NDUFA3	NADH:ubiquinone oxidoreductase subunit A3 [Source:HGNC Symbol;Acc:HGNC:7686]	8164	0.005638482980430126	-0.3943951	No	
row_9	CYB5R3	cytochrome b5 reductase 3 [Source:HGNC Symbol;Acc:HGNC:2873]	8250	0.004078142810612917	-0.39845595	No	
row_10	ATP5MC2	ATP synthase membrane subunit c locus 2 [Source:HGNC Symbol;Acc:HGNC:842]	8284	0.0034455948043614626	-0.39995492	No	
row_11	MRPL15	mitochondrial ribosomal protein L15 [Source:HGNC Symbol;Acc:HGNC:14054]	8310	0.002999956253916025	-0.40107426	No	
row_12	SLC25A6	solute carrier family 25 member 6 [Source:HGNC Symbol;Acc:HGNC:10992]	8513	-6.91176624968648E-4	-0.41109973	No	
row_13	ACAA1	acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:82]	8554	-0.001446180627681315	-0.41303042	No	
row_14	POR	cytochrome p450 oxidoreductase [Source:HGNC Symbol;Acc:HGNC:9208]	8589	-0.002116691553965211	-0.41463453	No	
row_15	ATP6V0C	ATPase H+ transporting V0 subunit c [Source:HGNC Symbol;Acc:HGNC:855]	8771	-0.005476724356412888	-0.42341536	No	
row_16	GPX4	glutathione peroxidase 4 [Source:HGNC Symbol;Acc:HGNC:4556]	8878	-0.0072996788658201694	-0.4283872	No	
row_17	ECI1	enoyl-CoA delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:2703]	9091	-0.011089209467172623	-0.43847716	No	
row_18	COX8A	cytochrome c oxidase subunit 8A [Source:HGNC Symbol;Acc:HGNC:2294]	9208	-0.013054083101451397	-0.44370702	No	
row_19	NDUFA7	NADH:ubiquinone oxidoreductase subunit A7 [Source:HGNC Symbol;Acc:HGNC:7691]	9512	-0.018177619203925133	-0.45803103	No	
row_20	CPT1A	carnitine palmitoyltransferase 1A [Source:HGNC Symbol;Acc:HGNC:2328]	9622	-0.019981173798441887	-0.46262383	No	
row_21	POLR2F	RNA polymerase II subunit F [Source:HGNC Symbol;Acc:HGNC:9193]	9634	-0.020167112350463867	-0.46233112	No	
row_22	ATP5ME	ATP synthase membrane subunit e [Source:HGNC Symbol;Acc:HGNC:846]	9690	-0.021314261481165886	-0.46418062	No	
row_23	IDH3G	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:5386]	9699	-0.02141200192272663	-0.46368667	No	
row_24	SURF1	SURF1 cytochrome c oxidase assembly factor [Source:HGNC Symbol;Acc:HGNC:11474]	9701	-0.02142755314707756	-0.4628437	No	
row_25	RETSAT	retinol saturase [Source:HGNC Symbol;Acc:HGNC:25991]	9780	-0.022822607308626175	-0.46577513	No	
row_26	ACADVL	acyl-CoA dehydrogenase very long chain [Source:HGNC Symbol;Acc:HGNC:92]	9830	-0.023633968085050583	-0.46722934	No	
row_27	TIMM50	translocase of inner mitochondrial membrane 50 [Source:HGNC Symbol;Acc:HGNC:23656]	9955	-0.025672687217593193	-0.47233164	No	
row_28	BCKDHA	branched chain keto acid dehydrogenase E1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:986]	10117	-0.028541533276438713	-0.47915602	No	
row_29	CASP7	caspase 7 [Source:HGNC Symbol;Acc:HGNC:1508]	10217	-0.030434466898441315	-0.48281556	No	
row_30	ECH1	enoyl-CoA hydratase 1 [Source:HGNC Symbol;Acc:HGNC:3149]	10341	-0.03262605890631676	-0.48757836	No	
row_31	PHB2	prohibitin 2 [Source:HGNC Symbol;Acc:HGNC:30306]	10366	-0.03318728506565094	-0.4873902	No	
row_32	NDUFB7	NADH:ubiquinone oxidoreductase subunit B7 [Source:HGNC Symbol;Acc:HGNC:7702]	10540	-0.036010343581438065	-0.49450067	No	
row_33	ATP5MC1	ATP synthase membrane subunit c locus 1 [Source:HGNC Symbol;Acc:HGNC:841]	10567	-0.036646999418735504	-0.4942679	No	
row_34	NDUFV1	NADH:ubiquinone oxidoreductase core subunit V1 [Source:HGNC Symbol;Acc:HGNC:7716]	10798	-0.040591586381196976	-0.5040246	No	
row_35	COX6A1	cytochrome c oxidase subunit 6A1 [Source:HGNC Symbol;Acc:HGNC:2277]	10811	-0.040759582072496414	-0.50292367	No	
row_36	MAOB	monoamine oxidase B [Source:HGNC Symbol;Acc:HGNC:6834]	11036	-0.044696442782878876	-0.51221067	No	
row_37	NQO2	N-ribosyldihydronicotinamide:quinone reductase 2 [Source:HGNC Symbol;Acc:HGNC:7856]	11057	-0.045016463845968246	-0.5113306	No	
row_38	CYC1	cytochrome c1 [Source:HGNC Symbol;Acc:HGNC:2579]	11108	-0.04584113508462906	-0.5119093	No	
row_39	IDH3B	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:5385]	11152	-0.046750135719776154	-0.51210177	No	
row_40	PMPCA	peptidase, mitochondrial processing subunit alpha [Source:HGNC Symbol;Acc:HGNC:18667]	11190	-0.047393567860126495	-0.5119688	No	
row_41	ATP6AP1	ATPase H+ transporting accessory protein 1 [Source:HGNC Symbol;Acc:HGNC:868]	11309	-0.04954083636403084	-0.51577795	No	
row_42	FXN	frataxin [Source:HGNC Symbol;Acc:HGNC:3951]	11312	-0.04960658773779869	-0.5138107	No	
row_43	MRPL11	mitochondrial ribosomal protein L11 [Source:HGNC Symbol;Acc:HGNC:14042]	11361	-0.050583366304636	-0.51409227	No	
row_44	UQCRC1	ubiquinol-cytochrome c reductase core protein 1 [Source:HGNC Symbol;Acc:HGNC:12585]	11496	-0.05329029634594917	-0.51854163	No	
row_45	ATP5MC3	ATP synthase membrane subunit c locus 3 [Source:HGNC Symbol;Acc:HGNC:843]	11585	-0.05501779913902283	-0.5206294	No	
row_46	HSD17B10	hydroxysteroid 17-beta dehydrogenase 10 [Source:HGNC Symbol;Acc:HGNC:4800]	11624	-0.05586693808436394	-0.52019316	No	
row_47	HTRA2	HtrA serine peptidase 2 [Source:HGNC Symbol;Acc:HGNC:14348]	11722	-0.0577014684677124	-0.5226171	Yes	
row_48	TIMM13	translocase of inner mitochondrial membrane 13 [Source:HGNC Symbol;Acc:HGNC:11816]	11736	-0.057997509837150574	-0.52084774	Yes	
row_49	IDH2	isocitrate dehydrogenase (NADP(+)) 2 [Source:HGNC Symbol;Acc:HGNC:5383]	11769	-0.058571454137563705	-0.52000016	Yes	
row_50	NDUFS3	NADH:ubiquinone oxidoreductase core subunit S3 [Source:HGNC Symbol;Acc:HGNC:7710]	11786	-0.05893630534410477	-0.518341	Yes	
row_51	COX4I1	cytochrome c oxidase subunit 4I1 [Source:HGNC Symbol;Acc:HGNC:2265]	11902	-0.06136777997016907	-0.5215081	Yes	
row_52	MDH2	malate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:6971]	11948	-0.06218937784433365	-0.52115685	Yes	
row_53	COX5A	cytochrome c oxidase subunit 5A [Source:HGNC Symbol;Acc:HGNC:2267]	11966	-0.062345732003450394	-0.51940536	Yes	
row_54	GPI	glucose-6-phosphate isomerase [Source:HGNC Symbol;Acc:HGNC:4458]	12000	-0.06278843432664871	-0.5184319	Yes	
row_55	ATP5F1B	ATP synthase F1 subunit beta [Source:HGNC Symbol;Acc:HGNC:830]	12009	-0.06299124658107758	-0.5162056	Yes	
row_56	TIMM10	translocase of inner mitochondrial membrane 10 [Source:HGNC Symbol;Acc:HGNC:11814]	12029	-0.06332837045192719	-0.5145128	Yes	
row_57	ATP5PO	ATP synthase peripheral stalk subunit OSCP [Source:HGNC Symbol;Acc:HGNC:850]	12102	-0.06446455419063568	-0.51541054	Yes	
row_58	MRPS11	mitochondrial ribosomal protein S11 [Source:HGNC Symbol;Acc:HGNC:14050]	12122	-0.06478376686573029	-0.5136571	Yes	
row_59	MRPS12	mitochondrial ribosomal protein S12 [Source:HGNC Symbol;Acc:HGNC:10380]	12133	-0.06510107964277267	-0.5114424	Yes	
row_60	OXA1L	OXA1L mitochondrial inner membrane protein [Source:HGNC Symbol;Acc:HGNC:8526]	12157	-0.065571628510952	-0.5098552	Yes	
row_61	COX5B	cytochrome c oxidase subunit 5B [Source:HGNC Symbol;Acc:HGNC:2269]	12182	-0.06607475131750107	-0.50829685	Yes	
row_62	NDUFA2	NADH:ubiquinone oxidoreductase subunit A2 [Source:HGNC Symbol;Acc:HGNC:7685]	12192	-0.06629417836666107	-0.5059827	Yes	
row_63	ATP5PD	ATP synthase peripheral stalk subunit d [Source:HGNC Symbol;Acc:HGNC:845]	12225	-0.06705722212791443	-0.50478154	Yes	
row_64	OGDH	oxoglutarate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8124]	12295	-0.06813868135213852	-0.505377	Yes	
row_65	COX6B1	cytochrome c oxidase subunit 6B1 [Source:HGNC Symbol;Acc:HGNC:2280]	12494	-0.07200746238231659	-0.512232	Yes	
