NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	104	-0.5048988	-1.5953416	0.016563147	0.6905077	0.208	6495	tags=53%, list=32%, signal=77%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	96	-0.6106146	-1.5872314	0.015968064	0.37920168	0.223	5750	tags=72%, list=28%, signal=100%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	150	-0.4544468	-1.5388943	0.08080808	0.43103227	0.298	8756	tags=67%, list=43%, signal=118%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	200	-0.5491224	-1.5257295	0.06175299	0.37068975	0.323	7519	tags=71%, list=37%, signal=111%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	200	-0.5250212	-1.5083617	0.0746888	0.35766792	0.359	8570	tags=77%, list=42%, signal=131%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	199	-0.53076494	-1.4820026	0.040685225	0.36753196	0.403	6034	tags=56%, list=30%, signal=79%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	113	-0.48593533	-1.4614141	0.10612245	0.37144727	0.437	7607	tags=63%, list=37%, signal=100%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	200	-0.5400838	-1.3786553	0.19183673	0.57231367	0.567	8572	tags=85%, list=42%, signal=146%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	144	-0.50975686	-1.3295689	0.16699411	0.6587098	0.639	7521	tags=66%, list=37%, signal=104%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	100	-0.4766554	-1.3000851	0.18664047	0.6807486	0.661	7726	tags=66%, list=38%, signal=106%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	199	-0.4311001	-1.2929864	0.22465208	0.6397061	0.67	7276	tags=51%, list=36%, signal=78%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	196	-0.35257122	-1.2360214	0.23625255	0.7379484	0.735	7017	tags=43%, list=35%, signal=65%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	104	-0.38255423	-1.227018	0.21548118	0.7024458	0.745	7086	tags=49%, list=35%, signal=75%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	200	-0.53928703	-1.1924087	0.35639414	0.73664874	0.78	7812	tags=74%, list=38%, signal=118%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	49	-0.4281067	-1.1820282	0.336	0.7147595	0.788	9627	tags=61%, list=47%, signal=116%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	200	-0.55879307	-1.1809822	0.36	0.6720793	0.788	6181	tags=64%, list=30%, signal=90%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	158	-0.3676826	-1.178267	0.27125505	0.63740844	0.788	6875	tags=47%, list=34%, signal=70%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	58	-0.44696668	-1.170066	0.37278107	0.6198949	0.796	7805	tags=50%, list=38%, signal=81%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	54	-0.4414736	-1.1492326	0.36435643	0.62777525	0.814	7057	tags=46%, list=35%, signal=71%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	42	-0.33314136	-1.1272925	0.3237705	0.63965803	0.831	6750	tags=31%, list=33%, signal=46%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	200	-0.33521333	-1.1240783	0.34468937	0.6143057	0.832	7038	tags=41%, list=35%, signal=61%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	158	-0.34211785	-1.1092097	0.34251967	0.6096712	0.839	8887	tags=53%, list=44%, signal=93%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	200	-0.35409018	-1.0885565	0.39250493	0.61821246	0.85	7029	tags=39%, list=35%, signal=59%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	74	-0.42238697	-1.086222	0.4032258	0.59520805	0.851	7667	tags=55%, list=38%, signal=89%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	161	-0.40637845	-1.0306114	0.4550898	0.6644766	0.881	6096	tags=39%, list=30%, signal=55%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	135	-0.30193785	-0.9779468	0.45859873	0.73080844	0.914	4964	tags=33%, list=24%, signal=44%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	36	-0.3531883	-0.9693023	0.50317127	0.71987104	0.918	9946	tags=67%, list=49%, signal=131%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	199	-0.37024906	-0.94782317	0.5596154	0.7283436	0.927	8322	tags=51%, list=41%, signal=85%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	197	-0.46247348	-0.94599026	0.55323195	0.70576143	0.927	8108	tags=60%, list=40%, signal=99%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	32	-0.34799314	-0.9372376	0.54811716	0.69436884	0.934	10540	tags=69%, list=52%, signal=143%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	199	-0.38182792	-0.9207663	0.57824427	0.6974777	0.939	6978	tags=47%, list=34%, signal=71%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	96	-0.47010788	-0.9186261	0.5931559	0.6787247	0.939	7299	tags=52%, list=36%, signal=81%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	200	-0.37397698	-0.8926241	0.5815739	0.69986284	0.949	6948	tags=43%, list=34%, signal=64%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	197	-0.39118215	-0.8455637	0.6531008	0.75421846	0.961	4618	tags=32%, list=23%, signal=41%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	200	-0.24817388	-0.7806599	0.7051793	0.83016795	0.974	8715	tags=41%, list=43%, signal=71%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	200	-0.35102555	-0.73917395	0.7349624	0.8731611	0.98	7183	tags=36%, list=35%, signal=55%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	112	-0.2450726	-0.721822	0.81889766	0.8768515	0.982	6365	tags=34%, list=31%, signal=49%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	200	-0.22316353	-0.72077525	0.8313953	0.85581756	0.982	6500	tags=29%, list=32%, signal=42%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	200	-0.22039196	-0.6950036	0.9096509	0.8677696	0.984	5964	tags=25%, list=29%, signal=35%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	200	-0.255933	-0.69046825	0.81431335	0.8516157	0.985	7100	tags=32%, list=35%, signal=49%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	85	-0.31728247	-0.6903637	0.7899807	0.83101124	0.985	8810	tags=52%, list=43%, signal=91%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	200	-0.29067212	-0.66026795	0.80478823	0.8510079	0.989	5447	tags=26%, list=27%, signal=35%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	43	-0.18943873	-0.53709203	0.9858871	0.959345	0.991	8413	tags=35%, list=41%, signal=59%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	200	-0.16424398	-0.48569688	0.99230766	0.970206	0.992	6788	tags=32%, list=33%, signal=48%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	198	-0.1946653	-0.41294822	0.99215686	0.97994083	0.993	9534	tags=42%, list=47%, signal=79%	
