NAME	TITLE	SCORE	
CCNYL2	cyclin Y like 2 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:23495]	0.85541356	
ANKRD18B	ankyrin repeat domain 18B [Source:HGNC Symbol;Acc:HGNC:23644]	0.81504196	
TEX15	testis expressed 15, meiosis and synapsis associated [Source:HGNC Symbol;Acc:HGNC:11738]	0.78817564	
ABCA12	ATP binding cassette subfamily A member 12 [Source:HGNC Symbol;Acc:HGNC:14637]	0.7264517	
C14orf39	chromosome 14 open reading frame 39 [Source:HGNC Symbol;Acc:HGNC:19849]	0.67618436	
MYCN	MYCN proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7559]	0.6747512	
ZNF536	zinc finger protein 536 [Source:HGNC Symbol;Acc:HGNC:29025]	0.673079	
MIR181A2	microRNA 181a-2 [Source:HGNC Symbol;Acc:HGNC:31549]	0.6526896	
LRRN1	leucine rich repeat neuronal 1 [Source:HGNC Symbol;Acc:HGNC:20980]	0.64464396	
MIR99AHG	mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]	0.623657	
MYCNOS	MYCN opposite strand [Source:HGNC Symbol;Acc:HGNC:16911]	0.62111604	
DNAJC5G	DnaJ heat shock protein family (Hsp40) member C5 gamma [Source:HGNC Symbol;Acc:HGNC:24844]	0.5980051	
PRSS12	serine protease 12 [Source:HGNC Symbol;Acc:HGNC:9477]	0.5868116	
LGR5	leucine rich repeat containing G protein-coupled receptor 5 [Source:HGNC Symbol;Acc:HGNC:4504]	0.5843543	
DLX5	distal-less homeobox 5 [Source:HGNC Symbol;Acc:HGNC:2918]	0.5753135	
DUXAP10	double homeobox A pseudogene 10 [Source:HGNC Symbol;Acc:HGNC:32189]	0.56454897	
HHIP	hedgehog interacting protein [Source:HGNC Symbol;Acc:HGNC:14866]	0.5462188	
SNORD19B	small nucleolar RNA, C/D box 19B [Source:HGNC Symbol;Acc:HGNC:33570]	0.5422347	
HOXD10	homeobox D10 [Source:HGNC Symbol;Acc:HGNC:5133]	0.5409174	
LMO3	LIM domain only 3 [Source:HGNC Symbol;Acc:HGNC:6643]	0.54073644	
CDCA7L	cell division cycle associated 7 like [Source:HGNC Symbol;Acc:HGNC:30777]	0.5311165	
GLRA2	glycine receptor alpha 2 [Source:HGNC Symbol;Acc:HGNC:4327]	0.5280351	
MND1	meiotic nuclear divisions 1 [Source:HGNC Symbol;Acc:HGNC:24839]	0.5220289	
PHGDH	phosphoglycerate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8923]	0.52183336	
ERBB4	erb-b2 receptor tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3432]	0.52039075	
FANCB	FA complementation group B [Source:HGNC Symbol;Acc:HGNC:3583]	0.5097519	
CENPE	centromere protein E [Source:HGNC Symbol;Acc:HGNC:1856]	0.5094144	
KIF15	kinesin family member 15 [Source:HGNC Symbol;Acc:HGNC:17273]	0.5064216	
PPEF1	protein phosphatase with EF-hand domain 1 [Source:HGNC Symbol;Acc:HGNC:9243]	0.50041467	
LRRC7	leucine rich repeat containing 7 [Source:HGNC Symbol;Acc:HGNC:18531]	0.4913418	
SNORD1A	small nucleolar RNA, C/D box 1A [Source:HGNC Symbol;Acc:HGNC:32556]	0.49052766	
GLDC	glycine decarboxylase [Source:HGNC Symbol;Acc:HGNC:4313]	0.48617336	
SKA3	spindle and kinetochore associated complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:20262]	0.48597	
TAF1D	TATA-box binding protein associated factor, RNA polymerase I subunit D [Source:HGNC Symbol;Acc:HGNC:28759]	0.48557594	
ZNF695	zinc finger protein 695 [Source:HGNC Symbol;Acc:HGNC:30954]	0.4808811	
SNORA1	small nucleolar RNA, H/ACA box 1 [Source:HGNC Symbol;Acc:HGNC:32557]	0.48011684	
SLITRK4	SLIT and NTRK like family member 4 [Source:HGNC Symbol;Acc:HGNC:23502]	0.47736794	
CHEK1	checkpoint kinase 1 [Source:HGNC Symbol;Acc:HGNC:1925]	0.47683486	
RPL22L1	ribosomal protein L22 like 1 [Source:HGNC Symbol;Acc:HGNC:27610]	0.47296375	
SNORA25	small nucleolar RNA, H/ACA box 25 [Source:HGNC Symbol;Acc:HGNC:32615]	0.4721627	
NCR3LG1	natural killer cell cytotoxicity receptor 3 ligand 1 [Source:HGNC Symbol;Acc:HGNC:42400]	0.46925724	
CRNDE	colorectal neoplasia differentially expressed [Source:HGNC Symbol;Acc:HGNC:37078]	0.4690714	
NEIL3	nei like DNA glycosylase 3 [Source:HGNC Symbol;Acc:HGNC:24573]	0.46708283	
CCDC138	coiled-coil domain containing 138 [Source:HGNC Symbol;Acc:HGNC:26531]	0.46582618	
KIF11	kinesin family member 11 [Source:HGNC Symbol;Acc:HGNC:6388]	0.4657588	
PUS7	pseudouridine synthase 7 [Source:HGNC Symbol;Acc:HGNC:26033]	0.46185377	
CENPF	centromere protein F [Source:HGNC Symbol;Acc:HGNC:1857]	0.45818794	
JPH1	junctophilin 1 [Source:HGNC Symbol;Acc:HGNC:14201]	0.45603192	
CDK1	cyclin dependent kinase 1 [Source:HGNC Symbol;Acc:HGNC:1722]	0.4556878	
KCNH5	potassium voltage-gated channel subfamily H member 5 [Source:HGNC Symbol;Acc:HGNC:6254]	0.45303804	
ASPM	assembly factor for spindle microtubules [Source:HGNC Symbol;Acc:HGNC:19048]	0.44793877	
PSAT1	phosphoserine aminotransferase 1 [Source:HGNC Symbol;Acc:HGNC:19129]	0.44568753	
FAM13A	family with sequence similarity 13 member A [Source:HGNC Symbol;Acc:HGNC:19367]	0.44407582	
EXO1	exonuclease 1 [Source:HGNC Symbol;Acc:HGNC:3511]	0.44132355	
