NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1 [Source:HGNC Symbol;Acc:HGNC:9108]	265	0.301603764295578	7.1233284E-4	No	
row_1	TOP2A	DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989]	293	0.2959117293357849	0.012985924	No	
row_2	FEZ1	fasciculation and elongation protein zeta 1 [Source:HGNC Symbol;Acc:HGNC:3659]	437	0.25568118691444397	0.01764597	No	
row_3	BRCA1	BRCA1 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1100]	473	0.24945107102394104	0.027384493	No	
row_4	HMGB2	high mobility group box 2 [Source:HGNC Symbol;Acc:HGNC:5000]	511	0.24373525381088257	0.03676068	No	
row_5	WEE1	WEE1 G2 checkpoint kinase [Source:HGNC Symbol;Acc:HGNC:12761]	958	0.18944557011127472	0.023321068	No	
row_6	CDK2	cyclin dependent kinase 2 [Source:HGNC Symbol;Acc:HGNC:1771]	1684	0.14137250185012817	-0.0061902925	No	
row_7	SLC20A1	solute carrier family 20 member 1 [Source:HGNC Symbol;Acc:HGNC:10946]	1922	0.12935051321983337	-0.012012359	No	
row_8	BTG3	BTG anti-proliferation factor 3 [Source:HGNC Symbol;Acc:HGNC:1132]	2234	0.11620785295963287	-0.022115223	No	
row_9	EBP	EBP cholestenol delta-isomerase [Source:HGNC Symbol;Acc:HGNC:3133]	2404	0.11047979444265366	-0.025427487	No	
row_10	GSR	glutathione-disulfide reductase [Source:HGNC Symbol;Acc:HGNC:4623]	2903	0.0947861522436142	-0.04580558	No	
row_11	BID	BH3 interacting domain death agonist [Source:HGNC Symbol;Acc:HGNC:1050]	2909	0.09456586092710495	-0.041702997	No	
row_12	VDAC2	voltage dependent anion channel 2 [Source:HGNC Symbol;Acc:HGNC:12672]	2940	0.0935659110546112	-0.03888835	No	
row_13	SC5D	sterol-C5-desaturase [Source:HGNC Symbol;Acc:HGNC:10547]	2949	0.09321235120296478	-0.034997076	No	
row_14	SATB1	SATB homeobox 1 [Source:HGNC Symbol;Acc:HGNC:10541]	3238	0.08551624417304993	-0.045369484	No	
row_15	CTNNB1	catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]	3277	0.08436847478151321	-0.04337543	No	
row_16	ETF1	eukaryotic translation termination factor 1 [Source:HGNC Symbol;Acc:HGNC:3477]	3874	0.07065880298614502	-0.06973197	No	
row_17	PAK1	p21 (RAC1) activated kinase 1 [Source:HGNC Symbol;Acc:HGNC:8590]	3993	0.06828977167606354	-0.07245187	No	
row_18	TGFB2	transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768]	4007	0.06800602376461029	-0.069968715	No	
row_19	DAP3	death associated protein 3 [Source:HGNC Symbol;Acc:HGNC:2673]	4117	0.06588569283485413	-0.072352126	No	
row_20	H1-0	H1.0 linker histone [Source:HGNC Symbol;Acc:HGNC:4714]	4362	0.06049788370728493	-0.081689835	No	
row_21	BCL2L11	BCL2 like 11 [Source:HGNC Symbol;Acc:HGNC:994]	4440	0.058967433869838715	-0.082801886	No	
row_22	CTH	cystathionine gamma-lyase [Source:HGNC Symbol;Acc:HGNC:2501]	4926	0.0496707484126091	-0.10460993	No	
row_23	PTK2	protein tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:9611]	5043	0.047474198043346405	-0.10818819	No	
row_24	CASP2	caspase 2 [Source:HGNC Symbol;Acc:HGNC:1503]	5126	0.04618717357516289	-0.11013664	No	
row_25	SOD1	superoxide dismutase 1 [Source:HGNC Symbol;Acc:HGNC:11179]	5234	0.044329460710287094	-0.1134125	No	
row_26	PPP3R1	protein phosphatase 3 regulatory subunit B, alpha [Source:HGNC Symbol;Acc:HGNC:9317]	5400	0.04135768860578537	-0.119706355	No	
row_27	ROCK1	Rho associated coiled-coil containing protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:10251]	5402	0.041327785700559616	-0.11785454	No	
row_28	CDKN1B	cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]	5878	0.03406313434243202	-0.13988392	No	
row_29	SMAD7	SMAD family member 7 [Source:HGNC Symbol;Acc:HGNC:6773]	6174	0.029661525040864944	-0.15317394	No	
row_30	DIABLO	diablo IAP-binding mitochondrial protein [Source:HGNC Symbol;Acc:HGNC:21528]	6218	0.029041029512882233	-0.15397389	No	
row_31	MMP2	matrix metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:7166]	6369	0.026934508234262466	-0.1601862	No	
row_32	PDCD4	programmed cell death 4 [Source:HGNC Symbol;Acc:HGNC:8763]	6379	0.026827847585082054	-0.15939894	No	
row_33	XIAP	X-linked inhibitor of apoptosis [Source:HGNC Symbol;Acc:HGNC:592]	6547	0.02466614916920662	-0.16656013	No	
row_34	CASP3	caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504]	6550	0.024650437757372856	-0.16552532	No	
row_35	AVPR1A	arginine vasopressin receptor 1A [Source:HGNC Symbol;Acc:HGNC:895]	7063	0.017336929216980934	-0.19016233	No	
row_36	BAX	BCL2 associated X, apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:959]	7616	0.010352599434554577	-0.21710776	No	
row_37	IFNB1	interferon beta 1 [Source:HGNC Symbol;Acc:HGNC:5434]	8119	0.004576902836561203	-0.24183509	No	
row_38	GPX4	glutathione peroxidase 4 [Source:HGNC Symbol;Acc:HGNC:4556]	8176	0.003975996281951666	-0.24443406	No	
row_39	DNAJA1	DnaJ heat shock protein family (Hsp40) member A1 [Source:HGNC Symbol;Acc:HGNC:5229]	8533	4.320245352573693E-5	-0.26211712	No	
row_40	BCL2L10	BCL2 like 10 [Source:HGNC Symbol;Acc:HGNC:993]	8584	-5.846202257089317E-4	-0.26457408	No	
row_41	ANKH	ANKH inorganic pyrophosphate transport regulator [Source:HGNC Symbol;Acc:HGNC:15492]	9171	-0.006047090515494347	-0.29340664	No	
row_42	F2	coagulation factor II, thrombin [Source:HGNC Symbol;Acc:HGNC:3535]	9222	-0.006503512617200613	-0.29559126	No	
row_43	CREBBP	CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]	9462	-0.008650684729218483	-0.30706608	No	
row_44	PSEN1	presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]	9627	-0.010039961896836758	-0.31475118	No	
row_45	GPX1	glutathione peroxidase 1 [Source:HGNC Symbol;Acc:HGNC:4553]	9632	-0.010087694972753525	-0.31448576	No	
row_46	TSPO	translocator protein [Source:HGNC Symbol;Acc:HGNC:1158]	9718	-0.010735958814620972	-0.31821436	No	
row_47	DNM1L	dynamin 1 like [Source:HGNC Symbol;Acc:HGNC:2973]	9815	-0.011517608538269997	-0.3224534	No	
row_48	GUCY2D	guanylate cyclase 2D, retinal [Source:HGNC Symbol;Acc:HGNC:4689]	9832	-0.011677897535264492	-0.32271096	No	
row_49	RHOT2	ras homolog family member T2 [Source:HGNC Symbol;Acc:HGNC:21169]	10103	-0.01390807144343853	-0.33548388	No	
row_50	BCAP31	B cell receptor associated protein 31 [Source:HGNC Symbol;Acc:HGNC:16695]	10723	-0.018578197807073593	-0.3653792	No	
row_51	CDC25B	cell division cycle 25B [Source:HGNC Symbol;Acc:HGNC:1726]	10804	-0.019145766273140907	-0.3684725	No	
row_52	MGMT	O-6-methylguanine-DNA methyltransferase [Source:HGNC Symbol;Acc:HGNC:7059]	11019	-0.02080628275871277	-0.37814608	No	
row_53	CASP6	caspase 6 [Source:HGNC Symbol;Acc:HGNC:1507]	11086	-0.021286865696310997	-0.38044536	No	
row_54	AIFM3	apoptosis inducing factor mitochondria associated 3 [Source:HGNC Symbol;Acc:HGNC:26398]	11198	-0.02215956710278988	-0.38493997	No	
row_55	DFFA	DNA fragmentation factor subunit alpha [Source:HGNC Symbol;Acc:HGNC:2772]	11446	-0.024075442925095558	-0.3961025	No	
row_56	BIK	BCL2 interacting killer [Source:HGNC Symbol;Acc:HGNC:1051]	11520	-0.024646008387207985	-0.39859498	No	
row_57	RELA	RELA proto-oncogene, NF-kB subunit [Source:HGNC Symbol;Acc:HGNC:9955]	12049	-0.028711043298244476	-0.4235035	No	
row_58	NEFH	neurofilament heavy [Source:HGNC Symbol;Acc:HGNC:7737]	12533	-0.03251408785581589	-0.44600156	No	
row_59	EGR3	early growth response 3 [Source:HGNC Symbol;Acc:HGNC:3240]	12582	-0.03294935077428818	-0.44687006	No	
row_60	KRT18	keratin 18 [Source:HGNC Symbol;Acc:HGNC:6430]	12838	-0.035058651119470596	-0.45792466	No	
row_61	APP	amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]	13043	-0.036834776401519775	-0.46636403	No	
row_62	FDXR	ferredoxin reductase [Source:HGNC Symbol;Acc:HGNC:3642]	13197	-0.03839903324842453	-0.4721979	No	
row_63	BCL2L1	BCL2 like 1 [Source:HGNC Symbol;Acc:HGNC:992]	13356	-0.03981596231460571	-0.47821495	No	
