NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PVR	PVR cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:9705]	582	0.2310653179883957	-0.02066919	No	
row_1	LAMA1	laminin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:6481]	1214	0.1694718599319458	-0.04598848	No	
row_2	MCM7	minichromosome maintenance complex component 7 [Source:HGNC Symbol;Acc:HGNC:6950]	1459	0.15345823764801025	-0.05262228	No	
row_3	PCOLCE2	procollagen C-endopeptidase enhancer 2 [Source:HGNC Symbol;Acc:HGNC:8739]	1581	0.14668548107147217	-0.053377714	No	
row_4	PFN2	profilin 2 [Source:HGNC Symbol;Acc:HGNC:8882]	1625	0.14430037140846252	-0.05033683	No	
row_5	FGF2	fibroblast growth factor 2 [Source:HGNC Symbol;Acc:HGNC:3676]	1664	0.14235007762908936	-0.04711713	No	
row_6	TPM2	tropomyosin 2 [Source:HGNC Symbol;Acc:HGNC:12011]	1800	0.13559144735336304	-0.04896764	No	
row_7	PTX3	pentraxin 3 [Source:HGNC Symbol;Acc:HGNC:9692]	1806	0.13532494008541107	-0.044357806	No	
row_8	PCOLCE	procollagen C-endopeptidase enhancer [Source:HGNC Symbol;Acc:HGNC:8738]	1966	0.12725581228733063	-0.047702044	No	
row_9	VCAN	versican [Source:HGNC Symbol;Acc:HGNC:2464]	2059	0.12343201786279678	-0.047849074	No	
row_10	SLIT3	slit guidance ligand 3 [Source:HGNC Symbol;Acc:HGNC:11087]	2229	0.11641467362642288	-0.052080236	No	
row_11	SLC6A8	solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055]	2235	0.116190105676651	-0.048157413	No	
row_12	COL11A1	collagen type XI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2186]	2385	0.11102989315986633	-0.05158654	No	
row_13	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:9082]	2514	0.10697630792856216	-0.054116063	No	
row_14	IGFBP2	insulin like growth factor binding protein 2 [Source:HGNC Symbol;Acc:HGNC:5471]	2788	0.09831789135932922	-0.064172894	No	
row_15	FBLN1	fibulin 1 [Source:HGNC Symbol;Acc:HGNC:3600]	2900	0.09483589231967926	-0.06629224	No	
row_16	CDH2	cadherin 2 [Source:HGNC Symbol;Acc:HGNC:1759]	3308	0.083711177110672	-0.0835425	No	
row_17	FERMT2	fermitin family member 2 [Source:HGNC Symbol;Acc:HGNC:15767]	3595	0.07694176584482193	-0.09501381	No	
row_18	DKK1	dickkopf WNT signaling pathway inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:2891]	3713	0.07417682558298111	-0.09817351	No	
row_19	TPM4	tropomyosin 4 [Source:HGNC Symbol;Acc:HGNC:12013]	4080	0.06663219630718231	-0.11399646	No	
row_20	MMP1	matrix metallopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:7155]	4313	0.06143871322274208	-0.12333689	No	
row_21	GPX7	glutathione peroxidase 7 [Source:HGNC Symbol;Acc:HGNC:4559]	5078	0.04686329886317253	-0.1596775	No	
row_22	BDNF	brain derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:1033]	5124	0.04621611535549164	-0.16025776	No	
row_23	PDLIM4	PDZ and LIM domain 4 [Source:HGNC Symbol;Acc:HGNC:16501]	5155	0.04565772786736488	-0.16011153	No	
row_24	CADM1	cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5951]	6123	0.030369067564606667	-0.20714737	No	
row_25	MMP2	matrix metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:7166]	6369	0.026934508234262466	-0.21837363	No	
row_26	FBN2	fibrillin 2 [Source:HGNC Symbol;Acc:HGNC:3604]	6593	0.024194300174713135	-0.22860336	No	
row_27	SDC1	syndecan 1 [Source:HGNC Symbol;Acc:HGNC:10658]	6859	0.02045624516904354	-0.24105757	No	
row_28	CTHRC1	collagen triple helix repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:18831]	7247	0.014981449581682682	-0.2597801	No	
row_29	COL4A2	collagen type IV alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2203]	8825	-0.0028265216387808323	-0.33816367	No	
row_30	PPIB	peptidylprolyl isomerase B [Source:HGNC Symbol;Acc:HGNC:9255]	9062	-0.004857519641518593	-0.34973466	No	
row_31	QSOX1	quiescin sulfhydryl oxidase 1 [Source:HGNC Symbol;Acc:HGNC:9756]	9611	-0.009932461194694042	-0.37665123	No	
row_32	COLGALT1	collagen beta(1-O)galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:26182]	9696	-0.01059769093990326	-0.3804513	No	
row_33	SGCB	sarcoglycan beta [Source:HGNC Symbol;Acc:HGNC:10806]	9846	-0.011780031956732273	-0.38744387	No	
row_34	MSX1	msh homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7391]	10714	-0.01850428804755211	-0.42992884	No	
row_35	CALU	calumenin [Source:HGNC Symbol;Acc:HGNC:1458]	11641	-0.025590160861611366	-0.47509575	No	
row_36	ITGB1	integrin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6153]	11799	-0.026904143393039703	-0.48194346	No	
row_37	BASP1	brain abundant membrane attached signal protein 1 [Source:HGNC Symbol;Acc:HGNC:957]	11860	-0.027287175878882408	-0.48394987	No	
row_38	MMP3	matrix metallopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:7173]	12121	-0.029264993965625763	-0.49583897	No	
row_39	FLNA	filamin A [Source:HGNC Symbol;Acc:HGNC:3754]	12234	-0.030160414054989815	-0.5003302	No	
row_40	LOX	lysyl oxidase [Source:HGNC Symbol;Acc:HGNC:6664]	12374	-0.031198812648653984	-0.50612783	No	
row_41	SGCG	sarcoglycan gamma [Source:HGNC Symbol;Acc:HGNC:10809]	12508	-0.03231896087527275	-0.5115867	No	
row_42	BMP1	bone morphogenetic protein 1 [Source:HGNC Symbol;Acc:HGNC:1067]	12887	-0.03546822443604469	-0.5291258	No	
row_43	COL5A3	collagen type V alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:14864]	13003	-0.03647276759147644	-0.53353965	No	
row_44	FOXC2	forkhead box C2 [Source:HGNC Symbol;Acc:HGNC:3801]	13020	-0.03663855046033859	-0.5330205	No	
row_45	CXCL6	C-X-C motif chemokine ligand 6 [Source:HGNC Symbol;Acc:HGNC:10643]	13059	-0.03696885704994202	-0.53358436	No	
row_46	OXTR	oxytocin receptor [Source:HGNC Symbol;Acc:HGNC:8529]	13242	-0.03878014162182808	-0.54124993	No	
row_47	CRLF1	cytokine receptor like factor 1 [Source:HGNC Symbol;Acc:HGNC:2364]	13473	-0.04080117121338844	-0.55123174	No	
row_48	COL4A1	collagen type IV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2202]	13494	-0.04105161875486374	-0.55075324	No	
row_49	SERPINH1	serpin family H member 1 [Source:HGNC Symbol;Acc:HGNC:1546]	13559	-0.04168413206934929	-0.5524418	No	
row_50	FBLN2	fibulin 2 [Source:HGNC Symbol;Acc:HGNC:3601]	13765	-0.043612152338027954	-0.5610785	No	
row_51	CALD1	caldesmon 1 [Source:HGNC Symbol;Acc:HGNC:1441]	13885	-0.04483450576663017	-0.56539124	No	
row_52	P3H1	prolyl 3-hydroxylase 1 [Source:HGNC Symbol;Acc:HGNC:19316]	13949	-0.04535539448261261	-0.5668982	No	
row_53	ID2	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]	14009	-0.04594600573182106	-0.5681849	No	
row_54	LOXL2	lysyl oxidase like 2 [Source:HGNC Symbol;Acc:HGNC:6666]	14071	-0.046597953885793686	-0.5695478	No	
row_55	COPA	COPI coat complex subunit alpha [Source:HGNC Symbol;Acc:HGNC:2230]	14419	-0.0506596639752388	-0.5849986	No	
row_56	COL8A2	collagen type VIII alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2216]	14433	-0.050728581845760345	-0.5838242	No	
row_57	CXCL8	C-X-C motif chemokine ligand 8 [Source:HGNC Symbol;Acc:HGNC:6025]	14445	-0.05088068172335625	-0.58254486	No	
row_58	PLOD1	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:9081]	14494	-0.05143311992287636	-0.58308715	No	
row_59	GAS1	growth arrest specific 1 [Source:HGNC Symbol;Acc:HGNC:4165]	14944	-0.05700850486755371	-0.6033864	No	
row_60	ELN	elastin [Source:HGNC Symbol;Acc:HGNC:3327]	14984	-0.05776449665427208	-0.6032534	No	
row_61	MATN3	matrilin 3 [Source:HGNC Symbol;Acc:HGNC:6909]	15184	-0.06104361265897751	-0.61096567	No	
row_62	VEGFC	vascular endothelial growth factor C [Source:HGNC Symbol;Acc:HGNC:12682]	15226	-0.06180672347545624	-0.6107871	No	
row_63	ACTA2	actin alpha 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:130]	15258	-0.06228150054812431	-0.6100938	No	
row_64	COL7A1	collagen type VII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2214]	15318	-0.06311217695474625	-0.61076415	No	
row_65	COMP	cartilage oligomeric matrix protein [Source:HGNC Symbol;Acc:HGNC:2227]	15319	-0.06314294040203094	-0.6084971	No	
row_66	GPC1	glypican 1 [Source:HGNC Symbol;Acc:HGNC:4449]	15323	-0.06321077048778534	-0.6063769	No	
row_67	DPYSL3	dihydropyrimidinase like 3 [Source:HGNC Symbol;Acc:HGNC:3015]	15345	-0.0635237768292427	-0.6051413	No	
row_68	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	15352	-0.06360817700624466	-0.6031561	No	
row_69	MAGEE1	MAGE family member E1 [Source:HGNC Symbol;Acc:HGNC:24934]	15366	-0.06385396420955658	-0.6015105	No	
row_70	IGFBP3	insulin like growth factor binding protein 3 [Source:HGNC Symbol;Acc:HGNC:5472]	15367	-0.0638955757021904	-0.5992164	No	
row_71	PLOD3	procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 [Source:HGNC Symbol;Acc:HGNC:9083]	15415	-0.0648525059223175	-0.5992271	No	
row_72	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	15447	-0.06537052243947983	-0.5984229	No	
row_73	THY1	Thy-1 cell surface antigen [Source:HGNC Symbol;Acc:HGNC:11801]	15580	-0.0673232451081276	-0.6025751	No	
row_74	ITGB3	integrin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6156]	15717	-0.06969135254621506	-0.6068415	No	
row_75	LOXL1	lysyl oxidase like 1 [Source:HGNC Symbol;Acc:HGNC:6665]	15769	-0.0706927478313446	-0.60684156	No	
row_76	SFRP1	secreted frizzled related protein 1 [Source:HGNC Symbol;Acc:HGNC:10776]	15778	-0.0708806961774826	-0.60469484	No	
