NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HBB	hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827]	630	0.22377537190914154	-0.016731603	No	
row_1	H4C3	H4 clustered histone 3 [Source:HGNC Symbol;Acc:HGNC:4787]	1075	0.18030868470668793	-0.027046898	No	
row_2	RCL1	RNA terminal phosphate cyclase like 1 [Source:HGNC Symbol;Acc:HGNC:17687]	1085	0.17966285347938538	-0.015757209	No	
row_3	GMPS	guanine monophosphate synthase [Source:HGNC Symbol;Acc:HGNC:4378]	1095	0.1789480745792389	-0.0045142183	No	
row_4	TFDP2	transcription factor Dp-2 [Source:HGNC Symbol;Acc:HGNC:11751]	1598	0.1458359807729721	-0.01996794	No	
row_5	HMBS	hydroxymethylbilane synthase [Source:HGNC Symbol;Acc:HGNC:4982]	1798	0.13562382757663727	-0.021010455	No	
row_6	ALAS2	5'-aminolevulinate synthase 2 [Source:HGNC Symbol;Acc:HGNC:397]	1974	0.12674939632415771	-0.021438418	No	
row_7	ASNS	asparagine synthetase (glutamine-hydrolyzing) [Source:HGNC Symbol;Acc:HGNC:753]	2035	0.12449922412633896	-0.016290572	No	
row_8	NNT	nicotinamide nucleotide transhydrogenase [Source:HGNC Symbol;Acc:HGNC:7863]	2054	0.12361849099397659	-0.009110192	No	
row_9	SLC30A10	solute carrier family 30 member 10 [Source:HGNC Symbol;Acc:HGNC:25355]	2196	0.11784430593252182	-0.008427972	No	
row_10	SLC6A8	solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055]	2235	0.116190105676651	-0.0027281686	No	
row_11	SLC25A38	solute carrier family 25 member 38 [Source:HGNC Symbol;Acc:HGNC:26054]	2434	0.10954654216766357	-0.005424576	No	
row_12	HDGF	heparin binding growth factor [Source:HGNC Symbol;Acc:HGNC:4856]	2722	0.09985785186290741	-0.013182918	No	
row_13	MXI1	MAX interactor 1, dimerization protein [Source:HGNC Symbol;Acc:HGNC:7534]	2924	0.09414875507354736	-0.01703457	No	
row_14	MINPP1	multiple inositol-polyphosphate phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:7102]	2978	0.09221218526363373	-0.013647724	No	
row_15	ARHGEF12	Rho guanine nucleotide exchange factor 12 [Source:HGNC Symbol;Acc:HGNC:14193]	3283	0.08418834954500198	-0.023275752	No	
row_16	GCLC	glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]	3387	0.0817946195602417	-0.023057677	No	
row_17	DCUN1D1	defective in cullin neddylation 1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18184]	3410	0.08128023147583008	-0.018842354	No	
row_18	FBXO34	F-box protein 34 [Source:HGNC Symbol;Acc:HGNC:20201]	3645	0.07583463191986084	-0.025532687	No	
