NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAD2L1	mitotic arrest deficient 2 like 1 [Source:HGNC Symbol;Acc:HGNC:6763]	66	0.4258706569671631	0.014428853	Yes	
row_1	EEF1B2	eukaryotic translation elongation factor 1 beta 2 [Source:HGNC Symbol;Acc:HGNC:3208]	278	0.2975753843784332	0.016304158	Yes	
row_2	IMPDH2	inosine monophosphate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:6053]	299	0.2945422828197479	0.027560046	Yes	
row_3	ABCE1	ATP binding cassette subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:69]	328	0.2847461998462677	0.03801028	Yes	
row_4	MCM6	minichromosome maintenance complex component 6 [Source:HGNC Symbol;Acc:HGNC:6949]	370	0.2725134789943695	0.047304645	Yes	
row_5	SNRPD1	small nuclear ribonucleoprotein D1 polypeptide [Source:HGNC Symbol;Acc:HGNC:11158]	377	0.27122920751571655	0.05828767	Yes	
row_6	CDC45	cell division cycle 45 [Source:HGNC Symbol;Acc:HGNC:1739]	380	0.2706483006477356	0.06944562	Yes	
row_7	GNL3	G protein nucleolar 3 [Source:HGNC Symbol;Acc:HGNC:29931]	414	0.26199793815612793	0.07870078	Yes	
row_8	HSPD1	heat shock protein family D (Hsp60) member 1 [Source:HGNC Symbol;Acc:HGNC:5261]	419	0.26141369342803955	0.08937508	Yes	
row_9	ODC1	ornithine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:8109]	450	0.25197601318359375	0.09836271	Yes	
row_10	CCNA2	cyclin A2 [Source:HGNC Symbol;Acc:HGNC:1578]	477	0.24896179139614105	0.10742405	Yes	
row_11	PCNA	proliferating cell nuclear antigen [Source:HGNC Symbol;Acc:HGNC:8729]	522	0.24153411388397217	0.115280524	Yes	
row_12	FBL	fibrillarin [Source:HGNC Symbol;Acc:HGNC:3599]	532	0.2403520792722702	0.1248299	Yes	
row_13	NPM1	nucleophosmin 1 [Source:HGNC Symbol;Acc:HGNC:7910]	594	0.22819319367408752	0.13128531	Yes	
row_14	NME1	NME/NM23 nucleoside diphosphate kinase 1 [Source:HGNC Symbol;Acc:HGNC:7849]	617	0.22503194212913513	0.1395504	Yes	
