NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NEUROD1	neuronal differentiation 1 [Source:HGNC Symbol;Acc:HGNC:7762]	1119	0.17731058597564697	-0.010005487	No	
row_1	SRP9	signal recognition particle 9 [Source:HGNC Symbol;Acc:HGNC:11304]	2431	0.10966664552688599	-0.046755247	No	
row_2	DCX	doublecortin [Source:HGNC Symbol;Acc:HGNC:2714]	2473	0.10817217081785202	-0.021173459	No	
row_3	ISL1	ISL LIM homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6132]	2568	0.10502753406763077	9.886395E-4	No	
row_4	SRPRB	SRP receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:24085]	3224	0.08587668091058731	-0.009439045	No	
row_5	ELP4	elongator acetyltransferase complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:1171]	3864	0.0708565041422844	-0.02290991	No	
row_6	ABCC8	ATP binding cassette subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:59]	5957	0.03299332037568092	-0.1177933	No	
row_7	AKT3	AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393]	6236	0.028699839487671852	-0.12419659	No	
row_8	INSM1	INSM transcriptional repressor 1 [Source:HGNC Symbol;Acc:HGNC:6090]	6860	0.02043311484158039	-0.1497458	No	
row_9	SPCS1	signal peptidase complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:23401]	7986	0.006174738518893719	-0.20372277	No	
row_10	STXBP1	syntaxin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11444]	8132	0.004437427967786789	-0.20975046	No	
row_11	PAX6	paired box 6 [Source:HGNC Symbol;Acc:HGNC:8620]	8390	0.0014179935678839684	-0.2220793	No	
row_12	SEC11A	SEC11 homolog A, signal peptidase complex subunit [Source:HGNC Symbol;Acc:HGNC:17718]	8701	-0.001647365279495716	-0.23696677	No	
row_13	GCG	glucagon [Source:HGNC Symbol;Acc:HGNC:4191]	9110	-0.005399150773882866	-0.25573602	No	
row_14	PDX1	pancreatic and duodenal homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6107]	9876	-0.01209927350282669	-0.2904241	No	
row_15	SLC2A2	solute carrier family 2 member 2 [Source:HGNC Symbol;Acc:HGNC:11006]	10208	-0.014744880609214306	-0.30300596	No	
row_16	FOXA2	forkhead box A2 [Source:HGNC Symbol;Acc:HGNC:5022]	10385	-0.016049860045313835	-0.30760083	No	
row_17	SRP14	signal recognition particle 14 [Source:HGNC Symbol;Acc:HGNC:11299]	11247	-0.022568918764591217	-0.3443575	No	
row_18	HNF1A	HNF1 homeobox A [Source:HGNC Symbol;Acc:HGNC:11621]	12225	-0.030117154121398926	-0.3849159	No	
row_19	G6PC2	glucose-6-phosphatase catalytic subunit 2 [Source:HGNC Symbol;Acc:HGNC:28906]	13075	-0.03714292496442795	-0.41736057	No	
row_20	NEUROG3	neurogenin 3 [Source:HGNC Symbol;Acc:HGNC:13806]	13518	-0.04136977344751358	-0.42862877	No	
row_21	PAX4	paired box 4 [Source:HGNC Symbol;Acc:HGNC:8618]	13634	-0.04240136221051216	-0.42348635	No	
row_22	GCK	glucokinase [Source:HGNC Symbol;Acc:HGNC:4195]	13756	-0.04354679957032204	-0.4183479	No	
row_23	PKLR	pyruvate kinase L/R [Source:HGNC Symbol;Acc:HGNC:9020]	13872	-0.04471436142921448	-0.41261515	No	
row_24	LMO2	LIM domain only 2 [Source:HGNC Symbol;Acc:HGNC:6642]	14674	-0.05365308001637459	-0.4384761	No	
row_25	NKX2-2	NK2 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7835]	15132	-0.06010376289486885	-0.44570392	No	
row_26	IAPP	islet amyloid polypeptide [Source:HGNC Symbol;Acc:HGNC:5329]	16978	-0.0965377688407898	-0.51217335	Yes	
row_27	CHGA	chromogranin A [Source:HGNC Symbol;Acc:HGNC:1929]	17281	-0.1047213226556778	-0.5003605	Yes	
row_28	SCGN	secretagogin, EF-hand calcium binding protein [Source:HGNC Symbol;Acc:HGNC:16941]	17477	-0.11053983867168427	-0.481779	Yes	
row_29	NKX6-1	NK6 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7839]	17836	-0.12382936477661133	-0.46785492	Yes	
row_30	FOXO1	forkhead box O1 [Source:HGNC Symbol;Acc:HGNC:3819]	17895	-0.12636199593544006	-0.43847042	Yes	
row_31	INS	insulin [Source:HGNC Symbol;Acc:HGNC:6081]	18052	-0.1336701512336731	-0.41206008	Yes	
row_32	PAK3	p21 (RAC1) activated kinase 3 [Source:HGNC Symbol;Acc:HGNC:8592]	18108	-0.1360989362001419	-0.3800425	Yes	
row_33	VDR	vitamin D receptor [Source:HGNC Symbol;Acc:HGNC:12679]	18403	-0.15139511227607727	-0.3559231	Yes	
row_34	MAFB	MAF bZIP transcription factor B [Source:HGNC Symbol;Acc:HGNC:6408]	18910	-0.1819097250699997	-0.33448473	Yes	
row_35	SST	somatostatin [Source:HGNC Symbol;Acc:HGNC:11329]	19134	-0.2001303881406784	-0.29442167	Yes	
row_36	PCSK2	proprotein convertase subtilisin/kexin type 2 [Source:HGNC Symbol;Acc:HGNC:8744]	19673	-0.2650255858898163	-0.2533517	Yes	
row_37	DPP4	dipeptidyl peptidase 4 [Source:HGNC Symbol;Acc:HGNC:3009]	20008	-0.35153770446777344	-0.18012953	Yes	
row_38	SYT13	synaptotagmin 13 [Source:HGNC Symbol;Acc:HGNC:14962]	20044	-0.3611564338207245	-0.089687906	Yes	
row_39	PCSK1	proprotein convertase subtilisin/kexin type 1 [Source:HGNC Symbol;Acc:HGNC:8743]	20115	-0.3988361060619354	0.00864155	Yes	
