NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
COVID19-ORF8 PROTEIN HOST PPI FROM KROGAN	COVID19-ORF8 PROTEIN HOST PPI FROM KROGAN	Details ...	46	-0.5235598	-1.4119443	0.1053719	0.76404405	0.393	4485	tags=39%, list=22%, signal=50%	
COVID19-ORF9C PROTEIN HOST PPI FROM KROGAN	COVID19-ORF9C PROTEIN HOST PPI FROM KROGAN	Details ...	24	-0.4772753	-1.2393872	0.24150944	0.9272649	0.578	4436	tags=33%, list=22%, signal=43%	
COVID19-NSP9 PROTEIN HOST PPI FROM KROGAN	COVID19-NSP9 PROTEIN HOST PPI FROM KROGAN	Details ...	15	-0.41543564	-0.9545868	0.5393474	1.0	0.779	2813	tags=33%, list=14%, signal=39%	
COVID19-NSP7 PROTEIN HOST PPI FROM KROGAN	COVID19-NSP7 PROTEIN HOST PPI FROM KROGAN	Details ...	31	-0.32646307	-0.8875428	0.60157794	1.0	0.811	6257	tags=35%, list=31%, signal=51%	
SARS CORONAVIRUS NSP8-PP1A FROM VIRUS-HOST PPI P-HIPSTER 2020	SARS CORONAVIRUS NSP8-PP1A FROM VIRUS-HOST PPI P-HIPSTER 2020	Details ...	42	-0.2723145	-0.8855645	0.579918	1.0	0.812	3246	tags=24%, list=16%, signal=28%	
COVID19-ALL 332 PROTEIN HOST PPI FROM KROGAN	COVID19-ALL 332 PROTEIN HOST PPI FROM KROGAN	Details ...	329	-0.24994004	-0.8135526	0.6640316	1.0	0.854	4761	tags=25%, list=23%, signal=32%	
SARS CORONAVIRUS ORF1AB FROM VIRUS-HOST PPI P-HIPSTER 2020	SARS CORONAVIRUS ORF1AB FROM VIRUS-HOST PPI P-HIPSTER 2020	Details ...	188	-0.23139311	-0.80786955	0.71399176	0.92814535	0.855	2844	tags=15%, list=14%, signal=17%	
SARS CORONAVIRUS NSP7-PP1A FROM VIRUS-HOST PPI P-HIPSTER 2020	SARS CORONAVIRUS NSP7-PP1A FROM VIRUS-HOST PPI P-HIPSTER 2020	Details ...	33	-0.2562852	-0.80147576	0.682	0.8209191	0.857	3246	tags=21%, list=16%, signal=25%	
COVID19-M PROTEIN HOST PPI FROM KROGAN	COVID19-M PROTEIN HOST PPI FROM KROGAN	Details ...	29	-0.26678124	-0.76789695	0.73175544	0.7821901	0.866	7251	tags=48%, list=36%, signal=75%	
COVID19-NSP8 PROTEIN HOST PPI FROM KROGAN	COVID19-NSP8 PROTEIN HOST PPI FROM KROGAN	Details ...	23	-0.27343032	-0.62050253	0.82684827	0.90996087	0.91	4761	tags=35%, list=23%, signal=45%	
SARS CORONAVIRUS HYPOTHETICAL PROTEIN SARS9B FROM VIRUS-HOST PPI P-HIPSTER 2020	SARS CORONAVIRUS HYPOTHETICAL PROTEIN SARS9B FROM VIRUS-HOST PPI P-HIPSTER 2020	Details ...	15	-0.15124032	-0.43344343	0.9980469	0.98172426	0.938	9245	tags=60%, list=46%, signal=110%	
