NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	POLA2	DNA polymerase alpha 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:30073]	157	0.22447532415390015	0.02588295	Yes	
row_1	RFC5	replication factor C subunit 5 [Source:HGNC Symbol;Acc:HGNC:9973]	178	0.21996067464351654	0.057890613	Yes	
row_2	RAD51	RAD51 recombinase [Source:HGNC Symbol;Acc:HGNC:9817]	287	0.18268346786499023	0.079936385	Yes	
row_3	RFC3	replication factor C subunit 3 [Source:HGNC Symbol;Acc:HGNC:9971]	305	0.17765627801418304	0.10574608	Yes	
row_4	TYMS	thymidylate synthetase [Source:HGNC Symbol;Acc:HGNC:12441]	347	0.168529212474823	0.12899484	Yes	
row_5	POLA1	DNA polymerase alpha 1, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9173]	373	0.16354656219482422	0.15229045	Yes	
row_6	ZWINT	ZW10 interacting kinetochore protein [Source:HGNC Symbol;Acc:HGNC:13195]	380	0.16235774755477905	0.17635106	Yes	
row_7	FEN1	flap structure-specific endonuclease 1 [Source:HGNC Symbol;Acc:HGNC:3650]	430	0.15381690859794617	0.19699533	Yes	
row_8	RFC4	replication factor C subunit 4 [Source:HGNC Symbol;Acc:HGNC:9972]	492	0.14428794384002686	0.21561418	Yes	
row_9	PCNA	proliferating cell nuclear antigen [Source:HGNC Symbol;Acc:HGNC:8729]	515	0.14141884446144104	0.23573893	Yes	
row_10	CANT1	calcium activated nucleotidase 1 [Source:HGNC Symbol;Acc:HGNC:19721]	722	0.11734900623559952	0.24311689	Yes	
row_11	PRIM1	DNA primase subunit 1 [Source:HGNC Symbol;Acc:HGNC:9369]	724	0.11713520437479019	0.260641	Yes	
row_12	RFC2	replication factor C subunit 2 [Source:HGNC Symbol;Acc:HGNC:9970]	1197	0.08999984711408615	0.2507089	Yes	
