NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLAC8	placenta associated 8 [Source:HGNC Symbol;Acc:HGNC:19254]	125	0.23935756087303162	0.016374575	No	
row_1	DTNA	dystrobrevin alpha [Source:HGNC Symbol;Acc:HGNC:3057]	603	0.13044562935829163	0.004947165	No	
row_2	MAP3K1	mitogen-activated protein kinase kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6848]	843	0.10901390016078949	0.003342619	No	
row_3	JMJD6	jumonji domain containing 6, arginine demethylase and lysine hydroxylase [Source:HGNC Symbol;Acc:HGNC:19355]	935	0.10322815179824829	0.008558359	No	
row_4	TNFAIP3	TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]	1100	0.09422091394662857	0.009290313	No	
row_5	ETS1	ETS proto-oncogene 1, transcription factor [Source:HGNC Symbol;Acc:HGNC:3488]	1350	0.08398464322090149	0.004825174	No	
row_6	RORA	RAR related orphan receptor A [Source:HGNC Symbol;Acc:HGNC:10258]	1425	0.08164296299219131	0.00884934	No	
row_7	EFNA3	ephrin A3 [Source:HGNC Symbol;Acc:HGNC:3223]	1537	0.07791972905397415	0.010680397	No	
row_8	CXCR4	C-X-C motif chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:2561]	1676	0.07374010235071182	0.010772997	No	
row_9	KLHL24	kelch like family member 24 [Source:HGNC Symbol;Acc:HGNC:25947]	1821	0.06923410296440125	0.010141571	No	
row_10	ERO1A	endoplasmic reticulum oxidoreductase 1 alpha [Source:HGNC Symbol;Acc:HGNC:13280]	1852	0.06845773011445999	0.015111036	No	
row_11	BCL2	BCL2 apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:990]	1859	0.06834407895803452	0.021264337	No	
row_12	PDK3	pyruvate dehydrogenase kinase 3 [Source:HGNC Symbol;Acc:HGNC:8811]	1924	0.06698106974363327	0.024402099	No	
row_13	PIM1	Pim-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:8986]	2493	0.05581683665513992	0.0014000551	No	
row_14	KDM3A	lysine demethylase 3A [Source:HGNC Symbol;Acc:HGNC:20815]	2973	0.04796096310019493	-0.017913768	No	
row_15	ZNF292	zinc finger protein 292 [Source:HGNC Symbol;Acc:HGNC:18410]	3034	0.04681144282221794	-0.016481	No	
row_16	ISG20	interferon stimulated exonuclease gene 20 [Source:HGNC Symbol;Acc:HGNC:6130]	3101	0.04577942565083504	-0.015444302	No	
row_17	EXT1	exostosin glycosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3512]	3813	0.03719978779554367	-0.04732148	No	
row_18	PRKCA	protein kinase C alpha [Source:HGNC Symbol;Acc:HGNC:9393]	4005	0.03538494557142258	-0.05348775	No	
row_19	PDK1	pyruvate dehydrogenase kinase 1 [Source:HGNC Symbol;Acc:HGNC:8809]	4044	0.035002440214157104	-0.052074783	No	
row_20	HEXA	hexosaminidase subunit alpha [Source:HGNC Symbol;Acc:HGNC:4878]	4091	0.0345604345202446	-0.05110173	No	
row_21	WSB1	WD repeat and SOCS box containing 1 [Source:HGNC Symbol;Acc:HGNC:19221]	4131	0.03411165624856949	-0.049822625	No	
row_22	CCNG2	cyclin G2 [Source:HGNC Symbol;Acc:HGNC:1593]	4457	0.030821792781352997	-0.063089326	No	
row_23	SDC3	syndecan 3 [Source:HGNC Symbol;Acc:HGNC:10660]	4477	0.030633142217993736	-0.06114314	No	
row_24	TPI1	triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:12009]	4597	0.029612496495246887	-0.06427066	No	
row_25	BNIP3L	BCL2 interacting protein 3 like [Source:HGNC Symbol;Acc:HGNC:1085]	4723	0.028710337355732918	-0.067781985	No	
row_26	TMEM45A	transmembrane protein 45A [Source:HGNC Symbol;Acc:HGNC:25480]	4735	0.02859606221318245	-0.065629914	No	
row_27	KLF7	Kruppel like factor 7 [Source:HGNC Symbol;Acc:HGNC:6350]	4827	0.02771504409611225	-0.0675429	No	
row_28	CDKN1C	cyclin dependent kinase inhibitor 1C [Source:HGNC Symbol;Acc:HGNC:1786]	4884	0.027220292016863823	-0.06776052	No	
row_29	IGFBP3	insulin like growth factor binding protein 3 [Source:HGNC Symbol;Acc:HGNC:5472]	4904	0.027026202529668808	-0.06615484	No	
row_30	SLC2A1	solute carrier family 2 member 1 [Source:HGNC Symbol;Acc:HGNC:11005]	4907	0.027024684473872185	-0.06370315	No	
row_31	PGF	placental growth factor [Source:HGNC Symbol;Acc:HGNC:8893]	5091	0.025296762585639954	-0.070423596	No	
row_32	P4HA1	prolyl 4-hydroxylase subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:8546]	5160	0.02469552867114544	-0.07147685	No	
row_33	PYGM	glycogen phosphorylase, muscle associated [Source:HGNC Symbol;Acc:HGNC:9726]	5169	0.02463645674288273	-0.06954926	No	
row_34	NDST2	N-deacetylase and N-sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:7681]	5195	0.0244305320084095	-0.068487264	No	
row_35	PGK1	phosphoglycerate kinase 1 [Source:HGNC Symbol;Acc:HGNC:8896]	5221	0.024227559566497803	-0.06744443	No	
row_36	GALK1	galactokinase 1 [Source:HGNC Symbol;Acc:HGNC:4118]	5389	0.022987205535173416	-0.07358652	No	
row_37	GAPDH	glyceraldehyde-3-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4141]	5399	0.022946210578083992	-0.07186828	No	
row_38	PNRC1	proline rich nuclear receptor coactivator 1 [Source:HGNC Symbol;Acc:HGNC:17278]	5457	0.02244255319237709	-0.07258671	No	
row_39	DPYSL4	dihydropyrimidinase like 4 [Source:HGNC Symbol;Acc:HGNC:3016]	5460	0.022403907030820847	-0.07057124	No	
row_40	PGAM2	phosphoglycerate mutase 2 [Source:HGNC Symbol;Acc:HGNC:8889]	5621	0.02116008847951889	-0.07653741	No	
row_41	GAA	glucosidase alpha, acid [Source:HGNC Symbol;Acc:HGNC:4065]	5685	0.02065388672053814	-0.07772334	No	
row_42	PLIN2	perilipin 2 [Source:HGNC Symbol;Acc:HGNC:248]	5719	0.020424945279955864	-0.07743767	No	
row_43	RRAGD	Ras related GTP binding D [Source:HGNC Symbol;Acc:HGNC:19903]	5936	0.018817022442817688	-0.086412355	No	
row_44	ACKR3	atypical chemokine receptor 3 [Source:HGNC Symbol;Acc:HGNC:23692]	6110	0.01763022691011429	-0.093358815	No	
row_45	SLC2A5	solute carrier family 2 member 5 [Source:HGNC Symbol;Acc:HGNC:11010]	6203	0.01705651730298996	-0.09632778	No	
row_46	LDHA	lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535]	6319	0.01622011512517929	-0.1005205	No	
row_47	GCK	glucokinase [Source:HGNC Symbol;Acc:HGNC:4195]	6614	0.01441056840121746	-0.1137935	No	
row_48	HSPA5	heat shock protein family A (Hsp70) member 5 [Source:HGNC Symbol;Acc:HGNC:5238]	6669	0.014007837511599064	-0.11515888	No	
row_49	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	7017	0.011824984103441238	-0.13131396	No	
row_50	ALDOA	aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]	7156	0.01094293687492609	-0.13714966	No	
row_51	SLC25A1	solute carrier family 25 member 1 [Source:HGNC Symbol;Acc:HGNC:10979]	7294	0.010027268901467323	-0.14302203	No	
row_52	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	7363	0.009601549245417118	-0.1455002	No	
row_53	ANKZF1	ankyrin repeat and zinc finger peptidyl tRNA hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:25527]	7571	0.00834660418331623	-0.15501536	No	
row_54	UGP2	UDP-glucose pyrophosphorylase 2 [Source:HGNC Symbol;Acc:HGNC:12527]	7796	0.007043173536658287	-0.16549975	No	
row_55	EDN2	endothelin 2 [Source:HGNC Symbol;Acc:HGNC:3177]	7813	0.006962811574339867	-0.1656388	No	
row_56	BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	7817	0.006947771180421114	-0.16513222	No	
row_57	GYS1	glycogen synthase 1 [Source:HGNC Symbol;Acc:HGNC:4706]	7889	0.0065663279965519905	-0.16804627	No	
row_58	INHA	inhibin subunit alpha [Source:HGNC Symbol;Acc:HGNC:6065]	7891	0.006557786371558905	-0.16747695	No	
row_59	ENO1	enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350]	7932	0.0062774610705673695	-0.16887528	No	
row_60	CDKN1B	cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]	8028	0.005813801195472479	-0.17305492	No	
row_61	RBPJ	recombination signal binding protein for immunoglobulin kappa J region [Source:HGNC Symbol;Acc:HGNC:5724]	8225	0.004725194536149502	-0.18236445	No	
row_62	NR3C1	nuclear receptor subfamily 3 group C member 1 [Source:HGNC Symbol;Acc:HGNC:7978]	8393	0.0037546351086348295	-0.19032218	No	
row_63	GAPDHS	glyceraldehyde-3-phosphate dehydrogenase, spermatogenic [Source:HGNC Symbol;Acc:HGNC:24864]	8428	0.0035662297159433365	-0.19167781	No	
row_64	TKTL1	transketolase like 1 [Source:HGNC Symbol;Acc:HGNC:11835]	8537	0.0029150210320949554	-0.19677816	No	
row_65	BRS3	bombesin receptor subtype 3 [Source:HGNC Symbol;Acc:HGNC:1113]	8566	0.002763951662927866	-0.1979109	No	
row_66	PKLR	pyruvate kinase L/R [Source:HGNC Symbol;Acc:HGNC:9020]	9154	-4.978781216777861E-4	-0.22708096	No	
row_67	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	9254	-0.0010877298191189766	-0.23190585	No	
row_68	CSRP2	cysteine and glycine rich protein 2 [Source:HGNC Symbol;Acc:HGNC:2470]	9446	-0.0019742136355489492	-0.24122623	No	
row_69	CCN5	cellular communication network factor 5 [Source:HGNC Symbol;Acc:HGNC:12770]	9483	-0.002165477955713868	-0.24281365	No	
row_70	TPST2	tyrosylprotein sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:12021]	9510	-0.002323757391422987	-0.24388838	No	
row_71	GPI	glucose-6-phosphate isomerase [Source:HGNC Symbol;Acc:HGNC:4458]	9645	-0.0030929779168218374	-0.25026605	No	
row_72	KIF5A	kinesin family member 5A [Source:HGNC Symbol;Acc:HGNC:6323]	9803	-0.003878411604091525	-0.25771436	No	
row_73	PKP1	plakophilin 1 [Source:HGNC Symbol;Acc:HGNC:9023]	10038	-0.004955115262418985	-0.26889357	No	
row_74	DDIT3	DNA damage inducible transcript 3 [Source:HGNC Symbol;Acc:HGNC:2726]	10086	-0.00521524203941226	-0.2707406	No	
row_75	PHKG1	phosphorylase kinase catalytic subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:8930]	10167	-0.00561463413760066	-0.27419242	No	
row_76	ERRFI1	ERBB receptor feedback inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:18185]	10251	-0.006005050148814917	-0.27775675	No	
row_77	PRDX5	peroxiredoxin 5 [Source:HGNC Symbol;Acc:HGNC:9355]	10283	-0.006167517974972725	-0.2787175	No	
row_78	NAGK	N-acetylglucosamine kinase [Source:HGNC Symbol;Acc:HGNC:17174]	10739	-0.008591966703534126	-0.30055332	No	
row_79	GPC1	glypican 1 [Source:HGNC Symbol;Acc:HGNC:4449]	10821	-0.009021730162203312	-0.3037333	No	
row_80	PFKP	phosphofructokinase, platelet [Source:HGNC Symbol;Acc:HGNC:8878]	10831	-0.009045078419148922	-0.30332735	No	
row_81	BCAN	brevican [Source:HGNC Symbol;Acc:HGNC:23059]	11306	-0.011724450625479221	-0.32581317	No	
row_82	ALDOC	aldolase, fructose-bisphosphate C [Source:HGNC Symbol;Acc:HGNC:418]	11454	-0.01248435489833355	-0.33195132	No	
row_83	BTG1	BTG anti-proliferation factor 1 [Source:HGNC Symbol;Acc:HGNC:1130]	11456	-0.012496125884354115	-0.33082142	No	
row_84	PPFIA4	PTPRF interacting protein alpha 4 [Source:HGNC Symbol;Acc:HGNC:9248]	11623	-0.013353568501770496	-0.33782318	No	
row_85	AMPD3	adenosine monophosphate deaminase 3 [Source:HGNC Symbol;Acc:HGNC:470]	11974	-0.015351400710642338	-0.3537947	No	
row_86	TES	testin LIM domain protein [Source:HGNC Symbol;Acc:HGNC:14620]	12288	-0.017045604065060616	-0.36776465	No	
row_87	ADORA2B	adenosine A2b receptor [Source:HGNC Symbol;Acc:HGNC:264]	12393	-0.017652271315455437	-0.37127465	No	
row_88	HK1	hexokinase 1 [Source:HGNC Symbol;Acc:HGNC:4922]	12479	-0.018176300451159477	-0.3737895	No	
