NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SELL	selectin L [Source:HGNC Symbol;Acc:HGNC:10720]	47	0.30501335859298706	0.023047522	No	
row_1	IL7R	interleukin 7 receptor [Source:HGNC Symbol;Acc:HGNC:6024]	59	0.29562559723854065	0.04710553	No	
row_2	CCR7	C-C motif chemokine receptor 7 [Source:HGNC Symbol;Acc:HGNC:1608]	184	0.21739967167377472	0.059028223	No	
row_3	CD48	CD48 molecule [Source:HGNC Symbol;Acc:HGNC:1683]	216	0.20776917040348053	0.07477829	No	
row_4	IL18	interleukin 18 [Source:HGNC Symbol;Acc:HGNC:5986]	222	0.20563162863254547	0.091644555	No	
row_5	RASGRP1	RAS guanyl releasing protein 1 [Source:HGNC Symbol;Acc:HGNC:9878]	231	0.20254524052143097	0.10810462	No	
row_6	CD69	CD69 molecule [Source:HGNC Symbol;Acc:HGNC:1694]	331	0.17265720665454865	0.117547646	No	
row_7	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	344	0.16908107697963715	0.13102332	No	
row_8	CXCL9	C-X-C motif chemokine ligand 9 [Source:HGNC Symbol;Acc:HGNC:7098]	397	0.1575227677822113	0.14154604	No	
row_9	CXCL10	C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]	503	0.14304780960083008	0.14822598	No	
row_10	CYBB	cytochrome b-245 beta chain [Source:HGNC Symbol;Acc:HGNC:2578]	604	0.1304287612438202	0.15410447	No	
row_11	KCNA3	potassium voltage-gated channel subfamily A member 3 [Source:HGNC Symbol;Acc:HGNC:6221]	645	0.12569701671600342	0.16257554	No	
row_12	CCL2	C-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:10618]	773	0.11448296904563904	0.16578296	No	
row_13	GP1BA	glycoprotein Ib platelet subunit alpha [Source:HGNC Symbol;Acc:HGNC:4439]	815	0.1106463298201561	0.17295155	No	
