NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EPHB3	EPH receptor B3 [Source:HGNC Symbol;Acc:HGNC:3394]	469	0.14753080904483795	-0.010099838	No	
row_1	ACTN2	actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164]	600	0.13084493577480316	-0.0048243515	No	
row_2	DTNA	dystrobrevin alpha [Source:HGNC Symbol;Acc:HGNC:3057]	603	0.13044562935829163	0.006786301	No	
row_3	CDH13	cadherin 13 [Source:HGNC Symbol;Acc:HGNC:1753]	734	0.11634375154972076	0.010760006	No	
row_4	ADAM12	ADAM metallopeptidase domain 12 [Source:HGNC Symbol;Acc:HGNC:190]	1016	0.0987946093082428	0.005642508	No	
row_5	RB1	RB transcriptional corepressor 1 [Source:HGNC Symbol;Acc:HGNC:9884]	1584	0.07634906470775604	-0.015725173	No	
row_6	KCNH1	potassium voltage-gated channel subfamily H member 1 [Source:HGNC Symbol;Acc:HGNC:6250]	1601	0.07570196688175201	-0.009725728	No	
row_7	MYOM2	myomesin 2 [Source:HGNC Symbol;Acc:HGNC:7614]	1750	0.07164821773767471	-0.010660297	No	
row_8	IFRD1	interferon related developmental regulator 1 [Source:HGNC Symbol;Acc:HGNC:5456]	2216	0.06068138778209686	-0.028357577	No	
row_9	TCAP	titin-cap [Source:HGNC Symbol;Acc:HGNC:11610]	2791	0.05106267333030701	-0.05234365	No	
row_10	SYNGR2	synaptogyrin 2 [Source:HGNC Symbol;Acc:HGNC:11499]	2980	0.04776280000805855	-0.057413373	No	
row_11	RIT1	Ras like without CAAX 1 [Source:HGNC Symbol;Acc:HGNC:10023]	3403	0.04182714223861694	-0.074662946	No	
row_12	CKB	creatine kinase B [Source:HGNC Symbol;Acc:HGNC:1991]	3492	0.04075383394956589	-0.07538452	No	
row_13	GNAO1	G protein subunit alpha o1 [Source:HGNC Symbol;Acc:HGNC:4389]	3648	0.03913238272070885	-0.079586476	No	
row_14	LSP1	lymphocyte specific protein 1 [Source:HGNC Symbol;Acc:HGNC:6707]	4107	0.03440992906689644	-0.099293746	No	
row_15	NAV2	neuron navigator 2 [Source:HGNC Symbol;Acc:HGNC:15997]	4583	0.029783373698592186	-0.120262496	No	
row_16	ATP2A1	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:811]	4824	0.027732782065868378	-0.12971856	No	
row_17	IGFBP3	insulin like growth factor binding protein 3 [Source:HGNC Symbol;Acc:HGNC:5472]	4904	0.027026202529668808	-0.1312245	No	
row_18	PKIA	cAMP-dependent protein kinase inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:9017]	5030	0.025786995887756348	-0.13513127	No	
row_19	VIPR1	vasoactive intestinal peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:12694]	5036	0.025733353570103645	-0.13307004	No	
