NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GOSR2	golgi SNAP receptor complex member 2 [Source:HGNC Symbol;Acc:HGNC:4431]	664	0.12357265502214432	-0.006807913	No	
row_1	CCL2	C-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:10618]	773	0.11448296904563904	0.012019146	No	
row_2	EIF4A3	eukaryotic translation initiation factor 4A3 [Source:HGNC Symbol;Acc:HGNC:18683]	885	0.10653836280107498	0.029019585	No	
row_3	CNOT4	CCR4-NOT transcription complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:7880]	1515	0.0787496417760849	0.014479373	No	
row_4	ERO1A	endoplasmic reticulum oxidoreductase 1 alpha [Source:HGNC Symbol;Acc:HGNC:13280]	1852	0.06845773011445999	0.012286217	No	
row_5	CNOT6	CCR4-NOT transcription complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:14099]	2195	0.061112914234399796	0.008244444	No	
row_6	FUS	FUS RNA binding protein [Source:HGNC Symbol;Acc:HGNC:4010]	2311	0.058971747756004333	0.015000321	No	
row_7	CKS1B	CDC28 protein kinase regulatory subunit 1B [Source:HGNC Symbol;Acc:HGNC:19083]	2911	0.04900435358285904	-0.0043354915	No	
row_8	NFYB	nuclear transcription factor Y subunit beta [Source:HGNC Symbol;Acc:HGNC:7805]	3072	0.04622737318277359	-0.0025014477	No	
row_9	ATP6V0D1	ATPase H+ transporting V0 subunit d1 [Source:HGNC Symbol;Acc:HGNC:13724]	3239	0.04414501041173935	-0.0014045637	No	
row_10	SSR1	signal sequence receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:11323]	3636	0.03925485536456108	-0.01273906	No	
row_11	BANF1	BAF nuclear assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:17397]	3872	0.03670808672904968	-0.01663246	No	
row_12	EXOSC9	exosome component 9 [Source:HGNC Symbol;Acc:HGNC:9137]	3885	0.03659424930810928	-0.009498264	No	
row_13	CNOT2	CCR4-NOT transcription complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:7878]	3971	0.03566916659474373	-0.006177251	No	
row_14	KHSRP	KH-type splicing regulatory protein [Source:HGNC Symbol;Acc:HGNC:6316]	3989	0.03554043918848038	4.8658025E-4	No	
row_15	CXXC1	CXXC finger protein 1 [Source:HGNC Symbol;Acc:HGNC:24343]	4036	0.035061322152614594	0.005612011	No	
row_16	EXOSC2	exosome component 2 [Source:HGNC Symbol;Acc:HGNC:17097]	4039	0.0350414402782917	0.012913835	No	
