NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GRK5	G protein-coupled receptor kinase 5 [Source:HGNC Symbol;Acc:HGNC:4544]	519	0.14121846854686737	-0.009401165	No	
row_1	RGS4	regulator of G protein signaling 4 [Source:HGNC Symbol;Acc:HGNC:10000]	534	0.13981260359287262	0.0061005754	No	
row_2	DLC1	DLC1 Rho GTPase activating protein [Source:HGNC Symbol;Acc:HGNC:2897]	687	0.12072551995515823	0.012541511	No	
row_3	CELF2	CUGBP Elav-like family member 2 [Source:HGNC Symbol;Acc:HGNC:2550]	987	0.10018035024404526	0.009306014	No	
row_4	SCN8A	sodium voltage-gated channel alpha subunit 8 [Source:HGNC Symbol;Acc:HGNC:10596]	1031	0.09787481278181076	0.018510036	No	
row_5	KALRN	kalirin RhoGEF kinase [Source:HGNC Symbol;Acc:HGNC:4814]	1500	0.07930554449558258	0.0044679455	No	
row_6	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981]	1639	0.07465967535972595	0.0062672626	No	
row_7	PDLIM5	PDZ and LIM domain 5 [Source:HGNC Symbol;Acc:HGNC:17468]	1641	0.0746230036020279	0.014862352	No	
row_8	SPOP	speckle type BTB/POZ protein [Source:HGNC Symbol;Acc:HGNC:11254]	1675	0.07378813624382019	0.0217724	No	
row_9	NRP1	neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]	2268	0.059768982231616974	-6.876735E-4	No	
row_10	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A [Source:HGNC Symbol;Acc:HGNC:3091]	2345	0.05850094556808472	0.002317112	No	
row_11	MAGI2	membrane associated guanylate kinase, WW and PDZ domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18957]	2691	0.052740346640348434	-0.008697305	No	
row_12	MYC	MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]	2847	0.050091564655303955	-0.010587886	No	
row_13	PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]	3123	0.04544752091169357	-0.01897268	No	
row_14	PTPN21	protein tyrosine phosphatase non-receptor type 21 [Source:HGNC Symbol;Acc:HGNC:9651]	3332	0.042760808020830154	-0.024343159	No	
row_15	RASA2	RAS p21 protein activator 2 [Source:HGNC Symbol;Acc:HGNC:9872]	3415	0.04168563336133957	-0.02358416	No	
row_16	EFEMP1	EGF containing fibulin extracellular matrix protein 1 [Source:HGNC Symbol;Acc:HGNC:3218]	3571	0.03997337445616722	-0.026646886	No	
row_17	DMAC2L	distal membrane arm assembly complex 2 like [Source:HGNC Symbol;Acc:HGNC:18799]	3802	0.03730286657810211	-0.033741616	No	
row_18	IGF1R	insulin like growth factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:5465]	3990	0.03551742807030678	-0.03890887	No	
