NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LEF1	lymphoid enhancer binding factor 1 [Source:HGNC Symbol;Acc:HGNC:6551]	273	0.18640951812267303	0.06663325	No	
row_1	TCF7	transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:11639]	765	0.11477912962436676	0.0917151	No	
row_2	AXIN2	axin 2 [Source:HGNC Symbol;Acc:HGNC:904]	1181	0.09044992923736572	0.11009398	No	
row_3	CUL1	cullin 1 [Source:HGNC Symbol;Acc:HGNC:2551]	1761	0.07109125703573227	0.11205369	No	
row_4	GNAI1	G protein subunit alpha i1 [Source:HGNC Symbol;Acc:HGNC:4384]	2139	0.062195587903261185	0.12016601	No	
row_5	PTCH1	patched 1 [Source:HGNC Symbol;Acc:HGNC:9585]	2505	0.0556548610329628	0.12605986	No	
row_6	MYC	MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]	2847	0.050091564655303955	0.13074796	No	
row_7	SKP2	S-phase kinase associated protein 2 [Source:HGNC Symbol;Acc:HGNC:10901]	3108	0.04564041644334793	0.13752323	No	
row_8	DVL2	dishevelled segment polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:3086]	3758	0.03779619187116623	0.12171638	No	
row_9	NKD1	NKD inhibitor of WNT signaling pathway 1 [Source:HGNC Symbol;Acc:HGNC:17045]	4931	0.02679862454533577	0.07535454	No	
row_10	ADAM17	ADAM metallopeptidase domain 17 [Source:HGNC Symbol;Acc:HGNC:195]	5085	0.02532835491001606	0.07868427	No	
row_11	MAML1	mastermind like transcriptional coactivator 1 [Source:HGNC Symbol;Acc:HGNC:13632]	5564	0.021539416164159775	0.06433541	No	
row_12	HDAC5	histone deacetylase 5 [Source:HGNC Symbol;Acc:HGNC:14068]	5849	0.019467560574412346	0.058676828	No	
row_13	CSNK1E	casein kinase 1 epsilon [Source:HGNC Symbol;Acc:HGNC:2453]	6012	0.018286755308508873	0.058535747	No	
row_14	HDAC2	histone deacetylase 2 [Source:HGNC Symbol;Acc:HGNC:4853]	6877	0.012570126913487911	0.021269381	No	
row_15	NUMB	NUMB endocytic adaptor protein [Source:HGNC Symbol;Acc:HGNC:8060]	7806	0.006985984276980162	-0.021557594	No	
row_16	RBPJ	recombination signal binding protein for immunoglobulin kappa J region [Source:HGNC Symbol;Acc:HGNC:5724]	8225	0.004725194536149502	-0.040169787	No	
row_17	KAT2A	lysine acetyltransferase 2A [Source:HGNC Symbol;Acc:HGNC:4201]	8519	0.0030215776059776545	-0.05334102	No	
row_18	WNT1	Wnt family member 1 [Source:HGNC Symbol;Acc:HGNC:12774]	9231	-9.819210972636938E-4	-0.08803185	No	
row_19	CCND2	cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]	9359	-0.0016004337230697274	-0.09361593	No	
row_20	NCOR2	nuclear receptor corepressor 2 [Source:HGNC Symbol;Acc:HGNC:7673]	9404	-0.0018162046326324344	-0.095008306	No	
row_21	AXIN1	axin 1 [Source:HGNC Symbol;Acc:HGNC:903]	10507	-0.007410324178636074	-0.14624593	No	
row_22	FZD8	frizzled class receptor 8 [Source:HGNC Symbol;Acc:HGNC:4046]	11537	-0.01293988898396492	-0.19150192	No	
row_23	FRAT1	FRAT regulator of WNT signaling pathway 1 [Source:HGNC Symbol;Acc:HGNC:3944]	11911	-0.015010612085461617	-0.2034713	No	
row_24	PPARD	peroxisome proliferator activated receptor delta [Source:HGNC Symbol;Acc:HGNC:9235]	12527	-0.01845891773700714	-0.22590986	No	
row_25	WNT6	Wnt family member 6 [Source:HGNC Symbol;Acc:HGNC:12785]	13081	-0.021550994366407394	-0.24395764	No	
row_26	NCSTN	nicastrin [Source:HGNC Symbol;Acc:HGNC:17091]	13838	-0.026382461190223694	-0.26995412	No	
row_27	WNT5B	Wnt family member 5B [Source:HGNC Symbol;Acc:HGNC:16265]	14057	-0.02781558223068714	-0.26876545	No	
row_28	NOTCH4	notch receptor 4 [Source:HGNC Symbol;Acc:HGNC:7884]	14749	-0.03280547261238098	-0.2887914	No	
