NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	200	0.7260429	1.9239948	0.0	0.0	0.0	4073	tags=77%, list=20%, signal=95%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	58	0.70773834	1.8132502	0.0020618557	0.0019492693	0.008	3964	tags=76%, list=20%, signal=94%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	200	0.73202676	1.5887681	0.02886598	0.081013106	0.231	2222	tags=58%, list=11%, signal=65%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	200	0.7652487	1.5843982	0.029106028	0.06474356	0.247	2944	tags=74%, list=15%, signal=86%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	150	0.4420505	1.4851407	0.12244898	0.12603155	0.436	5202	tags=47%, list=26%, signal=62%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	113	0.45120502	1.421632	0.125	0.1602337	0.514	3921	tags=43%, list=19%, signal=53%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	199	0.4583004	1.3254902	0.208	0.2269515	0.653	2362	tags=26%, list=12%, signal=29%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	200	0.43298405	1.3025286	0.26706827	0.21862565	0.68	6159	tags=58%, list=30%, signal=83%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	135	0.3405237	1.1093446	0.28336754	0.39370862	0.85	4240	tags=34%, list=21%, signal=43%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	200	0.3803137	1.1058365	0.37777779	0.35739428	0.85	4458	tags=41%, list=22%, signal=51%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	104	0.2065201	0.6758698	0.87601626	0.8561721	0.994	3982	tags=25%, list=20%, signal=31%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	200	0.1912547	0.657391	0.90020365	0.80305916	0.995	3610	tags=20%, list=18%, signal=23%	
