NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
COVID-19 PATIENTS BALF DOWN	COVID-19 PATIENTS BALF DOWN	Details ...	320	0.59313375	1.9932789	0.0	0.009510852	0.007	4832	tags=48%, list=24%, signal=62%	
DOWN-REGULATED BY SARS-COV-2 IN FERRET NASAL WASH FROM GSE147507	DOWN-REGULATED BY SARS-COV-2 IN FERRET NASAL WASH FROM GSE147507	Details ...	408	0.63506824	1.9384893	0.0	0.010022709	0.013	3336	tags=40%, list=16%, signal=47%	
DOWN-REGULATED BY MHV-A59 IN MURINE SPLEEN 3D FROM GSE146074	DOWN-REGULATED BY MHV-A59 IN MURINE SPLEEN 3D FROM GSE146074	Details ...	434	0.60920906	1.9153761	0.0	0.014283496	0.021	3744	tags=39%, list=18%, signal=47%	
DOWN-REGULATED BY IAV-INFECTION IN MOUSE SPLEEN	DOWN-REGULATED BY IAV-INFECTION IN MOUSE SPLEEN	Details ...	382	0.61281365	1.9128175	0.0	0.010712622	0.021	3663	tags=41%, list=18%, signal=50%	
UP-REGULATED BY SARS-COV-2 IN NHBE FROM GSE147507	UP-REGULATED BY SARS-COV-2 IN NHBE FROM GSE147507	Details ...	488	0.6572997	1.9024577	0.0021008404	0.010194622	0.026	3736	tags=46%, list=18%, signal=55%	
UP-REGULATED BY SARS-COV-2 IN FERRET NASAL WASH FROM GSE147507	UP-REGULATED BY SARS-COV-2 IN FERRET NASAL WASH FROM GSE147507	Details ...	368	0.53685796	1.8900627	0.0020533882	0.010424466	0.033	3295	tags=31%, list=16%, signal=36%	
SARS PERTURBATION UP GENES PBMCS GDS1028:GPL201	SARS PERTURBATION UP GENES PBMCS GDS1028:GPL201	Details ...	265	0.62945414	1.8898283	0.0	0.008935256	0.033	4466	tags=48%, list=22%, signal=61%	
DOWN-REGULATED BY MHV-A59 IN MURINE SPLEEN 5D FROM GSE146074	DOWN-REGULATED BY MHV-A59 IN MURINE SPLEEN 5D FROM GSE146074	Details ...	447	0.659218	1.8853561	0.0	0.008200992	0.035	3959	tags=47%, list=20%, signal=57%	
DOWN-REGULATED BY SARS-COV-2 IN FERRET TRACHEA FROM GSE147507	DOWN-REGULATED BY SARS-COV-2 IN FERRET TRACHEA FROM GSE147507	Details ...	428	0.5711477	1.8837756	0.00996016	0.007400212	0.036	4905	tags=51%, list=24%, signal=65%	
SARS PERTURBATION UP GENES MOUSE LUNG FROM GSE19137:GPL1261:1	SARS PERTURBATION UP GENES MOUSE LUNG FROM GSE19137:GPL1261:1	Details ...	304	0.65816855	1.8816868	0.0	0.0067815143	0.037	3192	tags=43%, list=16%, signal=51%	
