NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
MARTENS_BOUND_BY_PML_RARA_FUSION	MARTENS_BOUND_BY_PML_RARA_FUSION	Details ...	451	0.5648874	2.0812347	0.0	0.07817769	0.026	4246	tags=41%, list=21%, signal=51%	
BIOCARTA_ALK_PATHWAY	BIOCARTA_ALK_PATHWAY	Details ...	37	0.64678985	2.0744724	0.0	0.043584347	0.031	4071	tags=38%, list=20%, signal=47%	
RICKMAN_METASTASIS_DN	RICKMAN_METASTASIS_DN	Details ...	257	0.578541	2.0384567	0.0	0.049558286	0.056	4223	tags=39%, list=21%, signal=49%	
WP_NUCLEAR_RECEPTORS	WP_NUCLEAR_RECEPTORS	Details ...	38	0.7464934	2.0108109	0.0	0.05101405	0.079	3510	tags=58%, list=17%, signal=70%	
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	Details ...	114	0.59109306	2.0090024	0.0	0.04211302	0.081	3744	tags=33%, list=18%, signal=41%	
SABATES_COLORECTAL_ADENOMA_SIZE_UP	SABATES_COLORECTAL_ADENOMA_SIZE_UP	Details ...	19	0.7010292	2.008166	0.0	0.03546854	0.083	2685	tags=37%, list=13%, signal=42%	
COLDREN_GEFITINIB_RESISTANCE_DN	COLDREN_GEFITINIB_RESISTANCE_DN	Details ...	218	0.5950544	1.9937524	0.0	0.03624831	0.098	3593	tags=33%, list=18%, signal=40%	
MULLIGHAN_MLL_SIGNATURE_1_UP	MULLIGHAN_MLL_SIGNATURE_1_UP	Details ...	377	0.6149298	1.992548	0.0	0.03184726	0.099	4223	tags=47%, list=21%, signal=59%	
MULLIGHAN_NPM1_MUTATED_SIGNATURE_2_DN	MULLIGHAN_NPM1_MUTATED_SIGNATURE_2_DN	Details ...	76	0.5804989	1.990599	0.0	0.02910844	0.103	4940	tags=47%, list=24%, signal=62%	
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_LATE_STAGE_BRANCHING_MORPHOGENESIS_PANCREATIC_BUD_PRECURSOR_CELLS	REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_LATE_STAGE_BRANCHING_MORPHOGENESIS_PANCREATIC_BUD_PRECURSOR_CELLS	Details ...	16	0.67271215	1.9880222	0.006012024	0.028378736	0.106	2678	tags=31%, list=13%, signal=36%	
MULLIGHAN_MLL_SIGNATURE_2_UP	MULLIGHAN_MLL_SIGNATURE_2_UP	Details ...	414	0.6061604	1.987765	0.0	0.02579885	0.106	3708	tags=42%, list=18%, signal=51%	
REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK	REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK	Details ...	109	0.6629247	1.9828969	0.0	0.025673684	0.114	3324	tags=41%, list=16%, signal=49%	
