NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO_DENDRITE_MORPHOGENESIS	GO_DENDRITE_MORPHOGENESIS	Details ...	144	0.57801014	1.90853	0.0	0.37510088	0.214	3234	tags=42%, list=16%, signal=49%	
GO_REGULATION_OF_SYNAPTIC_VESICLE_CYCLE	GO_REGULATION_OF_SYNAPTIC_VESICLE_CYCLE	Details ...	113	0.6516184	1.8949478	0.0	0.2368322	0.241	3212	tags=51%, list=16%, signal=61%	
GO_SYNAPTIC_VESICLE_EXOCYTOSIS	GO_SYNAPTIC_VESICLE_EXOCYTOSIS	Details ...	120	0.63295555	1.8738412	0.0	0.24229844	0.33	3814	tags=52%, list=19%, signal=63%	
GO_NEUROTRANSMITTER_SECRETION	GO_NEUROTRANSMITTER_SECRETION	Details ...	174	0.6147634	1.867751	0.0020618557	0.1997713	0.348	3074	tags=46%, list=15%, signal=54%	
GO_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE	GO_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE	Details ...	219	0.61619407	1.8663911	0.0020833334	0.16260232	0.349	3814	tags=50%, list=19%, signal=61%	
GO_REGULATION_OF_SYNAPTIC_VESICLE_EXOCYTOSIS	GO_REGULATION_OF_SYNAPTIC_VESICLE_EXOCYTOSIS	Details ...	79	0.667083	1.8595738	0.0	0.1523688	0.376	3212	tags=53%, list=16%, signal=63%	
GO_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL	GO_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL	Details ...	37	0.73961407	1.8264844	0.0	0.22177936	0.485	2539	tags=49%, list=13%, signal=56%	
GO_POSITIVE_REGULATION_OF_DENDRITIC_SPINE_DEVELOPMENT	GO_POSITIVE_REGULATION_OF_DENDRITIC_SPINE_DEVELOPMENT	Details ...	43	0.5963155	1.8208878	0.002057613	0.21310508	0.507	2907	tags=40%, list=14%, signal=46%	
GO_REGULATION_OF_DENDRITE_MORPHOGENESIS	GO_REGULATION_OF_DENDRITE_MORPHOGENESIS	Details ...	93	0.5553568	1.8077077	0.0	0.23198052	0.542	4647	tags=49%, list=23%, signal=64%	
GO_MODULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL	GO_MODULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL	Details ...	45	0.65214616	1.8057891	0.004255319	0.21666133	0.547	2643	tags=44%, list=13%, signal=51%	
GO_CYTOSKELETON_DEPENDENT_INTRACELLULAR_TRANSPORT	GO_CYTOSKELETON_DEPENDENT_INTRACELLULAR_TRANSPORT	Details ...	196	0.5504107	1.7974744	0.008064516	0.22618203	0.575	4203	tags=49%, list=21%, signal=62%	
GO_SYNAPTIC_VESICLE_PRIMING	GO_SYNAPTIC_VESICLE_PRIMING	Details ...	20	0.754045	1.7971026	0.0	0.20919028	0.579	3074	tags=65%, list=15%, signal=77%	
GO_POSTSYNAPTIC_SPECIALIZATION_ORGANIZATION	GO_POSTSYNAPTIC_SPECIALIZATION_ORGANIZATION	Details ...	34	0.7136804	1.7899768	0.004132231	0.2148278	0.61	985	tags=35%, list=5%, signal=37%	
GO_MICROTUBULE_BASED_TRANSPORT	GO_MICROTUBULE_BASED_TRANSPORT	Details ...	188	0.5556787	1.7872549	0.0020120724	0.20870355	0.617	4246	tags=50%, list=21%, signal=63%	
GO_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT	GO_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT	Details ...	119	0.6040125	1.7864558	0.0041237115	0.19703366	0.621	3074	tags=45%, list=15%, signal=53%	
GO_DENDRITE_DEVELOPMENT	GO_DENDRITE_DEVELOPMENT	Details ...	245	0.5042358	1.7828139	0.0061728396	0.19475721	0.63	3769	tags=40%, list=19%, signal=49%	
