NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CEP112	centrosomal protein 112 [Source:HGNC Symbol;Acc:HGNC:28514]	124	0.2623579800128937	0.011375293	Yes	
row_1	CENPF	centromere protein F [Source:HGNC Symbol;Acc:HGNC:1857]	295	0.20049169659614563	0.016299019	Yes	
row_2	PLEKHF2	pleckstrin homology and FYVE domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20757]	348	0.18767891824245453	0.026275074	Yes	
row_3	POLA2	DNA polymerase alpha 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:30073]	412	0.1749708205461502	0.0348482	Yes	
row_4	LOX	lysyl oxidase [Source:HGNC Symbol;Acc:HGNC:6664]	467	0.1665649712085724	0.043308698	Yes	
row_5	HOOK1	hook microtubule tethering protein 1 [Source:HGNC Symbol;Acc:HGNC:19884]	537	0.15509213507175446	0.050248686	Yes	
row_6	CEP135	centrosomal protein 135 [Source:HGNC Symbol;Acc:HGNC:29086]	603	0.14708304405212402	0.056852173	Yes	
row_7	POLA1	DNA polymerase alpha 1, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9173]	724	0.13652189075946808	0.05999246	Yes	
row_8	NPC2	NPC intracellular cholesterol transporter 2 [Source:HGNC Symbol;Acc:HGNC:14537]	783	0.1316882222890854	0.06591462	Yes	
row_9	CIT	citron rho-interacting serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1985]	829	0.1283738911151886	0.07226585	Yes	
row_10	GGH	gamma-glutamyl hydrolase [Source:HGNC Symbol;Acc:HGNC:4248]	958	0.11986245959997177	0.07388861	Yes	
row_11	PRIM2	DNA primase subunit 2 [Source:HGNC Symbol;Acc:HGNC:9370]	962	0.11958209425210953	0.081754476	Yes	
row_12	NGDN	neuroguidin [Source:HGNC Symbol;Acc:HGNC:20271]	977	0.11903393268585205	0.08903255	Yes	
row_13	TMED5	transmembrane p24 trafficking protein 5 [Source:HGNC Symbol;Acc:HGNC:24251]	1206	0.10792268812656403	0.084845416	Yes	
row_14	TRIM59	tripartite motif containing 59 [Source:HGNC Symbol;Acc:HGNC:30834]	1356	0.10244037955999374	0.0842483	Yes	
row_15	EXOSC3	exosome component 3 [Source:HGNC Symbol;Acc:HGNC:17944]	1423	0.10016822069883347	0.087656766	Yes	
row_16	IL17RA	interleukin 17 receptor A [Source:HGNC Symbol;Acc:HGNC:5985]	1428	0.10008423030376434	0.094165504	Yes	
row_17	SELENOS	selenoprotein S [Source:HGNC Symbol;Acc:HGNC:30396]	1595	0.09495442360639572	0.09221495	Yes	
row_18	EXOSC8	exosome component 8 [Source:HGNC Symbol;Acc:HGNC:17035]	1605	0.09470035880804062	0.09811231	Yes	
row_19	PMPCB	peptidase, mitochondrial processing subunit beta [Source:HGNC Symbol;Acc:HGNC:9119]	1644	0.09352946281433105	0.10247841	Yes	
row_20	FASTKD5	FAST kinase domains 5 [Source:HGNC Symbol;Acc:HGNC:25790]	1681	0.09229731559753418	0.106862105	Yes	
row_21	ARF6	ADP ribosylation factor 6 [Source:HGNC Symbol;Acc:HGNC:659]	1698	0.09196948260068893	0.11222573	Yes	
row_22	ATP13A3	ATPase 13A3 [Source:HGNC Symbol;Acc:HGNC:24113]	1756	0.09021615236997604	0.11541793	Yes	
row_23	GCC1	GRIP and coiled-coil domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19095]	1761	0.09014637023210526	0.12126048	Yes	
row_24	WASHC4	WASH complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:29174]	1772	0.08977476507425308	0.12677756	Yes	
row_25	RBM41	RNA binding motif protein 41 [Source:HGNC Symbol;Acc:HGNC:25617]	1775	0.08968459069728851	0.13268934	Yes	
row_26	DCAF7	DDB1 and CUL4 associated factor 7 [Source:HGNC Symbol;Acc:HGNC:30915]	1780	0.08941342681646347	0.13848276	Yes	
row_27	MIB1	mindbomb E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:21086]	1789	0.08922060579061508	0.14406289	Yes	
row_28	SLU7	SLU7 homolog, splicing factor [Source:HGNC Symbol;Acc:HGNC:16939]	1877	0.08691943436861038	0.14553122	Yes	
row_29	DPY19L1	dpy-19 like C-mannosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:22205]	1903	0.08638317883014679	0.15006952	Yes	
row_30	PRIM1	DNA primase subunit 1 [Source:HGNC Symbol;Acc:HGNC:9369]	1944	0.08541946113109589	0.15379179	Yes	
row_31	MARK2	microtubule affinity regulating kinase 2 [Source:HGNC Symbol;Acc:HGNC:3332]	1948	0.08527471125125885	0.15935786	Yes	
row_32	RAE1	ribonucleic acid export 1 [Source:HGNC Symbol;Acc:HGNC:9828]	2130	0.08131958544254303	0.15574187	Yes	
row_33	MARK3	microtubule affinity regulating kinase 3 [Source:HGNC Symbol;Acc:HGNC:6897]	2142	0.08112704008817673	0.16062915	Yes	
row_34	RIPK1	receptor interacting serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:10019]	2160	0.08086548745632172	0.16519834	Yes	
row_35	NUP98	nucleoporin 98 and 96 precursor [Source:HGNC Symbol;Acc:HGNC:8068]	2217	0.07940623909235	0.16771598	Yes	
row_36	TBK1	TANK binding kinase 1 [Source:HGNC Symbol;Acc:HGNC:11584]	2235	0.0790526270866394	0.17216364	Yes	
row_37	SLC30A7	solute carrier family 30 member 7 [Source:HGNC Symbol;Acc:HGNC:19306]	2253	0.07874547690153122	0.1765907	Yes	
row_38	SRP54	signal recognition particle 54 [Source:HGNC Symbol;Acc:HGNC:11301]	2254	0.07873938232660294	0.18186897	Yes	
row_39	GOLGB1	golgin B1 [Source:HGNC Symbol;Acc:HGNC:4429]	2268	0.07835161685943604	0.18647002	Yes	
row_40	SAAL1	serum amyloid A like 1 [Source:HGNC Symbol;Acc:HGNC:25158]	2284	0.07795555889606476	0.19094431	Yes	
row_41	FBN1	fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]	2321	0.07725758105516434	0.19431983	Yes	
row_42	HSBP1	heat shock factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:5203]	2338	0.07680368423461914	0.19866681	Yes	
row_43	TLE1	TLE family member 1, transcriptional corepressor [Source:HGNC Symbol;Acc:HGNC:11837]	2387	0.07588813453912735	0.20134939	Yes	
row_44	PPT1	palmitoyl-protein thioesterase 1 [Source:HGNC Symbol;Acc:HGNC:9325]	2394	0.07572772353887558	0.2061252	Yes	
row_45	NUP58	nucleoporin 58 [Source:HGNC Symbol;Acc:HGNC:20261]	2396	0.07567901164293289	0.21114823	Yes	
row_46	CYB5B	cytochrome b5 type B [Source:HGNC Symbol;Acc:HGNC:24374]	2399	0.07564350217580795	0.21611878	Yes	
row_47	F2RL1	F2R like trypsin receptor 1 [Source:HGNC Symbol;Acc:HGNC:3538]	2480	0.07421541959047318	0.21708618	Yes	
row_48	ERP44	endoplasmic reticulum protein 44 [Source:HGNC Symbol;Acc:HGNC:18311]	2502	0.07381825894117355	0.22098257	Yes	
row_49	UGGT2	UDP-glucose glycoprotein glucosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:15664]	2584	0.07245629280805588	0.22178194	Yes	
row_50	NUP54	nucleoporin 54 [Source:HGNC Symbol;Acc:HGNC:17359]	2608	0.07214664667844772	0.22546609	Yes	
row_51	SRP19	signal recognition particle 19 [Source:HGNC Symbol;Acc:HGNC:11300]	2629	0.0718303918838501	0.22927931	Yes	
row_52	EDEM3	ER degradation enhancing alpha-mannosidase like protein 3 [Source:HGNC Symbol;Acc:HGNC:16787]	2642	0.07154883444309235	0.23347442	Yes	
row_53	TOMM70	translocase of outer mitochondrial membrane 70 [Source:HGNC Symbol;Acc:HGNC:11985]	2678	0.07108511030673981	0.23648627	Yes	
row_54	RBM28	RNA binding motif protein 28 [Source:HGNC Symbol;Acc:HGNC:21863]	2685	0.07104688137769699	0.2409483	Yes	
