NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL7	interleukin 7 [Source:HGNC Symbol;Acc:HGNC:6023]	6	0.5202189087867737	0.027776215	Yes	
row_1	PTPRC	protein tyrosine phosphatase receptor type C [Source:HGNC Symbol;Acc:HGNC:9666]	17	0.4208134412765503	0.04998872	Yes	
row_2	IL2RG	interleukin 2 receptor subunit gamma [Source:HGNC Symbol;Acc:HGNC:6010]	23	0.3977566361427307	0.07120574	Yes	
row_3	IL18	interleukin 18 [Source:HGNC Symbol;Acc:HGNC:5986]	32	0.3762463331222534	0.09111261	Yes	
row_4	TRAT1	T cell receptor associated transmembrane adaptor 1 [Source:HGNC Symbol;Acc:HGNC:30698]	33	0.37612012028694153	0.111410804	Yes	
row_5	LY75	lymphocyte antigen 75 [Source:HGNC Symbol;Acc:HGNC:6729]	47	0.3352473974227905	0.12885624	Yes	
row_6	CD3G	CD3g molecule [Source:HGNC Symbol;Acc:HGNC:1675]	51	0.3286406993865967	0.1464428	Yes	
row_7	CXCL9	C-X-C motif chemokine ligand 9 [Source:HGNC Symbol;Acc:HGNC:7098]	52	0.32582852244377136	0.16402689	Yes	
row_8	CD96	CD96 molecule [Source:HGNC Symbol;Acc:HGNC:16892]	55	0.3225068151950836	0.18133219	Yes	
row_9	FYB1	FYN binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4036]	66	0.3046896755695343	0.1972778	Yes	
row_10	CXCL13	C-X-C motif chemokine ligand 13 [Source:HGNC Symbol;Acc:HGNC:10639]	74	0.29891058802604675	0.21306084	Yes	
row_11	CCL19	C-C motif chemokine ligand 19 [Source:HGNC Symbol;Acc:HGNC:10617]	79	0.295524537563324	0.22881043	Yes	
row_12	CCL2	C-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:10618]	82	0.2914694547653198	0.24444072	Yes	
row_13	ITK	IL2 inducible T cell kinase [Source:HGNC Symbol;Acc:HGNC:6171]	99	0.27667826414108276	0.25857604	Yes	
row_14	CD3E	CD3e molecule [Source:HGNC Symbol;Acc:HGNC:1674]	127	0.2615128755569458	0.2713455	Yes	
row_15	IRF8	interferon regulatory factor 8 [Source:HGNC Symbol;Acc:HGNC:5358]	130	0.25953277945518494	0.28525227	Yes	
row_16	CD3D	CD3d molecule [Source:HGNC Symbol;Acc:HGNC:1673]	146	0.2519190013408661	0.29810116	Yes	
row_17	BRCA1	BRCA1 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1100]	151	0.24833767116069794	0.3113042	Yes	
row_18	ETS1	ETS proto-oncogene 1, transcription factor [Source:HGNC Symbol;Acc:HGNC:3488]	198	0.2265269011259079	0.32124	Yes	
row_19	CTSS	cathepsin S [Source:HGNC Symbol;Acc:HGNC:2545]	229	0.21722188591957092	0.33146992	Yes	
row_20	HLA-DRA	major histocompatibility complex, class II, DR alpha [Source:HGNC Symbol;Acc:HGNC:4947]	262	0.20815442502498627	0.34111091	Yes	
row_21	MMP9	matrix metallopeptidase 9 [Source:HGNC Symbol;Acc:HGNC:7176]	275	0.2061423510313034	0.35163867	Yes	
row_22	PRKCB	protein kinase C beta [Source:HGNC Symbol;Acc:HGNC:9395]	291	0.20140649378299713	0.36176157	Yes	
row_23	CD2	CD2 molecule [Source:HGNC Symbol;Acc:HGNC:1639]	323	0.19269122183322906	0.37061784	Yes	
row_24	ICAM1	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]	334	0.1904599517583847	0.38039878	Yes	
row_25	LCP2	lymphocyte cytosolic protein 2 [Source:HGNC Symbol;Acc:HGNC:6529]	346	0.1877293586730957	0.3899826	Yes	
row_26	GPR65	G protein-coupled receptor 65 [Source:HGNC Symbol;Acc:HGNC:4517]	350	0.18751350045204163	0.3999529	Yes	
row_27	SRGN	serglycin [Source:HGNC Symbol;Acc:HGNC:9361]	364	0.18455873429775238	0.40926608	Yes	
row_28	GBP2	guanylate binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4183]	382	0.18069982528686523	0.41817194	Yes	
row_29	CD40LG	CD40 ligand [Source:HGNC Symbol;Acc:HGNC:11935]	400	0.17721007764339447	0.42688948	Yes	
row_30	CD28	CD28 molecule [Source:HGNC Symbol;Acc:HGNC:1653]	442	0.1709081381559372	0.4340725	Yes	
row_31	ITGAL	integrin subunit alpha L [Source:HGNC Symbol;Acc:HGNC:6148]	458	0.16798095405101776	0.44239148	Yes	
row_32	STAT1	signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]	494	0.16253240406513214	0.4494211	Yes	
row_33	CD74	CD74 molecule [Source:HGNC Symbol;Acc:HGNC:1697]	509	0.16025835275650024	0.4573731	Yes	
row_34	LYN	LYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6735]	574	0.14995242655277252	0.4622806	Yes	
row_35	B2M	beta-2-microglobulin [Source:HGNC Symbol;Acc:HGNC:914]	579	0.14942725002765656	0.47014573	Yes	
row_36	CD4	CD4 molecule [Source:HGNC Symbol;Acc:HGNC:1678]	624	0.1452898383140564	0.4757969	Yes	
row_37	HLA-DOB	major histocompatibility complex, class II, DO beta [Source:HGNC Symbol;Acc:HGNC:4937]	648	0.14299052953720093	0.48236912	Yes	
row_38	CD80	CD80 molecule [Source:HGNC Symbol;Acc:HGNC:1700]	651	0.1429527997970581	0.48998436	Yes	
row_39	TAP1	transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]	669	0.1415429413318634	0.49677703	Yes	
row_40	TLR1	toll like receptor 1 [Source:HGNC Symbol;Acc:HGNC:11847]	677	0.14116469025611877	0.5040469	Yes	
row_41	IGSF6	immunoglobulin superfamily member 6 [Source:HGNC Symbol;Acc:HGNC:5953]	690	0.1402425616979599	0.5110183	Yes	
row_42	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	747	0.13467349112033844	0.5154993	Yes	
