NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KRT19	keratin 19 [Source:HGNC Symbol;Acc:HGNC:6436]	152	0.24827906489372253	0.03729135	Yes	
row_1	CDK6	cyclin dependent kinase 6 [Source:HGNC Symbol;Acc:HGNC:1777]	416	0.17474114894866943	0.055810105	Yes	
row_2	PDLIM5	PDZ and LIM domain 5 [Source:HGNC Symbol;Acc:HGNC:17468]	535	0.15539000928401947	0.078017	Yes	
row_3	B2M	beta-2-microglobulin [Source:HGNC Symbol;Acc:HGNC:914]	579	0.14942725002765656	0.102862015	Yes	
row_4	TNFAIP8	TNF alpha induced protein 8 [Source:HGNC Symbol;Acc:HGNC:17260]	740	0.1354486346244812	0.119388945	Yes	
row_5	CCND1	cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]	797	0.13031165301799774	0.14013936	Yes	
row_6	SAT1	spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]	808	0.12955939769744873	0.1630322	Yes	
row_7	BMPR1B	bone morphogenetic protein receptor type 1B [Source:HGNC Symbol;Acc:HGNC:1077]	850	0.12714652717113495	0.18395415	Yes	
row_8	RPS6KA3	ribosomal protein S6 kinase A3 [Source:HGNC Symbol;Acc:HGNC:10432]	991	0.11830130219459534	0.19837618	Yes	
row_9	TMEM50A	transmembrane protein 50A [Source:HGNC Symbol;Acc:HGNC:30590]	1126	0.11125592142343521	0.21182354	Yes	
row_10	SGK1	serum/glucocorticoid regulated kinase 1 [Source:HGNC Symbol;Acc:HGNC:10810]	1237	0.10660805553197861	0.22562051	Yes	
row_11	APPBP2	amyloid beta precursor protein binding protein 2 [Source:HGNC Symbol;Acc:HGNC:622]	1308	0.10433081537485123	0.24098746	Yes	
row_12	SELENOP	selenoprotein P [Source:HGNC Symbol;Acc:HGNC:10751]	1372	0.10193058103322983	0.25626782	Yes	
row_13	ITGAV	integrin subunit alpha V [Source:HGNC Symbol;Acc:HGNC:6150]	1848	0.08753486722707748	0.24854432	Yes	
row_14	SEC24D	SEC24 homolog D, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10706]	2183	0.08029679954051971	0.24649751	Yes	
row_15	IDI1	isopentenyl-diphosphate delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:5387]	2351	0.07651560008525848	0.25203913	Yes	
row_16	ELK4	ETS transcription factor ELK4 [Source:HGNC Symbol;Acc:HGNC:3326]	2365	0.0762493759393692	0.26515985	Yes	
row_17	LMAN1	lectin, mannose binding 1 [Source:HGNC Symbol;Acc:HGNC:6631]	2367	0.0761776715517044	0.27886197	Yes	
row_18	MYL12A	myosin light chain 12A [Source:HGNC Symbol;Acc:HGNC:16701]	2402	0.07561086118221283	0.29082736	Yes	
row_19	GNAI3	G protein subunit alpha i3 [Source:HGNC Symbol;Acc:HGNC:4387]	2590	0.07241073250770569	0.2946374	Yes	
row_20	SRP19	signal recognition particle 19 [Source:HGNC Symbol;Acc:HGNC:11300]	2629	0.0718303918838501	0.30572227	Yes	
row_21	PIAS1	protein inhibitor of activated STAT 1 [Source:HGNC Symbol;Acc:HGNC:2752]	2676	0.07109439373016357	0.316278	Yes	
