NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MMP12	matrix metallopeptidase 12 [Source:HGNC Symbol;Acc:HGNC:7158]	29	0.3778519332408905	0.02503951	Yes	
row_1	GZMK	granzyme K [Source:HGNC Symbol;Acc:HGNC:4711]	59	0.31294378638267517	0.04552973	Yes	
row_2	PLA2G7	phospholipase A2 group VII [Source:HGNC Symbol;Acc:HGNC:9040]	89	0.28732970356941223	0.064224705	Yes	
row_3	TNFAIP3	TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]	113	0.26838934421539307	0.08189083	Yes	
row_4	PLEK	pleckstrin [Source:HGNC Symbol;Acc:HGNC:9070]	118	0.26635855436325073	0.10036031	Yes	
row_5	RASGRP1	RAS guanyl releasing protein 1 [Source:HGNC Symbol;Acc:HGNC:9878]	142	0.25394687056541443	0.117014185	Yes	
row_6	CR2	complement C3d receptor 2 [Source:HGNC Symbol;Acc:HGNC:2336]	143	0.25341811776161194	0.13477579	Yes	
row_7	C3	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	159	0.24362799525260925	0.15110463	Yes	
row_8	CR1	complement C3b/C4b receptor 1 (Knops blood group) [Source:HGNC Symbol;Acc:HGNC:2334]	163	0.24215605854988098	0.16792758	Yes	
row_9	CTSH	cathepsin H [Source:HGNC Symbol;Acc:HGNC:2535]	175	0.23593220114707947	0.18391612	Yes	
row_10	CTSS	cathepsin S [Source:HGNC Symbol;Acc:HGNC:2545]	229	0.21722188591957092	0.1965028	Yes	
row_11	PIK3CG	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:8978]	235	0.21513035893440247	0.21133202	Yes	
row_12	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	294	0.20052053034305573	0.22249927	Yes	
row_13	CDH13	cadherin 13 [Source:HGNC Symbol;Acc:HGNC:1753]	324	0.19256983697414398	0.2345527	Yes	
