NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TOP2A	DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989]	94	0.28004080057144165	0.01126729	Yes	
row_1	MELK	maternal embryonic leucine zipper kinase [Source:HGNC Symbol;Acc:HGNC:16870]	95	0.27964478731155396	0.027190743	Yes	
row_2	BRCA1	BRCA1 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1100]	151	0.24833767116069794	0.03859397	Yes	
row_3	RAD51AP1	RAD51 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16956]	158	0.2441118359565735	0.052195475	Yes	
row_4	DIAPH3	diaphanous related formin 3 [Source:HGNC Symbol;Acc:HGNC:15480]	177	0.23465682566165924	0.06466131	Yes	
row_5	DLGAP5	DLG associated protein 5 [Source:HGNC Symbol;Acc:HGNC:16864]	193	0.22933432459831238	0.07697339	Yes	
row_6	BRCA2	BRCA2 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1101]	226	0.21776822209358215	0.08778074	Yes	
row_7	DEPDC1	DEP domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22949]	236	0.21493341028690338	0.09957145	Yes	
row_8	CDKN3	cyclin dependent kinase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:1791]	251	0.21121613681316376	0.11090163	Yes	
row_9	AURKA	aurora kinase A [Source:HGNC Symbol;Acc:HGNC:11393]	293	0.20052148401737213	0.120278955	Yes	
row_10	MKI67	marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107]	303	0.19920508563518524	0.13117407	Yes	
row_11	CCNB2	cyclin B2 [Source:HGNC Symbol;Acc:HGNC:1580]	310	0.1966157853603363	0.14207107	Yes	
row_12	ATAD2	ATPase family AAA domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30123]	315	0.19510310888290405	0.15298147	Yes	
row_13	CDCA8	cell division cycle associated 8 [Source:HGNC Symbol;Acc:HGNC:14629]	322	0.19270770251750946	0.16365594	Yes	
row_14	KIF2C	kinesin family member 2C [Source:HGNC Symbol;Acc:HGNC:6393]	340	0.18935109674930573	0.17359176	Yes	
row_15	BIRC5	baculoviral IAP repeat containing 5 [Source:HGNC Symbol;Acc:HGNC:593]	349	0.18763121962547302	0.18387762	Yes	
row_16	PLK4	polo like kinase 4 [Source:HGNC Symbol;Acc:HGNC:11397]	354	0.186565101146698	0.19430186	Yes	
row_17	SMC4	structural maintenance of chromosomes 4 [Source:HGNC Symbol;Acc:HGNC:14013]	366	0.18415339291095734	0.20424037	Yes	
row_18	EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3527]	368	0.18374131619930267	0.21465313	Yes	
row_19	E2F8	E2F transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:24727]	375	0.18193663656711578	0.22471428	Yes	
row_20	BUB1B	BUB1 mitotic checkpoint serine/threonine kinase B [Source:HGNC Symbol;Acc:HGNC:1149]	379	0.180980384349823	0.23487028	Yes	
row_21	HMMR	hyaluronan mediated motility receptor [Source:HGNC Symbol;Acc:HGNC:5012]	381	0.18088647723197937	0.2451205	Yes	
