NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNFAIP3	TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]	113	0.26838934421539307	0.021330396	Yes	
row_1	PLAC8	placenta associated 8 [Source:HGNC Symbol;Acc:HGNC:19254]	162	0.24236303567886353	0.043282203	Yes	
row_2	ETS1	ETS proto-oncogene 1, transcription factor [Source:HGNC Symbol;Acc:HGNC:3488]	198	0.2265269011259079	0.06429062	Yes	
row_3	LXN	latexin [Source:HGNC Symbol;Acc:HGNC:13347]	237	0.21492525935173035	0.08398454	Yes	
row_4	DCN	decorin [Source:HGNC Symbol;Acc:HGNC:2705]	457	0.168324276804924	0.08998923	Yes	
row_5	LOX	lysyl oxidase [Source:HGNC Symbol;Acc:HGNC:6664]	467	0.1665649712085724	0.10626968	Yes	
row_6	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	570	0.150361105799675	0.1162938	Yes	
row_7	STC1	stanniocalcin 1 [Source:HGNC Symbol;Acc:HGNC:11373]	601	0.1476103812456131	0.12962537	Yes	
row_8	MAP3K1	mitogen-activated protein kinase kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6848]	719	0.1374051868915558	0.1376017	Yes	
row_9	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	747	0.13467349112033844	0.1497833	Yes	
row_10	PLIN2	perilipin 2 [Source:HGNC Symbol;Acc:HGNC:248]	750	0.13438870012760162	0.16318065	Yes	
row_11	ERRFI1	ERBB receptor feedback inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:18185]	767	0.13313354551792145	0.1757551	Yes	
row_12	CXCR4	C-X-C motif chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:2561]	837	0.12799397110939026	0.18517537	Yes	
row_13	TES	testin LIM domain protein [Source:HGNC Symbol;Acc:HGNC:14620]	1007	0.11724580079317093	0.18853885	Yes	
row_14	NR3C1	nuclear receptor subfamily 3 group C member 1 [Source:HGNC Symbol;Acc:HGNC:7978]	1044	0.11539915204048157	0.19833674	Yes	
row_15	DTNA	dystrobrevin alpha [Source:HGNC Symbol;Acc:HGNC:3057]	1112	0.112061507999897	0.20625645	Yes	
row_16	ERO1A	endoplasmic reticulum oxidoreductase 1 alpha [Source:HGNC Symbol;Acc:HGNC:13280]	1163	0.10948444902896881	0.21476348	Yes	
row_17	P4HA1	prolyl 4-hydroxylase subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:8546]	1209	0.10772058367729187	0.22334224	Yes	
row_18	RORA	RAR related orphan receptor A [Source:HGNC Symbol;Acc:HGNC:10258]	1247	0.10641241818666458	0.2321878	Yes	
row_19	PDK3	pyruvate dehydrogenase kinase 3 [Source:HGNC Symbol;Acc:HGNC:8811]	1391	0.10132559388875961	0.23524648	Yes	
row_20	EXT1	exostosin glycosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3512]	1410	0.10056713223457336	0.24445069	Yes	
row_21	JMJD6	jumonji domain containing 6, arginine demethylase and lysine hydroxylase [Source:HGNC Symbol;Acc:HGNC:19355]	1503	0.09764652699232101	0.24967834	Yes	
row_22	IGFBP3	insulin like growth factor binding protein 3 [Source:HGNC Symbol;Acc:HGNC:5472]	1642	0.09378572553396225	0.25222865	Yes	
row_23	SLC2A3	solute carrier family 2 member 3 [Source:HGNC Symbol;Acc:HGNC:11007]	1738	0.09066447615623474	0.25660574	Yes	
row_24	TIPARP	TCDD inducible poly(ADP-ribose) polymerase [Source:HGNC Symbol;Acc:HGNC:23696]	1752	0.09031500667333603	0.2650292	Yes	
row_25	GLRX	glutaredoxin [Source:HGNC Symbol;Acc:HGNC:4330]	1844	0.08764537423849106	0.2693022	Yes	
row_26	HSPA5	heat shock protein family A (Hsp70) member 5 [Source:HGNC Symbol;Acc:HGNC:5238]	1933	0.08560607582330704	0.27351967	Yes	
row_27	ACKR3	atypical chemokine receptor 3 [Source:HGNC Symbol;Acc:HGNC:23692]	2151	0.08097969740629196	0.27085173	Yes	
