NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL7	interleukin 7 [Source:HGNC Symbol;Acc:HGNC:6023]	6	0.5202189087867737	0.062151745	Yes	
row_1	SELL	selectin L [Source:HGNC Symbol;Acc:HGNC:10720]	35	0.3618246912956238	0.10419993	Yes	
row_2	CXCL10	C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]	54	0.32484132051467896	0.14230368	Yes	
row_3	CXCL11	C-X-C motif chemokine ligand 11 [Source:HGNC Symbol;Acc:HGNC:10638]	133	0.2567812502384186	0.16926622	Yes	
row_4	ELF1	E74 like ETS transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3316]	264	0.2080981284379959	0.1878098	Yes	
row_5	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	294	0.20052053034305573	0.21044497	Yes	
row_6	PARP14	poly(ADP-ribose) polymerase family member 14 [Source:HGNC Symbol;Acc:HGNC:29232]	309	0.19749121367931366	0.23345925	Yes	
row_7	NMI	N-myc and STAT interactor [Source:HGNC Symbol;Acc:HGNC:7854]	311	0.19593770802021027	0.25693077	Yes	
row_8	EPSTI1	epithelial stromal interaction 1 [Source:HGNC Symbol;Acc:HGNC:16465]	326	0.19200272858142853	0.27928618	Yes	
row_9	C1S	complement C1s [Source:HGNC Symbol;Acc:HGNC:1247]	353	0.18708153069019318	0.30045664	Yes	
row_10	GBP4	guanylate binding protein 4 [Source:HGNC Symbol;Acc:HGNC:20480]	367	0.18387579917907715	0.32188597	Yes	
row_11	GBP2	guanylate binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4183]	382	0.18069982528686523	0.34288457	Yes	
row_12	IFITM1	interferon induced transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:5412]	383	0.1803871989250183	0.36453885	Yes	
row_13	IFI30	IFI30 lysosomal thiol reductase [Source:HGNC Symbol;Acc:HGNC:5398]	424	0.17404629290103912	0.38345128	Yes	
row_14	SP110	SP110 nuclear body protein [Source:HGNC Symbol;Acc:HGNC:5401]	426	0.17393375933170319	0.40428138	Yes	
row_15	SAMD9L	sterile alpha motif domain containing 9 like [Source:HGNC Symbol;Acc:HGNC:1349]	452	0.16925553977489471	0.42336145	Yes	
row_16	IFI44L	interferon induced protein 44 like [Source:HGNC Symbol;Acc:HGNC:17817]	466	0.16662032902240753	0.4427194	Yes	
row_17	CD74	CD74 molecule [Source:HGNC Symbol;Acc:HGNC:1697]	509	0.16025835275650024	0.45987764	Yes	
row_18	CASP8	caspase 8 [Source:HGNC Symbol;Acc:HGNC:1509]	519	0.15915656089782715	0.47853768	Yes	
row_19	B2M	beta-2-microglobulin [Source:HGNC Symbol;Acc:HGNC:914]	579	0.14942725002765656	0.4935539	Yes	
row_20	DDX60	DExD/H-box helicase 60 [Source:HGNC Symbol;Acc:HGNC:25942]	647	0.14312270283699036	0.5074172	Yes	
row_21	TAP1	transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]	669	0.1415429413318634	0.5233686	Yes	
row_22	IFIH1	interferon induced with helicase C domain 1 [Source:HGNC Symbol;Acc:HGNC:18873]	788	0.1309293657541275	0.5332428	Yes	
row_23	TRIM5	tripartite motif containing 5 [Source:HGNC Symbol;Acc:HGNC:16276]	791	0.13076205551624298	0.5488409	Yes	
