NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CTSC	cathepsin C [Source:HGNC Symbol;Acc:HGNC:2528]	566	0.15061725676059723	0.002764341	Yes	
row_1	GOSR2	golgi SNAP receptor complex member 2 [Source:HGNC Symbol;Acc:HGNC:4431]	787	0.13114787638187408	0.01868146	Yes	
row_2	SNAP23	synaptosome associated protein 23 [Source:HGNC Symbol;Acc:HGNC:11131]	892	0.12395062297582626	0.03887122	Yes	
row_3	RPS6KA3	ribosomal protein S6 kinase A3 [Source:HGNC Symbol;Acc:HGNC:10432]	991	0.11830130219459534	0.05820318	Yes	
row_4	ABCA1	ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]	992	0.11825865507125854	0.08237911	Yes	
row_5	STX16	syntaxin 16 [Source:HGNC Symbol;Acc:HGNC:11431]	1060	0.11450835317373276	0.102470696	Yes	
row_6	TMX1	thioredoxin related transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:15487]	1233	0.1067550778388977	0.115777954	Yes	
row_7	STX12	syntaxin 12 [Source:HGNC Symbol;Acc:HGNC:11430]	1388	0.10138235241174698	0.12887816	Yes	
row_8	CAV2	caveolin 2 [Source:HGNC Symbol;Acc:HGNC:1528]	1457	0.09897380322217941	0.14574447	Yes	
row_9	TOM1L1	target of myb1 like 1 membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:11983]	1459	0.0989665612578392	0.16592695	Yes	
row_10	YKT6	YKT6 v-SNARE homolog [Source:HGNC Symbol;Acc:HGNC:16959]	1537	0.09672491252422333	0.18188785	Yes	
row_11	VAMP7	vesicle associated membrane protein 7 [Source:HGNC Symbol;Acc:HGNC:11486]	1724	0.09104965627193451	0.19129117	Yes	
row_12	LAMP2	lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]	1876	0.08692938834428787	0.20158528	Yes	
row_13	ANP32E	acidic nuclear phosphoprotein 32 family member E [Source:HGNC Symbol;Acc:HGNC:16673]	1886	0.08670569211244583	0.2188651	Yes	
row_14	ARFGAP3	ADP ribosylation factor GTPase activating protein 3 [Source:HGNC Symbol;Acc:HGNC:661]	1952	0.08520492166280746	0.23306514	Yes	
row_15	COPB1	COPI coat complex subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:2231]	1956	0.0850832536816597	0.2503104	Yes	
row_16	VAMP3	vesicle associated membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:12644]	2023	0.08403993397951126	0.26422274	Yes	
row_17	M6PR	mannose-6-phosphate receptor, cation dependent [Source:HGNC Symbol;Acc:HGNC:6752]	2111	0.08177836239337921	0.2766329	Yes	
row_18	BET1	Bet1 golgi vesicular membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:14562]	2136	0.08122067153453827	0.29204866	Yes	
row_19	SEC24D	SEC24 homolog D, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10706]	2183	0.08029679954051971	0.30618614	Yes	
row_20	LMAN1	lectin, mannose binding 1 [Source:HGNC Symbol;Acc:HGNC:6631]	2367	0.0761776715517044	0.3126977	Yes	
row_21	PPT1	palmitoyl-protein thioesterase 1 [Source:HGNC Symbol;Acc:HGNC:9325]	2394	0.07572772353887558	0.32689148	Yes	
row_22	SNX2	sorting nexin 2 [Source:HGNC Symbol;Acc:HGNC:11173]	2556	0.0728544369339943	0.333813	Yes	
row_23	CLTC	clathrin heavy chain [Source:HGNC Symbol;Acc:HGNC:2092]	2561	0.07275373488664627	0.34848818	Yes	
row_24	YIPF6	Yip1 domain family member 6 [Source:HGNC Symbol;Acc:HGNC:28304]	2570	0.07265114039182663	0.3629443	Yes	
row_25	TMED10	transmembrane p24 trafficking protein 10 [Source:HGNC Symbol;Acc:HGNC:16998]	2599	0.07229092717170715	0.37633646	Yes	
row_26	RER1	retention in endoplasmic reticulum sorting receptor 1 [Source:HGNC Symbol;Acc:HGNC:30309]	2644	0.07151515781879425	0.38877773	Yes	
row_27	COPB2	COPI coat complex subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:2232]	2664	0.07125230878591537	0.4024032	Yes	
row_28	NAPG	NSF attachment protein gamma [Source:HGNC Symbol;Acc:HGNC:7642]	2669	0.07119825482368469	0.41676039	Yes	
row_29	ADAM10	ADAM metallopeptidase domain 10 [Source:HGNC Symbol;Acc:HGNC:188]	2694	0.07092473655939102	0.4300713	Yes	
