NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EFEMP1	EGF containing fibulin extracellular matrix protein 1 [Source:HGNC Symbol;Acc:HGNC:3218]	195	0.22799302637577057	0.020672528	Yes	
row_1	TFPI	tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]	281	0.20400498807430267	0.04361154	Yes	
row_2	HAS2	hyaluronan synthase 2 [Source:HGNC Symbol;Acc:HGNC:4819]	332	0.19064933061599731	0.06650982	Yes	
row_3	RGS4	regulator of G protein signaling 4 [Source:HGNC Symbol;Acc:HGNC:10000]	395	0.17781902849674225	0.087104455	Yes	
row_4	PDLIM5	PDZ and LIM domain 5 [Source:HGNC Symbol;Acc:HGNC:17468]	535	0.15539000928401947	0.10089134	Yes	
row_5	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	570	0.150361105799675	0.11922044	Yes	
row_6	DLC1	DLC1 Rho GTPase activating protein [Source:HGNC Symbol;Acc:HGNC:2897]	664	0.14188233017921448	0.13349234	Yes	
row_7	CELF2	CUGBP Elav-like family member 2 [Source:HGNC Symbol;Acc:HGNC:2550]	733	0.13591350615024567	0.14821053	Yes	
row_8	TGFBR2	transforming growth factor beta receptor 2 [Source:HGNC Symbol;Acc:HGNC:11773]	742	0.13538847863674164	0.16583693	Yes	
row_9	NOTCH2	notch receptor 2 [Source:HGNC Symbol;Acc:HGNC:7882]	834	0.12814749777317047	0.17837965	Yes	
row_10	GJA1	gap junction protein alpha 1 [Source:HGNC Symbol;Acc:HGNC:4274]	846	0.12765827775001526	0.19482808	Yes	
row_11	GRK5	G protein-coupled receptor kinase 5 [Source:HGNC Symbol;Acc:HGNC:4544]	935	0.12135625630617142	0.20661564	Yes	
row_12	DAB2	DAB adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:2662]	1031	0.11604278534650803	0.2173484	Yes	
row_13	NR3C1	nuclear receptor subfamily 3 group C member 1 [Source:HGNC Symbol;Acc:HGNC:7978]	1044	0.11539915204048157	0.2321152	Yes	
row_14	MYC	MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]	1045	0.11534649133682251	0.2474706	Yes	
row_15	MET	MET proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7029]	1051	0.11503422260284424	0.26253626	Yes	
row_16	NRP1	neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]	1612	0.09456119686365128	0.24732895	Yes	
row_17	NFKB1	nuclear factor kappa B subunit 1 [Source:HGNC Symbol;Acc:HGNC:7794]	1649	0.09342460334300995	0.25797915	Yes	
row_18	RASA2	RAS p21 protein activator 2 [Source:HGNC Symbol;Acc:HGNC:9872]	1741	0.09053850173950195	0.2655152	Yes	
row_19	RND3	Rho family GTPase 3 [Source:HGNC Symbol;Acc:HGNC:671]	1895	0.08655755966901779	0.26944396	Yes	
