NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TMED5	transmembrane p24 trafficking protein 5 [Source:HGNC Symbol;Acc:HGNC:24251]	1696	0.25254732370376587	0.07280274	Yes	
row_1	DPY19L1	dpy-19 like C-mannosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:22205]	2390	0.19352945685386658	0.15852563	Yes	
row_2	TAPT1	transmembrane anterior posterior transformation 1 [Source:HGNC Symbol;Acc:HGNC:26887]	3632	0.12290734797716141	0.17345001	Yes	
row_3	GHITM	growth hormone inducible transmembrane protein [Source:HGNC Symbol;Acc:HGNC:17281]	4282	0.10047546774148941	0.20368499	Yes	
row_4	WFS1	wolframin ER transmembrane glycoprotein [Source:HGNC Symbol;Acc:HGNC:12762]	4802	0.08334144204854965	0.22971761	Yes	
row_5	NDUFAF1	NADH:ubiquinone oxidoreductase complex assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:18828]	5366	0.07021705061197281	0.24544697	Yes	
row_6	NLRX1	NLR family member X1 [Source:HGNC Symbol;Acc:HGNC:29890]	5637	0.06409720331430435	0.2718413	Yes	
row_7	UBXN8	UBX domain protein 8 [Source:HGNC Symbol;Acc:HGNC:30307]	5795	0.060976650565862656	0.3018776	Yes	
row_8	F2RL1	F2R like trypsin receptor 1 [Source:HGNC Symbol;Acc:HGNC:3538]	6334	0.050836313515901566	0.3068316	Yes	
row_9	ALG8	ALG8 alpha-1,3-glucosyltransferase [Source:HGNC Symbol;Acc:HGNC:23161]	7034	0.03925119712948799	0.2966632	No	
row_10	GPAA1	glycosylphosphatidylinositol anchor attachment 1 [Source:HGNC Symbol;Acc:HGNC:4446]	8282	0.021942537277936935	0.24873084	No	
row_11	FAR2	fatty acyl-CoA reductase 2 [Source:HGNC Symbol;Acc:HGNC:25531]	8870	0.0156618133187294	0.22947201	No	
row_12	ABCC1	ATP binding cassette subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:51]	9210	0.012313464656472206	0.22037508	No	
row_13	PIGO	phosphatidylinositol glycan anchor biosynthesis class O [Source:HGNC Symbol;Acc:HGNC:23215]	10424	-4.532542880042456E-5	0.16055217	No	
row_14	NDUFB9	NADH:ubiquinone oxidoreductase subunit B9 [Source:HGNC Symbol;Acc:HGNC:7704]	10648	-0.0020608946215361357	0.15082605	No	
row_15	SLC30A6	solute carrier family 30 member 6 [Source:HGNC Symbol;Acc:HGNC:19305]	11134	-0.0069440011866390705	0.13119823	No	
row_16	SCAP	SREBF chaperone [Source:HGNC Symbol;Acc:HGNC:30634]	11332	-0.008811652660369873	0.12693794	No	
row_17	RETREG3	reticulophagy regulator family member 3 [Source:HGNC Symbol;Acc:HGNC:27258]	11610	-0.011501051485538483	0.12039679	No	
row_18	NDFIP2	Nedd4 family interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:18537]	11669	-0.012113665230572224	0.12504096	No	
row_19	ECSIT	ECSIT signaling integrator [Source:HGNC Symbol;Acc:HGNC:29548]	14321	-0.0395289845764637	0.01873049	No	
row_20	PIGS	phosphatidylinositol glycan anchor biosynthesis class S [Source:HGNC Symbol;Acc:HGNC:14937]	15448	-0.05479675903916359	-0.0028741646	No	
row_21	BCS1L	BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone [Source:HGNC Symbol;Acc:HGNC:1020]	16268	-0.06923031806945801	-3.875915E-4	No	
row_22	TMEM39B	transmembrane protein 39B [Source:HGNC Symbol;Acc:HGNC:25510]	17380	-0.09350203722715378	0.0027307784	No	
row_23	TMEM97	transmembrane protein 97 [Source:HGNC Symbol;Acc:HGNC:28106]	19664	-0.22723770141601562	0.030887611	No	
