NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CTSL	cathepsin L [Source:HGNC Symbol;Acc:HGNC:2537]	1874	0.23515208065509796	0.031671893	No	
row_1	TMX3	thioredoxin related transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:24718]	4734	0.0857056975364685	-0.064161174	No	
row_2	ACE2	angiotensin I converting enzyme 2 [Source:HGNC Symbol;Acc:HGNC:13557]	5954	0.0581427663564682	-0.093618155	No	
row_3	DOLK	dolichol kinase [Source:HGNC Symbol;Acc:HGNC:23406]	6520	0.04727042093873024	-0.0965427	No	
row_4	KDM6A	lysine demethylase 6A [Source:HGNC Symbol;Acc:HGNC:12637]	6752	0.04358578100800514	-0.08493091	No	
row_5	PIAS1	protein inhibitor of activated STAT 1 [Source:HGNC Symbol;Acc:HGNC:2752]	7142	0.03748985007405281	-0.08433411	No	
row_6	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A [Source:HGNC Symbol;Acc:HGNC:3091]	9057	0.013917106203734875	-0.17143525	No	
row_7	PCBD1	pterin-4 alpha-carbinolamine dehydratase 1 [Source:HGNC Symbol;Acc:HGNC:8646]	9979	0.004435896407812834	-0.21454117	No	
row_8	ATRX	ATRX chromatin remodeler [Source:HGNC Symbol;Acc:HGNC:886]	10146	0.0029091781470924616	-0.22119676	No	
row_9	SMARCA5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5 [Source:HGNC Symbol;Acc:HGNC:11101]	10903	-0.004579432308673859	-0.25608477	No	
row_10	PHF6	PHD finger protein 6 [Source:HGNC Symbol;Acc:HGNC:18145]	11796	-0.013246451504528522	-0.2931082	No	
row_11	PIAS2	protein inhibitor of activated STAT 2 [Source:HGNC Symbol;Acc:HGNC:17311]	12731	-0.022587306797504425	-0.32727274	No	
row_12	SH3YL1	SH3 and SYLF domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29546]	13696	-0.03258712217211723	-0.35763833	No	
row_13	SIAH1	siah E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:10857]	13710	-0.03275939077138901	-0.3409848	No	
row_14	CABIN1	calcineurin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:24187]	14954	-0.04795493185520172	-0.37700465	No	
row_15	ARID1A	AT-rich interaction domain 1A [Source:HGNC Symbol;Acc:HGNC:11110]	15939	-0.06306570023298264	-0.39226627	Yes	
row_16	SMAD4	SMAD family member 4 [Source:HGNC Symbol;Acc:HGNC:6770]	16271	-0.0692705437541008	-0.37202904	Yes	
row_17	UBXN7	UBX domain protein 7 [Source:HGNC Symbol;Acc:HGNC:29119]	17033	-0.0853906199336052	-0.3645002	Yes	
row_18	RAD54L2	RAD54 like 2 [Source:HGNC Symbol;Acc:HGNC:29123]	17133	-0.08756671100854874	-0.32315534	Yes	
row_19	PHIP	pleckstrin homology domain interacting protein [Source:HGNC Symbol;Acc:HGNC:15673]	17372	-0.09333059191703796	-0.28562662	Yes	
row_20	SMARCE1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1 [Source:HGNC Symbol;Acc:HGNC:11109]	17768	-0.10357902199029922	-0.25043467	Yes	
row_21	HIRA	histone cell cycle regulator [Source:HGNC Symbol;Acc:HGNC:4916]	17935	-0.10874440521001816	-0.2012154	Yes	
row_22	DPF2	double PHD fingers 2 [Source:HGNC Symbol;Acc:HGNC:9964]	17978	-0.11044847965240479	-0.14497758	Yes	
row_23	JMJD6	jumonji domain containing 6, arginine demethylase and lysine hydroxylase [Source:HGNC Symbol;Acc:HGNC:19355]	18610	-0.1378508061170578	-0.10333781	Yes	
row_24	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4 [Source:HGNC Symbol;Acc:HGNC:11100]	19048	-0.16382840275764465	-0.03841023	Yes	
row_25	ACVR1B	activin A receptor type 1B [Source:HGNC Symbol;Acc:HGNC:172]	19317	-0.18874956667423248	0.04801377	Yes	
