NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BIRC3	baculoviral IAP repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:591]	11	0.8172361850738525	0.036242742	Yes	
row_1	VCAM1	vascular cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:12663]	62	0.6865099668502808	0.06466051	Yes	
row_2	PLS3	plastin 3 [Source:HGNC Symbol;Acc:HGNC:9091]	218	0.5695258975028992	0.082588844	Yes	
row_3	ITGA4	integrin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6140]	269	0.5488928556442261	0.10481144	Yes	
row_4	LYN	LYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6735]	311	0.5324130058288574	0.12673984	Yes	
row_5	EPB41L2	erythrocyte membrane protein band 4.1 like 2 [Source:HGNC Symbol;Acc:HGNC:3379]	317	0.5299434065818787	0.15034784	Yes	
row_6	FRMD6	FERM domain containing 6 [Source:HGNC Symbol;Acc:HGNC:19839]	419	0.4870573580265045	0.16724981	Yes	
row_7	NEDD9	neural precursor cell expressed, developmentally down-regulated 9 [Source:HGNC Symbol;Acc:HGNC:7733]	606	0.4346901774406433	0.17756613	Yes	
row_8	EGFR	epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236]	708	0.4070812463760376	0.19086778	Yes	
row_9	PTPN14	protein tyrosine phosphatase non-receptor type 14 [Source:HGNC Symbol;Acc:HGNC:9647]	712	0.4065905511379242	0.20902224	Yes	
row_10	B2M	beta-2-microglobulin [Source:HGNC Symbol;Acc:HGNC:914]	748	0.3986203372478485	0.22522609	Yes	
row_11	UBD	ubiquitin D [Source:HGNC Symbol;Acc:HGNC:18795]	856	0.3765471875667572	0.23685472	Yes	
row_12	ANXA11	annexin A11 [Source:HGNC Symbol;Acc:HGNC:535]	893	0.3688066303730011	0.2516667	Yes	
row_13	MSN	moesin [Source:HGNC Symbol;Acc:HGNC:7373]	990	0.34641233086586	0.2624859	Yes	
row_14	JAK2	Janus kinase 2 [Source:HGNC Symbol;Acc:HGNC:6192]	1001	0.3441266119480133	0.27748019	Yes	
row_15	LILRB1	leukocyte immunoglobulin like receptor B1 [Source:HGNC Symbol;Acc:HGNC:6605]	1027	0.3393802046775818	0.29151464	Yes	
row_16	STAT1	signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]	1197	0.31415316462516785	0.2972503	Yes	
row_17	MYH9	myosin heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:7579]	1330	0.2988097667694092	0.3041358	Yes	
row_18	EPS15	epidermal growth factor receptor pathway substrate 15 [Source:HGNC Symbol;Acc:HGNC:3419]	1366	0.29480090737342834	0.31566596	Yes	
row_19	ATM	ATM serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:795]	1406	0.28914543986320496	0.32674256	Yes	
row_20	FERMT3	fermitin family member 3 [Source:HGNC Symbol;Acc:HGNC:23151]	1469	0.2809062600135803	0.33630413	Yes	
row_21	FRMD4B	FERM domain containing 4B [Source:HGNC Symbol;Acc:HGNC:24886]	1490	0.2780020534992218	0.34782422	Yes	
row_22	EZR	ezrin [Source:HGNC Symbol;Acc:HGNC:12691]	1535	0.2724427878856659	0.35790017	Yes	
row_23	FERMT2	fermitin family member 2 [Source:HGNC Symbol;Acc:HGNC:15767]	1901	0.2331375777721405	0.35023895	Yes	
row_24	EPB41L3	erythrocyte membrane protein band 4.1 like 3 [Source:HGNC Symbol;Acc:HGNC:3380]	1922	0.2312191128730774	0.35965297	Yes	
row_25	BIRC2	baculoviral IAP repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:590]	2001	0.22362370789051056	0.36583993	Yes	
row_26	HERPUD1	homocysteine inducible ER protein with ubiquitin like domain 1 [Source:HGNC Symbol;Acc:HGNC:13744]	2065	0.2187582552433014	0.37255403	Yes	
row_27	MAP3K1	mitogen-activated protein kinase kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6848]	2122	0.2142273336648941	0.37941235	Yes	
row_28	JAK1	Janus kinase 1 [Source:HGNC Symbol;Acc:HGNC:6190]	2163	0.21094515919685364	0.3869188	Yes	
row_29	OASL	2'-5'-oligoadenylate synthetase like [Source:HGNC Symbol;Acc:HGNC:8090]	2192	0.20876838266849518	0.39492422	Yes	
row_30	BAG3	BAG cochaperone 3 [Source:HGNC Symbol;Acc:HGNC:939]	2241	0.20554231107234955	0.40178952	Yes	
row_31	FN1	fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778]	2488	0.1856280416250229	0.39790905	Yes	
row_32	RBL2	RB transcriptional corepressor like 2 [Source:HGNC Symbol;Acc:HGNC:9894]	2593	0.17796355485916138	0.40074715	Yes	
row_33	CAPN2	calpain 2 [Source:HGNC Symbol;Acc:HGNC:1479]	2622	0.1764184683561325	0.40729624	Yes	
row_34	ABI1	abl interactor 1 [Source:HGNC Symbol;Acc:HGNC:11320]	2671	0.1732395589351654	0.41270736	Yes	
row_35	NCK1	NCK adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:7664]	2776	0.16671888530254364	0.41503927	Yes	
row_36	TPM4	tropomyosin 4 [Source:HGNC Symbol;Acc:HGNC:12013]	2809	0.16423018276691437	0.4208407	Yes	
row_37	SQSTM1	sequestosome 1 [Source:HGNC Symbol;Acc:HGNC:11280]	3095	0.14819900691509247	0.41333526	Yes	
row_38	SPTBN1	spectrin beta, non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11275]	3164	0.14485131204128265	0.4164735	Yes	
row_39	PXN	paxillin [Source:HGNC Symbol;Acc:HGNC:9718]	3308	0.13808542490005493	0.4155764	Yes	
row_40	STAT3	signal transducer and activator of transcription 3 [Source:HGNC Symbol;Acc:HGNC:11364]	3378	0.1346966028213501	0.4182078	Yes	
row_41	SNX1	sorting nexin 1 [Source:HGNC Symbol;Acc:HGNC:11172]	3516	0.1282096803188324	0.41716456	Yes	
row_42	KIR3DS1	killer cell immunoglobulin like receptor, three Ig domains and short cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6340]	3548	0.12680107355117798	0.42133078	Yes	
row_43	RB1	RB transcriptional corepressor 1 [Source:HGNC Symbol;Acc:HGNC:9884]	3638	0.12245561182498932	0.4224162	Yes	
row_44	PLEC	plectin [Source:HGNC Symbol;Acc:HGNC:9069]	3683	0.12072698026895523	0.4256623	Yes	
row_45	CTNNB1	catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]	3715	0.11949848383665085	0.42949978	Yes	
row_46	XIAP	X-linked inhibitor of apoptosis [Source:HGNC Symbol;Acc:HGNC:592]	3772	0.11713851243257523	0.4319874	Yes	
row_47	UBQLNL	ubiquilin like [Source:HGNC Symbol;Acc:HGNC:28294]	3779	0.11684910953044891	0.4369492	Yes	
row_48	MACF1	microtubule actin crosslinking factor 1 [Source:HGNC Symbol;Acc:HGNC:13664]	3836	0.11517401039600372	0.4393484	Yes	
row_49	USP15	ubiquitin specific peptidase 15 [Source:HGNC Symbol;Acc:HGNC:12613]	3842	0.11493956297636032	0.44427398	Yes	
row_50	FRMPD4	FERM and PDZ domain containing 4 [Source:HGNC Symbol;Acc:HGNC:29007]	3913	0.1125003769993782	0.4458564	Yes	
row_51	PTPN3	protein tyrosine phosphatase non-receptor type 3 [Source:HGNC Symbol;Acc:HGNC:9655]	4028	0.10916020721197128	0.4450997	Yes	
row_52	ISG15	ISG15 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:4053]	4057	0.10807708650827408	0.44857225	Yes	
row_53	RPS27A	ribosomal protein S27a [Source:HGNC Symbol;Acc:HGNC:10417]	4122	0.1057700589299202	0.45015013	Yes	
row_54	ZFAND4	zinc finger AN1-type containing 4 [Source:HGNC Symbol;Acc:HGNC:23504]	4185	0.10404011607170105	0.45174965	Yes	
row_55	CD8A	CD8a molecule [Source:HGNC Symbol;Acc:HGNC:1706]	4208	0.10327845811843872	0.45530462	Yes	
row_56	TPM3	tropomyosin 3 [Source:HGNC Symbol;Acc:HGNC:12012]	4231	0.10250671207904816	0.45882484	Yes	
row_57	BAIAP2L1	BAR/IMD domain containing adaptor protein 2 like 1 [Source:HGNC Symbol;Acc:HGNC:21649]	4371	0.09720563888549805	0.4562864	Yes	
row_58	ATXN3	ataxin 3 [Source:HGNC Symbol;Acc:HGNC:7106]	4434	0.09483824670314789	0.45747167	Yes	
row_59	ESR1	estrogen receptor 1 [Source:HGNC Symbol;Acc:HGNC:3467]	4514	0.09249050170183182	0.45770562	Yes	
row_60	YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta [Source:HGNC Symbol;Acc:HGNC:12849]	4605	0.08962655067443848	0.4572634	Yes	
row_61	HSPA5	heat shock protein family A (Hsp70) member 5 [Source:HGNC Symbol;Acc:HGNC:5238]	4633	0.08889524638652802	0.4599222	Yes	
row_62	APP	amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]	4674	0.08746902644634247	0.46187007	Yes	
row_63	DDI2	DNA damage inducible 1 homolog 2 [Source:HGNC Symbol;Acc:HGNC:24578]	4702	0.08657138794660568	0.46442422	Yes	
row_64	UBTD1	ubiquitin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25683]	4710	0.08642379939556122	0.4679666	Yes	
row_65	FRMD8	FERM domain containing 8 [Source:HGNC Symbol;Acc:HGNC:25462]	4784	0.0838262140750885	0.46810892	Yes	
row_66	UBC	ubiquitin C [Source:HGNC Symbol;Acc:HGNC:12468]	4881	0.08134528249502182	0.46699548	Yes	
row_67	UBQLN3	ubiquilin 3 [Source:HGNC Symbol;Acc:HGNC:12510]	4904	0.08072304725646973	0.46953508	Yes	
row_68	ERBB2	erb-b2 receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:3430]	4966	0.07905221730470657	0.47005942	Yes	
row_69	UBE2D3	ubiquitin conjugating enzyme E2 D3 [Source:HGNC Symbol;Acc:HGNC:12476]	5159	0.0746276006102562	0.46386817	No	
row_70	DDI1	DNA damage inducible 1 homolog 1 [Source:HGNC Symbol;Acc:HGNC:18961]	5316	0.07109779864549637	0.45930877	No	
row_71	SPTA1	spectrin alpha, erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11272]	5372	0.07013493776321411	0.45973018	No	
row_72	GMIP	GEM interacting protein [Source:HGNC Symbol;Acc:HGNC:24852]	5431	0.06881038099527359	0.4599427	No	
row_73	ARRB2	arrestin beta 2 [Source:HGNC Symbol;Acc:HGNC:712]	5594	0.06514376401901245	0.4548168	No	
row_74	USP48	ubiquitin specific peptidase 48 [Source:HGNC Symbol;Acc:HGNC:18533]	5613	0.06454499065876007	0.45682707	No	
row_75	UBE2D1	ubiquitin conjugating enzyme E2 D1 [Source:HGNC Symbol;Acc:HGNC:12474]	5836	0.06035497784614563	0.44850096	No	
row_76	HERPUD2	HERPUD family member 2 [Source:HGNC Symbol;Acc:HGNC:21915]	5854	0.06006992980837822	0.45035952	No	
row_77	UBXN6	UBX domain protein 6 [Source:HGNC Symbol;Acc:HGNC:14928]	5975	0.057726502418518066	0.44698897	No	
row_78	SUMO3	small ubiquitin like modifier 3 [Source:HGNC Symbol;Acc:HGNC:11124]	5980	0.05758195370435715	0.4493822	No	
row_79	USP2	ubiquitin specific peptidase 2 [Source:HGNC Symbol;Acc:HGNC:12618]	5997	0.05723216012120247	0.45116273	No	
row_80	PABPC1	poly(A) binding protein cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:8554]	6123	0.05472429469227791	0.44740832	No	
row_81	SHARPIN	SHANK associated RH domain interactor [Source:HGNC Symbol;Acc:HGNC:25321]	6399	0.04983101040124893	0.43597203	No	
row_82	UBL5	ubiquitin like 5 [Source:HGNC Symbol;Acc:HGNC:13736]	6406	0.04972734674811363	0.43791217	No	
row_83	SAP18	Sin3A associated protein 18 [Source:HGNC Symbol;Acc:HGNC:10530]	6433	0.049087390303611755	0.43882862	No	
row_84	UHRF2	ubiquitin like with PHD and ring finger domains 2 [Source:HGNC Symbol;Acc:HGNC:12557]	6745	0.04365711286664009	0.4253236	No	
row_85	RBCK1	RANBP2-type and C3HC4-type zinc finger containing 1 [Source:HGNC Symbol;Acc:HGNC:15864]	6749	0.043627504259347916	0.4271384	No	
row_86	NUB1	negative regulator of ubiquitin like proteins 1 [Source:HGNC Symbol;Acc:HGNC:17623]	6787	0.04300542548298836	0.42723387	No	
row_87	SNX31	sorting nexin 31 [Source:HGNC Symbol;Acc:HGNC:28605]	6883	0.041468262672424316	0.424375	No	
row_88	NEDD8	NEDD8 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:7732]	7104	0.03805882856249809	0.41514468	No	
row_89	UBQLN1	ubiquilin 1 [Source:HGNC Symbol;Acc:HGNC:12508]	7659	0.030010219663381577	0.3889376	No	
row_90	PRKCZ	protein kinase C zeta [Source:HGNC Symbol;Acc:HGNC:9412]	7702	0.02957764081656933	0.38817984	No	
row_91	CRK	CRK proto-oncogene, adaptor protein [Source:HGNC Symbol;Acc:HGNC:2362]	7807	0.02815035916864872	0.38427377	No	
row_92	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta [Source:HGNC Symbol;Acc:HGNC:12855]	7940	0.02627931721508503	0.3788906	No	
row_93	SDE2	SDE2 telomere maintenance homolog [Source:HGNC Symbol;Acc:HGNC:26643]	8155	0.02378683164715767	0.36931625	No	
row_94	CALM1	calmodulin 1 [Source:HGNC Symbol;Acc:HGNC:1442]	8273	0.022023368626832962	0.36448765	No	
row_95	RPL13	ribosomal protein L13 [Source:HGNC Symbol;Acc:HGNC:10303]	8567	0.018937671557068825	0.35076523	No	
row_96	HSPA8	heat shock protein family A (Hsp70) member 8 [Source:HGNC Symbol;Acc:HGNC:5241]	8590	0.0186232328414917	0.35050926	No	
row_97	CUL1	cullin 1 [Source:HGNC Symbol;Acc:HGNC:2551]	8856	0.015790114179253578	0.33803797	No	
row_98	PKM	pyruvate kinase M1/2 [Source:HGNC Symbol;Acc:HGNC:9021]	9379	0.010223234072327614	0.31253192	No	
row_99	RCOR1	REST corepressor 1 [Source:HGNC Symbol;Acc:HGNC:17441]	9472	0.009154359810054302	0.30836758	No	
row_100	ING3	inhibitor of growth family member 3 [Source:HGNC Symbol;Acc:HGNC:14587]	9556	0.008350467309355736	0.30461478	No	
