NAME	TITLE	SCORE	
ABCA8	ATP binding cassette subfamily A member 8 [Source:HGNC Symbol;Acc:HGNC:38]	0.98796	
OGN	osteoglycin [Source:HGNC Symbol;Acc:HGNC:8126]	0.9268049	
TC2N	tandem C2 domains, nuclear [Source:HGNC Symbol;Acc:HGNC:19859]	0.8859026	
LYVE1	lymphatic vessel endothelial hyaluronan receptor 1 [Source:HGNC Symbol;Acc:HGNC:14687]	0.8813057	
LRRK2	leucine rich repeat kinase 2 [Source:HGNC Symbol;Acc:HGNC:18618]	0.87731475	
C7	complement C7 [Source:HGNC Symbol;Acc:HGNC:1346]	0.8444236	
TMEM71	transmembrane protein 71 [Source:HGNC Symbol;Acc:HGNC:26572]	0.8425974	
DDX60	DExD/H-box helicase 60 [Source:HGNC Symbol;Acc:HGNC:25942]	0.8345821	
PLA2G4A	phospholipase A2 group IVA [Source:HGNC Symbol;Acc:HGNC:9035]	0.82759607	
ABCA6	ATP binding cassette subfamily A member 6 [Source:HGNC Symbol;Acc:HGNC:36]	0.8264439	
OMD	osteomodulin [Source:HGNC Symbol;Acc:HGNC:8134]	0.8243207	
BIRC3	baculoviral IAP repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:591]	0.8172362	
CD69	CD69 molecule [Source:HGNC Symbol;Acc:HGNC:1694]	0.81521064	
IGKV1-5	immunoglobulin kappa variable 1-5 [Source:HGNC Symbol;Acc:HGNC:5741]	0.80725086	
ARHGAP15	Rho GTPase activating protein 15 [Source:HGNC Symbol;Acc:HGNC:21030]	0.8064658	
CXorf21	chromosome X open reading frame 21 [Source:HGNC Symbol;Acc:HGNC:25667]	0.7916497	
ABCA9	ATP binding cassette subfamily A member 9 [Source:HGNC Symbol;Acc:HGNC:39]	0.7906511	
GIMAP2	GTPase, IMAP family member 2 [Source:HGNC Symbol;Acc:HGNC:21789]	0.78208965	
RNASE4	ribonuclease A family member 4 [Source:HGNC Symbol;Acc:HGNC:10047]	0.7796511	
CYSLTR1	cysteinyl leukotriene receptor 1 [Source:HGNC Symbol;Acc:HGNC:17451]	0.7755371	
EVI2B	ecotropic viral integration site 2B [Source:HGNC Symbol;Acc:HGNC:3500]	0.77491134	
ALDH1A1	aldehyde dehydrogenase 1 family member A1 [Source:HGNC Symbol;Acc:HGNC:402]	0.77362967	
GPR34	G protein-coupled receptor 34 [Source:HGNC Symbol;Acc:HGNC:4490]	0.7698518	
CD180	CD180 molecule [Source:HGNC Symbol;Acc:HGNC:6726]	0.7676014	
DCN	decorin [Source:HGNC Symbol;Acc:HGNC:2705]	0.7645776	
ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide [Source:HGNC Symbol;Acc:HGNC:250]	0.7639936	
GPR65	G protein-coupled receptor 65 [Source:HGNC Symbol;Acc:HGNC:4517]	0.7636999	
GCNT4	glucosaminyl (N-acetyl) transferase 4 [Source:HGNC Symbol;Acc:HGNC:17973]	0.7536985	
F13A1	coagulation factor XIII A chain [Source:HGNC Symbol;Acc:HGNC:3531]	0.74886715	
MRC1	mannose receptor C-type 1 [Source:HGNC Symbol;Acc:HGNC:7228]	0.7446343	
ARAP2	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2 [Source:HGNC Symbol;Acc:HGNC:16924]	0.744021	
SAMD9L	sterile alpha motif domain containing 9 like [Source:HGNC Symbol;Acc:HGNC:1349]	0.7434109	
PTPRC	protein tyrosine phosphatase receptor type C [Source:HGNC Symbol;Acc:HGNC:9666]	0.7430186	
IFI44L	interferon induced protein 44 like [Source:HGNC Symbol;Acc:HGNC:17817]	0.7428261	
EVI2A	ecotropic viral integration site 2A [Source:HGNC Symbol;Acc:HGNC:3499]	0.7409693	
IRAG2	inositol 1,4,5-triphosphate receptor associated 2 [Source:HGNC Symbol;Acc:HGNC:6690]	0.7399741	
EPSTI1	epithelial stromal interaction 1 [Source:HGNC Symbol;Acc:HGNC:16465]	0.7389392	
P2RY10	P2Y receptor family member 10 [Source:HGNC Symbol;Acc:HGNC:19906]	0.7369952	
CFI	complement factor I [Source:HGNC Symbol;Acc:HGNC:5394]	0.7369396	
JCHAIN	joining chain of multimeric IgA and IgM [Source:HGNC Symbol;Acc:HGNC:5713]	0.73568135	
ASPA	aspartoacylase [Source:HGNC Symbol;Acc:HGNC:756]	0.7340866	
GZMK	granzyme K [Source:HGNC Symbol;Acc:HGNC:4711]	0.73364764	
NPY1R	neuropeptide Y receptor Y1 [Source:HGNC Symbol;Acc:HGNC:7956]	0.73356646	
SLAMF6	SLAM family member 6 [Source:HGNC Symbol;Acc:HGNC:21392]	0.7309106	
TRIM22	tripartite motif containing 22 [Source:HGNC Symbol;Acc:HGNC:16379]	0.7269367	
CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	0.72054595	
NMI	N-myc and STAT interactor [Source:HGNC Symbol;Acc:HGNC:7854]	0.72050357	
ART4	ADP-ribosyltransferase 4 (Dombrock blood group) [Source:HGNC Symbol;Acc:HGNC:726]	0.72047687	
RNASE6	ribonuclease A family member k6 [Source:HGNC Symbol;Acc:HGNC:10048]	0.7158665	
CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	0.71562237	
PARP15	poly(ADP-ribose) polymerase family member 15 [Source:HGNC Symbol;Acc:HGNC:26876]	0.7110965	
DDX60L	DExD/H-box 60 like [Source:HGNC Symbol;Acc:HGNC:26429]	0.7027327	
ERAP2	endoplasmic reticulum aminopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:29499]	0.6992261	
CX3CR1	C-X3-C motif chemokine receptor 1 [Source:HGNC Symbol;Acc:HGNC:2558]	0.69891787	
TNFSF10	TNF superfamily member 10 [Source:HGNC Symbol;Acc:HGNC:11925]	0.6965904	
F8	coagulation factor VIII [Source:HGNC Symbol;Acc:HGNC:3546]	0.6950567	
CLEC2B	C-type lectin domain family 2 member B [Source:HGNC Symbol;Acc:HGNC:2053]	0.69383293	
PTPN22	protein tyrosine phosphatase non-receptor type 22 [Source:HGNC Symbol;Acc:HGNC:9652]	0.6932952	
LY75	lymphocyte antigen 75 [Source:HGNC Symbol;Acc:HGNC:6729]	0.6929718	
SBSPON	somatomedin B and thrombospondin type 1 domain containing [Source:HGNC Symbol;Acc:HGNC:30362]	0.69001883	
KLRK1	killer cell lectin like receptor K1 [Source:HGNC Symbol;Acc:HGNC:18788]	0.68994874	
GAPT	GRB2 binding adaptor protein, transmembrane [Source:HGNC Symbol;Acc:HGNC:26588]	0.68790793	
VCAM1	vascular cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:12663]	0.68650997	
ARHGEF6	Rac/Cdc42 guanine nucleotide exchange factor 6 [Source:HGNC Symbol;Acc:HGNC:685]	0.68617016	
RASSF9	Ras association domain family member 9 [Source:HGNC Symbol;Acc:HGNC:15739]	0.6857214	
LY96	lymphocyte antigen 96 [Source:HGNC Symbol;Acc:HGNC:17156]	0.6850971	
GPR174	G protein-coupled receptor 174 [Source:HGNC Symbol;Acc:HGNC:30245]	0.6850855	
SKAP2	src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687]	0.68334717	
SP110	SP110 nuclear body protein [Source:HGNC Symbol;Acc:HGNC:5401]	0.6777479	
MAMDC2	MAM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23673]	0.6766813	
GVINP1	GTPase, very large interferon inducible pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:25813]	0.6747718	
KYNU	kynureninase [Source:HGNC Symbol;Acc:HGNC:6469]	0.67372733	
TLR10	toll like receptor 10 [Source:HGNC Symbol;Acc:HGNC:15634]	0.67056936	
SP100	SP100 nuclear antigen [Source:HGNC Symbol;Acc:HGNC:11206]	0.6703137	
TWIST2	twist family bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:20670]	0.67015016	
DOCK8	dedicator of cytokinesis 8 [Source:HGNC Symbol;Acc:HGNC:19191]	0.6672317	
HPGDS	hematopoietic prostaglandin D synthase [Source:HGNC Symbol;Acc:HGNC:17890]	0.6670925	
GBP2	guanylate binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4183]	0.6670655	
PLN	phospholamban [Source:HGNC Symbol;Acc:HGNC:9080]	0.664915	
TRIM38	tripartite motif containing 38 [Source:HGNC Symbol;Acc:HGNC:10059]	0.6641864	
IFIT3	interferon induced protein with tetratricopeptide repeats 3 [Source:HGNC Symbol;Acc:HGNC:5411]	0.6639523	
IFIT1	interferon induced protein with tetratricopeptide repeats 1 [Source:HGNC Symbol;Acc:HGNC:5407]	0.6633435	
IGLV2-23	immunoglobulin lambda variable 2-23 [Source:HGNC Symbol;Acc:HGNC:5890]	0.6632258	
ADAM28	ADAM metallopeptidase domain 28 [Source:HGNC Symbol;Acc:HGNC:206]	0.6627861	
CD52	CD52 molecule [Source:HGNC Symbol;Acc:HGNC:1804]	0.662214	
MMRN1	multimerin 1 [Source:HGNC Symbol;Acc:HGNC:7178]	0.6621616	
TMEM156	transmembrane protein 156 [Source:HGNC Symbol;Acc:HGNC:26260]	0.6609558	
LUM	lumican [Source:HGNC Symbol;Acc:HGNC:6724]	0.66062135	
LAMA2	laminin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6482]	0.65841067	
COL14A1	collagen type XIV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2191]	0.6580244	
ITM2A	integral membrane protein 2A [Source:HGNC Symbol;Acc:HGNC:6173]	0.65783525	
TLR1	toll like receptor 1 [Source:HGNC Symbol;Acc:HGNC:11847]	0.65367115	
CPED1	cadherin like and PC-esterase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26159]	0.65327454	
SAMD9	sterile alpha motif domain containing 9 [Source:HGNC Symbol;Acc:HGNC:1348]	0.65171605	
IFIH1	interferon induced with helicase C domain 1 [Source:HGNC Symbol;Acc:HGNC:18873]	0.6515616	
DDX58	DExD/H-box helicase 58 [Source:HGNC Symbol;Acc:HGNC:19102]	0.6507323	
IGLV2-11	immunoglobulin lambda variable 2-11 [Source:HGNC Symbol;Acc:HGNC:5887]	0.6504068	
FYB1	FYN binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4036]	0.64992213	
SAMSN1	SAM domain, SH3 domain and nuclear localization signals 1 [Source:HGNC Symbol;Acc:HGNC:10528]	0.64920354	
ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide [Source:HGNC Symbol;Acc:HGNC:249]	0.6457636	
CP	ceruloplasmin [Source:HGNC Symbol;Acc:HGNC:2295]	0.6451682	
CXCL10	C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]	0.64485705	
