NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL2RG	interleukin 2 receptor subunit gamma [Source:HGNC Symbol;Acc:HGNC:6010]	169	0.5941531658172607	0.07163787	Yes	
row_1	SRPX	sushi repeat containing protein X-linked [Source:HGNC Symbol;Acc:HGNC:11309]	219	0.5688391327857971	0.1457945	Yes	
row_2	LYN	LYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6735]	311	0.5324130058288574	0.21297319	Yes	
row_3	CRYBG1	crystallin beta-gamma domain containing 1 [Source:HGNC Symbol;Acc:HGNC:356]	494	0.4661896228790283	0.26674268	Yes	
row_4	AKAP7	A-kinase anchoring protein 7 [Source:HGNC Symbol;Acc:HGNC:377]	533	0.45520517230033875	0.3261453	Yes	
row_5	ATP8B1	ATPase phospholipid transporting 8B1 [Source:HGNC Symbol;Acc:HGNC:3706]	664	0.41831713914871216	0.37603837	Yes	
row_6	MAL	mal, T cell differentiation protein [Source:HGNC Symbol;Acc:HGNC:6817]	949	0.3544706404209137	0.40973082	Yes	
row_7	AFAP1L2	actin filament associated protein 1 like 2 [Source:HGNC Symbol;Acc:HGNC:25901]	1329	0.29884612560272217	0.43124333	Yes	
row_8	IL2RB	interleukin 2 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:6009]	1338	0.2978912591934204	0.47095007	Yes	
row_9	EPHB4	EPH receptor B4 [Source:HGNC Symbol;Acc:HGNC:3395]	2103	0.21588781476020813	0.46228057	Yes	
row_10	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	2608	0.17729271948337555	0.46125624	Yes	
row_11	THY1	Thy-1 cell surface antigen [Source:HGNC Symbol;Acc:HGNC:11801]	2933	0.15748955309391022	0.46645576	Yes	
row_12	GAS1	growth arrest specific 1 [Source:HGNC Symbol;Acc:HGNC:4165]	3323	0.13743598759174347	0.46574548	Yes	
row_13	ADAM10	ADAM metallopeptidase domain 10 [Source:HGNC Symbol;Acc:HGNC:188]	3385	0.1342877894639969	0.48081055	Yes	
row_14	CX3CL1	C-X3-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:10647]	3679	0.12081684172153473	0.48260424	Yes	
