NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BIRC3	baculoviral IAP repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:591]	11	0.8172361850738525	0.024861755	Yes	
row_1	CD69	CD69 molecule [Source:HGNC Symbol;Acc:HGNC:1694]	12	0.8152106404304504	0.05020698	Yes	
row_2	DCN	decorin [Source:HGNC Symbol;Acc:HGNC:2705]	24	0.7645776271820068	0.07343156	Yes	
row_3	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	45	0.7205459475517273	0.09484009	Yes	
row_4	TNFSF10	TNF superfamily member 10 [Source:HGNC Symbol;Acc:HGNC:11925]	54	0.6965904235839844	0.116099946	Yes	
row_5	LUM	lumican [Source:HGNC Symbol;Acc:HGNC:6724]	87	0.6606213450431824	0.13504927	Yes	
row_6	CASP4	caspase 4 [Source:HGNC Symbol;Acc:HGNC:1505]	187	0.5838927030563354	0.14828469	Yes	
row_7	TGFBR3	transforming growth factor beta receptor 3 [Source:HGNC Symbol;Acc:HGNC:11774]	213	0.5713077783584595	0.16480495	Yes	
row_8	IL18	interleukin 18 [Source:HGNC Symbol;Acc:HGNC:5986]	217	0.5697541832923889	0.18236981	Yes	
row_9	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	285	0.5439901351928711	0.19595432	Yes	
row_10	ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]	286	0.5425296425819397	0.21282178	Yes	
row_11	CCND2	cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]	314	0.5314072966575623	0.22800218	Yes	
row_12	LEF1	lymphoid enhancer binding factor 1 [Source:HGNC Symbol;Acc:HGNC:6551]	323	0.5276398658752441	0.2440093	Yes	
row_13	CASP8	caspase 8 [Source:HGNC Symbol;Acc:HGNC:1509]	435	0.4828358590602875	0.2535067	Yes	
row_14	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	483	0.46751105785369873	0.265707	Yes	
row_15	NEDD9	neural precursor cell expressed, developmentally down-regulated 9 [Source:HGNC Symbol;Acc:HGNC:7733]	606	0.4346901774406433	0.27316108	Yes	
row_16	CD38	CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]	625	0.42806488275527954	0.2855756	Yes	
row_17	HGF	hepatocyte growth factor [Source:HGNC Symbol;Acc:HGNC:4893]	650	0.42138734459877014	0.29748446	Yes	
row_18	CD2	CD2 molecule [Source:HGNC Symbol;Acc:HGNC:1639]	662	0.4184330701828003	0.30994725	Yes	
row_19	TAP1	transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]	674	0.41613104939460754	0.3223385	Yes	
row_20	GPX3	glutathione peroxidase 3 [Source:HGNC Symbol;Acc:HGNC:4555]	675	0.4160401523113251	0.33527336	Yes	
row_21	EGR3	early growth response 3 [Source:HGNC Symbol;Acc:HGNC:3240]	680	0.41475310921669006	0.34796947	Yes	
row_22	EMP1	epithelial membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3333]	699	0.40971702337265015	0.35981354	Yes	
row_23	IFITM3	interferon induced transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:5414]	749	0.39845260977745056	0.36976743	Yes	
row_24	SAT1	spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]	800	0.38674241304397583	0.37930754	Yes	
row_25	CAV1	caveolin 1 [Source:HGNC Symbol;Acc:HGNC:1527]	853	0.3768589198589325	0.38844103	Yes	
row_26	PLAT	plasminogen activator, tissue type [Source:HGNC Symbol;Acc:HGNC:9051]	901	0.36663681268692017	0.3975051	Yes	
row_27	CFLAR	CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]	940	0.3577447235584259	0.4067398	Yes	
row_28	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	958	0.35228487849235535	0.41684797	Yes	
row_29	CD14	CD14 molecule [Source:HGNC Symbol;Acc:HGNC:1628]	971	0.34957075119018555	0.42712015	Yes	
row_30	BTG2	BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]	1049	0.33602476119995117	0.43374214	Yes	
row_31	ERBB3	erb-b2 receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3431]	1134	0.3232492506504059	0.4396192	Yes	
row_32	IRF1	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]	1135	0.32306304574012756	0.44966337	Yes	
row_33	PLCB2	phospholipase C beta 2 [Source:HGNC Symbol;Acc:HGNC:9055]	1207	0.3131057322025299	0.4558709	Yes	
row_34	GSN	gelsolin [Source:HGNC Symbol;Acc:HGNC:4620]	1314	0.3003288209438324	0.45994246	Yes	
row_35	DNAJC3	DnaJ heat shock protein family (Hsp40) member C3 [Source:HGNC Symbol;Acc:HGNC:9439]	1320	0.2997351586818695	0.46901298	Yes	
row_36	IER3	immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]	1355	0.29584968090057373	0.47652203	Yes	
row_37	IFNGR1	interferon gamma receptor 1 [Source:HGNC Symbol;Acc:HGNC:5439]	1383	0.2925061881542206	0.4842749	Yes	
row_38	LGALS3	galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]	1443	0.28417399525642395	0.49017903	Yes	
row_39	GNA15	G protein subunit alpha 15 [Source:HGNC Symbol;Acc:HGNC:4383]	1572	0.2685036361217499	0.49216825	Yes	
row_40	GADD45B	growth arrest and DNA damage inducible beta [Source:HGNC Symbol;Acc:HGNC:4096]	1615	0.2620566487312317	0.49822927	Yes	
row_41	TIMP3	TIMP metallopeptidase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:11822]	1647	0.2583760619163513	0.5047223	Yes	
row_42	CASP7	caspase 7 [Source:HGNC Symbol;Acc:HGNC:1508]	1655	0.25628936290740967	0.5123427	Yes	
row_43	PRF1	perforin 1 [Source:HGNC Symbol;Acc:HGNC:9360]	1764	0.245650976896286	0.51461494	Yes	
row_44	TXNIP	thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952]	1818	0.24087941646575928	0.5194711	Yes	
row_45	RETSAT	retinol saturase [Source:HGNC Symbol;Acc:HGNC:25991]	1824	0.24026943743228912	0.5266928	Yes	
row_46	IL1A	interleukin 1 alpha [Source:HGNC Symbol;Acc:HGNC:5991]	1858	0.23714759945869446	0.5324265	Yes	
row_47	PDGFRB	platelet derived growth factor receptor beta [Source:HGNC Symbol;Acc:HGNC:8804]	1871	0.23548205196857452	0.53915155	Yes	
