NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ABCA8	ATP binding cassette subfamily A member 8 [Source:HGNC Symbol;Acc:HGNC:38]	0	0.9879599809646606	0.061834596	Yes	
row_1	ABCA6	ATP binding cassette subfamily A member 6 [Source:HGNC Symbol;Acc:HGNC:36]	9	0.8264439105987549	0.11316375	Yes	
row_2	ABCA9	ATP binding cassette subfamily A member 9 [Source:HGNC Symbol;Acc:HGNC:39]	16	0.7906510829925537	0.1623518	Yes	
row_3	ALDH1A1	aldehyde dehydrogenase 1 family member A1 [Source:HGNC Symbol;Acc:HGNC:402]	21	0.7736296653747559	0.21057364	Yes	
row_4	CH25H	cholesterol 25-hydroxylase [Source:HGNC Symbol;Acc:HGNC:1907]	357	0.5123712420463562	0.22604059	Yes	
row_5	ACSL5	acyl-CoA synthetase long chain family member 5 [Source:HGNC Symbol;Acc:HGNC:16526]	372	0.5061378479003906	0.25702503	Yes	
row_6	SULT1B1	sulfotransferase family 1B member 1 [Source:HGNC Symbol;Acc:HGNC:17845]	484	0.4673141539096832	0.2807726	Yes	
row_7	NR3C2	nuclear receptor subfamily 3 group C member 2 [Source:HGNC Symbol;Acc:HGNC:7979]	525	0.4570486545562744	0.30739617	Yes	
row_8	ABCA1	ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]	746	0.398870587348938	0.32145834	Yes	
row_9	CAT	catalase [Source:HGNC Symbol;Acc:HGNC:1516]	1010	0.34166765213012695	0.32980934	Yes	
row_10	CYP7B1	cytochrome P450 family 7 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2652]	1053	0.3353070020675659	0.3487142	Yes	
row_11	RXRG	retinoid X receptor gamma [Source:HGNC Symbol;Acc:HGNC:10479]	1129	0.3237091600894928	0.36525783	Yes	
row_12	CYP27A1	cytochrome P450 family 27 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2605]	1164	0.3195626437664032	0.38357374	Yes	
row_13	NEDD4	NEDD4 E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:7727]	1347	0.2967108190059662	0.39312506	Yes	
row_14	BMP6	bone morphogenetic protein 6 [Source:HGNC Symbol;Acc:HGNC:1073]	1516	0.274519681930542	0.40198123	Yes	
row_15	CYP39A1	cytochrome P450 family 39 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:17449]	1552	0.27065855264663696	0.4171868	Yes	
row_16	GCLM	glutamate-cysteine ligase modifier subunit [Source:HGNC Symbol;Acc:HGNC:4312]	1733	0.24811063706874847	0.4237954	Yes	
row_17	SCP2	sterol carrier protein 2 [Source:HGNC Symbol;Acc:HGNC:10606]	1742	0.24743534624576569	0.43888548	Yes	
row_18	NR1H4	nuclear receptor subfamily 1 group H member 4 [Source:HGNC Symbol;Acc:HGNC:7967]	1810	0.2418111115694046	0.45069972	Yes	
row_19	RETSAT	retinol saturase [Source:HGNC Symbol;Acc:HGNC:25991]	1824	0.24026943743228912	0.4650935	Yes	
