NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NPY1R	neuropeptide Y receptor Y1 [Source:HGNC Symbol;Acc:HGNC:7956]	42	0.7335664629936218	0.023093803	Yes	
row_1	KLF4	Kruppel like factor 4 [Source:HGNC Symbol;Acc:HGNC:6348]	145	0.6115984320640564	0.03901387	Yes	
row_2	ELF1	E74 like ETS transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3316]	279	0.5469000935554504	0.051169783	Yes	
row_3	FCMR	Fc fragment of IgM receptor [Source:HGNC Symbol;Acc:HGNC:14315]	321	0.5283267498016357	0.06726721	Yes	
row_4	MYOF	myoferlin [Source:HGNC Symbol;Acc:HGNC:3656]	380	0.5012832880020142	0.08159006	Yes	
row_5	CXCL12	C-X-C motif chemokine ligand 12 [Source:HGNC Symbol;Acc:HGNC:10672]	452	0.47823238372802734	0.09447447	Yes	
row_6	ENDOD1	endonuclease domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29129]	485	0.4672336280345917	0.10892246	Yes	
row_7	PLAAT3	phospholipase A and acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:17825]	495	0.4653114080429077	0.12444924	Yes	
row_8	RASGRP1	RAS guanyl releasing protein 1 [Source:HGNC Symbol;Acc:HGNC:9878]	570	0.4447464048862457	0.13603473	Yes	
row_9	PRSS23	serine protease 23 [Source:HGNC Symbol;Acc:HGNC:14370]	573	0.44371670484542847	0.15116854	Yes	
row_10	IL6ST	interleukin 6 signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]	611	0.4332294166088104	0.16420025	Yes	
row_11	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	648	0.42230015993118286	0.17690653	Yes	
row_12	EGR3	early growth response 3 [Source:HGNC Symbol;Acc:HGNC:3240]	680	0.41475310921669006	0.18960255	Yes	
row_13	GJA1	gap junction protein alpha 1 [Source:HGNC Symbol;Acc:HGNC:4274]	728	0.4031101167201996	0.2011025	Yes	
row_14	GFRA1	GDNF family receptor alpha 1 [Source:HGNC Symbol;Acc:HGNC:4243]	783	0.39245906472206116	0.21188836	Yes	
row_15	HSPB8	heat shock protein family B (small) member 8 [Source:HGNC Symbol;Acc:HGNC:30171]	808	0.3853326737880707	0.22392276	Yes	
row_16	OLFML3	olfactomedin like 3 [Source:HGNC Symbol;Acc:HGNC:24956]	840	0.37999945878982544	0.23542565	Yes	
row_17	RAB31	RAB31, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9771]	859	0.37537550926208496	0.24741685	Yes	
row_18	SVIL	supervillin [Source:HGNC Symbol;Acc:HGNC:11480]	902	0.3663273751735687	0.25790286	Yes	
row_19	PGR	progesterone receptor [Source:HGNC Symbol;Acc:HGNC:8910]	936	0.3584670424461365	0.26856697	Yes	
row_20	PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2 [Source:HGNC Symbol;Acc:HGNC:8604]	941	0.35769206285476685	0.2806479	Yes	
row_21	JAK2	Janus kinase 2 [Source:HGNC Symbol;Acc:HGNC:6192]	1001	0.3441266119480133	0.2895256	Yes	
row_22	DHRS3	dehydrogenase/reductase 3 [Source:HGNC Symbol;Acc:HGNC:17693]	1106	0.32673048973083496	0.29556623	Yes	
row_23	TPD52L1	TPD52 like 1 [Source:HGNC Symbol;Acc:HGNC:12006]	1189	0.3160403072834015	0.30233487	Yes	
row_24	TGM2	transglutaminase 2 [Source:HGNC Symbol;Acc:HGNC:11778]	1293	0.30336377024650574	0.30762306	Yes	
row_25	IGFBP4	insulin like growth factor binding protein 4 [Source:HGNC Symbol;Acc:HGNC:5473]	1423	0.28602272272109985	0.3110218	Yes	
row_26	UGCG	UDP-glucose ceramide glucosyltransferase [Source:HGNC Symbol;Acc:HGNC:12524]	1449	0.2832825183868408	0.31950295	Yes	
row_27	DEPTOR	DEP domain containing MTOR interacting protein [Source:HGNC Symbol;Acc:HGNC:22953]	1555	0.27050021290779114	0.32356334	Yes	
row_28	SH3BP5	SH3 domain binding protein 5 [Source:HGNC Symbol;Acc:HGNC:10827]	1563	0.26978179812431335	0.33247688	Yes	
row_29	HES1	hes family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:5192]	1582	0.26762303709983826	0.3407688	Yes	
row_30	TIPARP	TCDD inducible poly(ADP-ribose) polymerase [Source:HGNC Symbol;Acc:HGNC:23696]	1590	0.26570752263069153	0.34954247	Yes	
row_31	FHL2	four and a half LIM domains 2 [Source:HGNC Symbol;Acc:HGNC:3703]	1601	0.26410284638404846	0.35811174	Yes	
row_32	SLC7A2	solute carrier family 7 member 2 [Source:HGNC Symbol;Acc:HGNC:11060]	1605	0.26318809390068054	0.36699802	Yes	
row_33	NRIP1	nuclear receptor interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:8001]	1608	0.26308077573776245	0.37593037	Yes	
row_34	DYNLT3	dynein light chain Tctex-type 3 [Source:HGNC Symbol;Acc:HGNC:11694]	1620	0.26086243987083435	0.3843386	Yes	
row_35	AFF1	AF4/FMR2 family member 1 [Source:HGNC Symbol;Acc:HGNC:7135]	1687	0.2533816993236542	0.38975248	Yes	
