NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ALDH1A1	aldehyde dehydrogenase 1 family member A1 [Source:HGNC Symbol;Acc:HGNC:402]	21	0.7736296653747559	0.041642025	Yes	
row_1	SUCLG2	succinate-CoA ligase GDP-forming subunit beta [Source:HGNC Symbol;Acc:HGNC:11450]	102	0.6446861028671265	0.073239066	Yes	
row_2	ACSL5	acyl-CoA synthetase long chain family member 5 [Source:HGNC Symbol;Acc:HGNC:16526]	372	0.5061378479003906	0.08780412	Yes	
row_3	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide [Source:HGNC Symbol;Acc:HGNC:251]	385	0.49939972162246704	0.1147625	Yes	
row_4	S100A10	S100 calcium binding protein A10 [Source:HGNC Symbol;Acc:HGNC:10487]	444	0.48128560185432434	0.13843665	Yes	
row_5	HPGD	15-hydroxyprostaglandin dehydrogenase [Source:HGNC Symbol;Acc:HGNC:5154]	740	0.3996330499649048	0.14583386	Yes	
row_6	CD36	CD36 molecule [Source:HGNC Symbol;Acc:HGNC:1663]	760	0.3965313136577606	0.16676879	Yes	
row_7	INMT	indolethylamine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:6069]	855	0.37669041752815247	0.18288377	Yes	
row_8	HSDL2	hydroxysteroid dehydrogenase like 2 [Source:HGNC Symbol;Acc:HGNC:18572]	911	0.36469513177871704	0.20027402	Yes	
row_9	EPHX1	epoxide hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:3401]	1022	0.3397698700428009	0.2135572	Yes	
row_10	ACSS1	acyl-CoA synthetase short chain family member 1 [Source:HGNC Symbol;Acc:HGNC:16091]	1309	0.30094558000564575	0.21595636	Yes	
row_11	DECR1	2,4-dienoyl-CoA reductase 1 [Source:HGNC Symbol;Acc:HGNC:2753]	1483	0.2791076898574829	0.2227633	Yes	
row_12	NBN	nibrin [Source:HGNC Symbol;Acc:HGNC:7652]	1492	0.27792084217071533	0.23770024	Yes	
row_13	ACSM3	acyl-CoA synthetase medium chain family member 3 [Source:HGNC Symbol;Acc:HGNC:10522]	1497	0.2774690091609955	0.25281096	Yes	
row_14	MGLL	monoglyceride lipase [Source:HGNC Symbol;Acc:HGNC:17038]	1622	0.26049676537513733	0.26102483	Yes	
row_15	SDHD	succinate dehydrogenase complex subunit D [Source:HGNC Symbol;Acc:HGNC:10683]	1664	0.25541025400161743	0.27308065	Yes	
row_16	GABARAPL1	GABA type A receptor associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:4068]	1757	0.24589590728282928	0.2820784	Yes	
row_17	AQP7	aquaporin 7 [Source:HGNC Symbol;Acc:HGNC:640]	1777	0.24474604427814484	0.29463854	Yes	
row_18	VNN1	vanin 1 [Source:HGNC Symbol;Acc:HGNC:12705]	1805	0.24206644296646118	0.3066535	Yes	
