NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DCN	decorin [Source:HGNC Symbol;Acc:HGNC:2705]	24	0.7645776271820068	0.033438936	Yes	
row_1	GPC3	glypican 3 [Source:HGNC Symbol;Acc:HGNC:4451]	135	0.6185919046401978	0.055984553	Yes	
row_2	PYGL	glycogen phosphorylase L [Source:HGNC Symbol;Acc:HGNC:9725]	292	0.5412006378173828	0.07273495	Yes	
row_3	GPC4	glypican 4 [Source:HGNC Symbol;Acc:HGNC:4452]	327	0.5267372131347656	0.09490256	Yes	
row_4	NT5E	5'-nucleotidase ecto [Source:HGNC Symbol;Acc:HGNC:8021]	493	0.46623480319976807	0.10780923	Yes	
row_5	KDELR3	KDEL endoplasmic reticulum protein retention receptor 3 [Source:HGNC Symbol;Acc:HGNC:6306]	638	0.4242253303527832	0.11985821	Yes	
row_6	IL13RA1	interleukin 13 receptor subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:5974]	656	0.420155793428421	0.13804409	Yes	
row_7	EGFR	epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236]	708	0.4070812463760376	0.15394543	Yes	
row_8	MERTK	MER proto-oncogene, tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7027]	735	0.4007434546947479	0.17080402	Yes	
row_9	DSC2	desmocollin 2 [Source:HGNC Symbol;Acc:HGNC:3036]	846	0.37898293137550354	0.18249594	Yes	
row_10	TGFBI	transforming growth factor beta induced [Source:HGNC Symbol;Acc:HGNC:11771]	1020	0.34036707878112793	0.1893029	Yes	
row_11	GLRX	glutaredoxin [Source:HGNC Symbol;Acc:HGNC:4330]	1057	0.3349217474460602	0.2026822	Yes	
row_12	CXCR4	C-X-C motif chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:2561]	1158	0.32049307227134705	0.2122224	Yes	
row_13	DDIT4	DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]	1186	0.3163439929485321	0.22520812	Yes	
row_14	IER3	immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]	1355	0.29584968090057373	0.23024744	Yes	
row_15	FAM162A	family with sequence similarity 162 member A [Source:HGNC Symbol;Acc:HGNC:17865]	1584	0.26733770966529846	0.23100883	Yes	
row_16	TGFA	transforming growth factor alpha [Source:HGNC Symbol;Acc:HGNC:11765]	1600	0.26412293314933777	0.24222635	Yes	
row_17	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:9082]	1606	0.26318565011024475	0.25389916	Yes	
row_18	VCAN	versican [Source:HGNC Symbol;Acc:HGNC:2464]	1737	0.24773383140563965	0.25865033	Yes	
row_19	PGM2	phosphoglucomutase 2 [Source:HGNC Symbol;Acc:HGNC:8906]	1740	0.24761657416820526	0.2697672	Yes	
row_20	PKP2	plakophilin 2 [Source:HGNC Symbol;Acc:HGNC:9024]	1750	0.24650771915912628	0.28048545	Yes	
row_21	MET	MET proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7029]	1754	0.2460101991891861	0.29147977	Yes	
row_22	P4HA1	prolyl 4-hydroxylase subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:8546]	1778	0.2447361797094345	0.30142093	Yes	
row_23	ME1	malic enzyme 1 [Source:HGNC Symbol;Acc:HGNC:6983]	1924	0.23103860020637512	0.30466926	Yes	
row_24	PAM	peptidylglycine alpha-amidating monooxygenase [Source:HGNC Symbol;Acc:HGNC:8596]	1958	0.22750388085842133	0.3133321	Yes	
row_25	ANG	angiogenin [Source:HGNC Symbol;Acc:HGNC:483]	2005	0.22329942882061005	0.32115746	Yes	
row_26	CASP6	caspase 6 [Source:HGNC Symbol;Acc:HGNC:1507]	2130	0.21374773979187012	0.32466778	Yes	
row_27	PDK3	pyruvate dehydrogenase kinase 3 [Source:HGNC Symbol;Acc:HGNC:8811]	2154	0.2117270976305008	0.3331137	Yes	
row_28	FUT8	fucosyltransferase 8 [Source:HGNC Symbol;Acc:HGNC:4019]	2172	0.21033543348312378	0.34179524	Yes	
row_29	SDC2	syndecan 2 [Source:HGNC Symbol;Acc:HGNC:10659]	2190	0.20890255272388458	0.35041186	Yes	
row_30	UGP2	UDP-glucose pyrophosphorylase 2 [Source:HGNC Symbol;Acc:HGNC:12527]	2198	0.20856042206287384	0.35951072	Yes	
row_31	ALDH9A1	aldehyde dehydrogenase 9 family member A1 [Source:HGNC Symbol;Acc:HGNC:412]	2255	0.20434024930000305	0.36597952	Yes	
row_32	ISG20	interferon stimulated exonuclease gene 20 [Source:HGNC Symbol;Acc:HGNC:6130]	2381	0.193921759724617	0.36854202	Yes	
row_33	CITED2	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2 [Source:HGNC Symbol;Acc:HGNC:1987]	2421	0.1912655234336853	0.3752647	Yes	
row_34	CD44	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]	2694	0.17199422419071198	0.36951724	Yes	
