NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GPR65	G protein-coupled receptor 65 [Source:HGNC Symbol;Acc:HGNC:4517]	26	0.7636998891830444	0.016533421	Yes	
row_1	TNFSF10	TNF superfamily member 10 [Source:HGNC Symbol;Acc:HGNC:11925]	54	0.6965904235839844	0.031450495	Yes	
row_2	CXCL10	C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]	101	0.6448570489883423	0.044214282	Yes	
row_3	TLR7	toll like receptor 7 [Source:HGNC Symbol;Acc:HGNC:15631]	124	0.6281450390815735	0.057782456	Yes	
row_4	SELP	selectin P [Source:HGNC Symbol;Acc:HGNC:10721]	127	0.6215702891349792	0.07219257	Yes	
row_5	FGL2	fibrinogen like 2 [Source:HGNC Symbol;Acc:HGNC:3696]	157	0.6016558408737183	0.08479399	Yes	
row_6	AHR	aryl hydrocarbon receptor [Source:HGNC Symbol;Acc:HGNC:348]	179	0.5893831849098206	0.0975071	Yes	
row_7	GBP4	guanylate binding protein 4 [Source:HGNC Symbol;Acc:HGNC:20480]	188	0.5811257362365723	0.11067447	Yes	
row_8	SELL	selectin L [Source:HGNC Symbol;Acc:HGNC:10720]	212	0.5714136362075806	0.12286856	Yes	
row_9	ICOS	inducible T cell costimulator [Source:HGNC Symbol;Acc:HGNC:5351]	236	0.5619304776191711	0.13484128	Yes	
row_10	MYO1E	myosin IE [Source:HGNC Symbol;Acc:HGNC:7599]	261	0.5536419749259949	0.14657074	Yes	
row_11	PRKCH	protein kinase C eta [Source:HGNC Symbol;Acc:HGNC:9403]	268	0.5490186810493469	0.15908816	Yes	
row_12	IRF8	interferon regulatory factor 8 [Source:HGNC Symbol;Acc:HGNC:5358]	282	0.545066237449646	0.17116491	Yes	
row_13	PLSCR1	phospholipid scramblase 1 [Source:HGNC Symbol;Acc:HGNC:9092]	289	0.5418685078620911	0.18351543	Yes	
row_14	CD86	CD86 molecule [Source:HGNC Symbol;Acc:HGNC:1705]	300	0.5362170338630676	0.19553493	Yes	
row_15	CCND2	cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]	314	0.5314072966575623	0.20729284	Yes	
row_16	CD48	CD48 molecule [Source:HGNC Symbol;Acc:HGNC:1683]	395	0.4956444203853607	0.21488126	Yes	
row_17	WLS	Wnt ligand secretion mediator [Source:HGNC Symbol;Acc:HGNC:30238]	398	0.4945731461048126	0.22632681	Yes	
row_18	ITIH5	inter-alpha-trypsin inhibitor heavy chain 5 [Source:HGNC Symbol;Acc:HGNC:21449]	454	0.47679030895233154	0.23471938	Yes	
row_19	CTLA4	cytotoxic T-lymphocyte associated protein 4 [Source:HGNC Symbol;Acc:HGNC:2505]	459	0.4750465154647827	0.24560957	Yes	
row_20	NFKBIZ	NFKB inhibitor zeta [Source:HGNC Symbol;Acc:HGNC:29805]	475	0.46907463669776917	0.25581288	Yes	
row_21	IL10RA	interleukin 10 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5964]	487	0.46667739748954773	0.2661593	Yes	
row_22	NT5E	5'-nucleotidase ecto [Source:HGNC Symbol;Acc:HGNC:8021]	493	0.46623480319976807	0.27679402	Yes	
row_23	IL4R	interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]	539	0.4540855884552002	0.28515428	Yes	
row_24	TTC39B	tetratricopeptide repeat domain 39B [Source:HGNC Symbol;Acc:HGNC:23704]	564	0.4466007947921753	0.29438505	Yes	
row_25	ANXA4	annexin A4 [Source:HGNC Symbol;Acc:HGNC:542]	569	0.4452286958694458	0.30457917	Yes	
row_26	MAP3K8	mitogen-activated protein kinase kinase kinase 8 [Source:HGNC Symbol;Acc:HGNC:6860]	587	0.44020605087280273	0.31400904	Yes	
