NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DDX60	DExD/H-box helicase 60 [Source:HGNC Symbol;Acc:HGNC:25942]	7	0.8345820903778076	0.012836862	Yes	
row_1	PLA2G4A	phospholipase A2 group IVA [Source:HGNC Symbol;Acc:HGNC:9035]	8	0.8275960683822632	0.025911719	Yes	
row_2	CD69	CD69 molecule [Source:HGNC Symbol;Acc:HGNC:1694]	12	0.8152106404304504	0.038641606	Yes	
row_3	SAMD9L	sterile alpha motif domain containing 9 like [Source:HGNC Symbol;Acc:HGNC:1349]	31	0.7434108853340149	0.049490664	Yes	
row_4	IFI44L	interferon induced protein 44 like [Source:HGNC Symbol;Acc:HGNC:17817]	33	0.7428261041641235	0.061176505	Yes	
row_5	EPSTI1	epithelial stromal interaction 1 [Source:HGNC Symbol;Acc:HGNC:16465]	36	0.7389392256736755	0.07275118	Yes	
row_6	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	45	0.7205459475517273	0.083736666	Yes	
row_7	NMI	N-myc and STAT interactor [Source:HGNC Symbol;Acc:HGNC:7854]	46	0.720503568649292	0.09511961	Yes	
row_8	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	49	0.7156223654747009	0.1063259	Yes	
row_9	TNFSF10	TNF superfamily member 10 [Source:HGNC Symbol;Acc:HGNC:11925]	54	0.6965904235839844	0.117131986	Yes	
row_10	KLRK1	killer cell lectin like receptor K1 [Source:HGNC Symbol;Acc:HGNC:18788]	60	0.6899487376213074	0.12778337	Yes	
row_11	VCAM1	vascular cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:12663]	62	0.6865099668502808	0.1385795	Yes	
row_12	SP110	SP110 nuclear body protein [Source:HGNC Symbol;Acc:HGNC:5401]	68	0.677747905254364	0.14903814	Yes	
row_13	IFIT3	interferon induced protein with tetratricopeptide repeats 3 [Source:HGNC Symbol;Acc:HGNC:5411]	80	0.6639522910118103	0.15898022	Yes	
row_14	IFIT1	interferon induced protein with tetratricopeptide repeats 1 [Source:HGNC Symbol;Acc:HGNC:5407]	81	0.6633434891700745	0.16946012	Yes	
row_15	IFIH1	interferon induced with helicase C domain 1 [Source:HGNC Symbol;Acc:HGNC:18873]	94	0.6515616178512573	0.17915669	Yes	
row_16	DDX58	DExD/H-box helicase 58 [Source:HGNC Symbol;Acc:HGNC:19102]	95	0.6507322788238525	0.18943734	Yes	
row_17	CXCL10	C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]	101	0.6448570489883423	0.19937634	Yes	
row_18	BANK1	B cell scaffold protein with ankyrin repeats 1 [Source:HGNC Symbol;Acc:HGNC:18233]	112	0.6363917589187622	0.20893279	Yes	
row_19	PARP14	poly(ADP-ribose) polymerase family member 14 [Source:HGNC Symbol;Acc:HGNC:29232]	116	0.6338569521903992	0.21879753	Yes	
row_20	SELP	selectin P [Source:HGNC Symbol;Acc:HGNC:10721]	127	0.6215702891349792	0.22811982	Yes	
row_21	FGL2	fibrinogen like 2 [Source:HGNC Symbol;Acc:HGNC:3696]	157	0.6016558408737183	0.23618191	Yes	
row_22	IFIT2	interferon induced protein with tetratricopeptide repeats 2 [Source:HGNC Symbol;Acc:HGNC:5409]	164	0.5987503528594971	0.24534273	Yes	
row_23	HERC6	HECT and RLD domain containing E3 ubiquitin protein ligase family member 6 [Source:HGNC Symbol;Acc:HGNC:26072]	170	0.5927644968032837	0.25445876	Yes	
row_24	CASP4	caspase 4 [Source:HGNC Symbol;Acc:HGNC:1505]	187	0.5838927030563354	0.26288718	Yes	
row_25	GBP4	guanylate binding protein 4 [Source:HGNC Symbol;Acc:HGNC:20480]	188	0.5811257362365723	0.27206814	Yes	
row_26	APOL6	apolipoprotein L6 [Source:HGNC Symbol;Acc:HGNC:14870]	197	0.5791082382202148	0.28081912	Yes	
row_27	OAS2	2'-5'-oligoadenylate synthetase 2 [Source:HGNC Symbol;Acc:HGNC:8087]	201	0.5771875381469727	0.28978857	Yes	
row_28	CCL2	C-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:10618]	223	0.5667612552642822	0.2976975	Yes	
row_29	PTGS2	prostaglandin-endoperoxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:9605]	231	0.5635830760002136	0.306253	Yes	
row_30	IFI44	interferon induced protein 44 [Source:HGNC Symbol;Acc:HGNC:16938]	241	0.5607380270957947	0.31466395	Yes	
row_31	IRF8	interferon regulatory factor 8 [Source:HGNC Symbol;Acc:HGNC:5358]	282	0.545066237449646	0.3212846	Yes	
row_32	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	285	0.5439901351928711	0.32977933	Yes	
row_33	PLSCR1	phospholipid scramblase 1 [Source:HGNC Symbol;Acc:HGNC:9092]	289	0.5418685078620911	0.3381908	Yes	
row_34	GPR18	G protein-coupled receptor 18 [Source:HGNC Symbol;Acc:HGNC:4472]	291	0.5414333939552307	0.34669492	Yes	
row_35	CD86	CD86 molecule [Source:HGNC Symbol;Acc:HGNC:1705]	300	0.5362170338630676	0.35476828	Yes	
row_36	P2RY14	purinergic receptor P2Y14 [Source:HGNC Symbol;Acc:HGNC:16442]	303	0.5351654291152954	0.3631236	Yes	
row_37	USP18	ubiquitin specific peptidase 18 [Source:HGNC Symbol;Acc:HGNC:12616]	319	0.5285457968711853	0.3707274	Yes	
row_38	CIITA	class II major histocompatibility complex transactivator [Source:HGNC Symbol;Acc:HGNC:7067]	331	0.5247594118118286	0.37847042	Yes	
row_39	TRIM21	tripartite motif containing 21 [Source:HGNC Symbol;Acc:HGNC:11312]	334	0.5237811207771301	0.38664588	Yes	
row_40	C1S	complement C1s [Source:HGNC Symbol;Acc:HGNC:1247]	356	0.5125501751899719	0.3936984	Yes	
row_41	LCP2	lymphocyte cytosolic protein 2 [Source:HGNC Symbol;Acc:HGNC:6529]	403	0.4924062192440033	0.39918846	Yes	
row_42	CASP8	caspase 8 [Source:HGNC Symbol;Acc:HGNC:1509]	435	0.4828358590602875	0.40527385	Yes	
row_43	C1R	complement C1r [Source:HGNC Symbol;Acc:HGNC:1246]	440	0.4818769097328186	0.41268775	Yes	
row_44	FPR1	formyl peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:3826]	451	0.4791801869869232	0.41976047	Yes	
row_45	CXCL9	C-X-C motif chemokine ligand 9 [Source:HGNC Symbol;Acc:HGNC:7098]	462	0.47413161396980286	0.42675343	Yes	
row_46	CXCL11	C-X-C motif chemokine ligand 11 [Source:HGNC Symbol;Acc:HGNC:10638]	467	0.47331559658050537	0.43403208	Yes	
row_47	IL10RA	interleukin 10 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5964]	487	0.46667739748954773	0.44045937	Yes	
row_48	PSMB9	proteasome 20S subunit beta 9 [Source:HGNC Symbol;Acc:HGNC:9546]	498	0.4642012119293213	0.44729546	Yes	
row_49	RSAD2	radical S-adenosyl methionine domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30908]	509	0.45965465903282166	0.4540597	Yes	
