NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFI44L	interferon induced protein 44 like [Source:HGNC Symbol;Acc:HGNC:17817]	33	0.7428261041641235	0.03327907	Yes	
row_1	CD40LG	CD40 ligand [Source:HGNC Symbol;Acc:HGNC:11935]	230	0.5639635920524597	0.050037675	Yes	
row_2	SELENOP	selenoprotein P [Source:HGNC Symbol;Acc:HGNC:10751]	310	0.5325302481651306	0.07114119	Yes	
row_3	NR4A2	nuclear receptor subfamily 4 group A member 2 [Source:HGNC Symbol;Acc:HGNC:7981]	355	0.5125681757926941	0.093048066	Yes	
row_4	RSAD2	radical S-adenosyl methionine domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30908]	509	0.45965465903282166	0.107042894	Yes	
row_5	TCL1A	T cell leukemia/lymphoma 1A [Source:HGNC Symbol;Acc:HGNC:11648]	527	0.4565560519695282	0.12766024	Yes	
row_6	TENT5C	terminal nucleotidyltransferase 5C [Source:HGNC Symbol;Acc:HGNC:24712]	665	0.41770365834236145	0.14047916	Yes	
row_7	CD80	CD80 molecule [Source:HGNC Symbol;Acc:HGNC:1700]	698	0.40998491644859314	0.15816064	Yes	
row_8	MX1	MX dynamin like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:7532]	753	0.3973672688007355	0.17415409	Yes	
row_9	PTPRJ	protein tyrosine phosphatase receptor type J [Source:HGNC Symbol;Acc:HGNC:9673]	1009	0.3420405089855194	0.17754357	Yes	
row_10	MYOT	myotilin [Source:HGNC Symbol;Acc:HGNC:12399]	1023	0.3396691679954529	0.19286495	Yes	
row_11	BTG2	BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]	1049	0.33602476119995117	0.20741782	Yes	
row_12	SIDT1	SID1 transmembrane family member 1 [Source:HGNC Symbol;Acc:HGNC:25967]	1101	0.32755759358406067	0.22027871	Yes	
row_13	COPZ2	COPI coat complex subunit zeta 2 [Source:HGNC Symbol;Acc:HGNC:19356]	1109	0.3260829448699951	0.23526	Yes	
row_14	PLAG1	PLAG1 zinc finger [Source:HGNC Symbol;Acc:HGNC:9045]	1145	0.3217231333255768	0.24864286	Yes	
row_15	THRB	thyroid hormone receptor beta [Source:HGNC Symbol;Acc:HGNC:11799]	1237	0.309709370136261	0.25867403	Yes	
row_16	IFNG	interferon gamma [Source:HGNC Symbol;Acc:HGNC:5438]	1244	0.3086221218109131	0.27288422	Yes	
row_17	NTF3	neurotrophin 3 [Source:HGNC Symbol;Acc:HGNC:8023]	1325	0.29925912618637085	0.28297153	Yes	
row_18	SGK1	serum/glucocorticoid regulated kinase 1 [Source:HGNC Symbol;Acc:HGNC:10810]	1393	0.29068663716316223	0.29330283	Yes	
row_19	CYP39A1	cytochrome P450 family 39 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:17449]	1552	0.27065855264663696	0.29816383	Yes	
row_20	TGFB2	transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768]	1997	0.22406893968582153	0.2866015	Yes	
row_21	TCF7L1	transcription factor 7 like 1 [Source:HGNC Symbol;Acc:HGNC:11640]	2033	0.22131606936454773	0.2952641	Yes	
row_22	EDN1	endothelin 1 [Source:HGNC Symbol;Acc:HGNC:3176]	2110	0.21526746451854706	0.3016019	Yes	
row_23	SERPINB2	serpin family B member 2 [Source:HGNC Symbol;Acc:HGNC:8584]	2117	0.21463191509246826	0.31139347	Yes	
row_24	CPB1	carboxypeptidase B1 [Source:HGNC Symbol;Acc:HGNC:2299]	2264	0.2028852105140686	0.31366554	Yes	
row_25	ZBTB16	zinc finger and BTB domain containing 16 [Source:HGNC Symbol;Acc:HGNC:12930]	2374	0.19473806023597717	0.31739596	Yes	
row_26	NRIP2	nuclear receptor interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:23078]	2406	0.1920551061630249	0.324882	Yes	
row_27	FGGY	FGGY carbohydrate kinase domain containing [Source:HGNC Symbol;Acc:HGNC:25610]	2452	0.1894071102142334	0.33154684	Yes	
row_28	SOX10	SRY-box transcription factor 10 [Source:HGNC Symbol;Acc:HGNC:11190]	2465	0.1880015730857849	0.33978787	Yes	
row_29	CYP11B2	cytochrome P450 family 11 subfamily B member 2 [Source:HGNC Symbol;Acc:HGNC:2592]	2471	0.18703195452690125	0.3483317	Yes	
row_30	SYNPO	synaptopodin [Source:HGNC Symbol;Acc:HGNC:30672]	2489	0.18562719225883484	0.3562123	Yes	
row_31	GP1BA	glycoprotein Ib platelet subunit alpha [Source:HGNC Symbol;Acc:HGNC:4439]	2663	0.17353101074695587	0.3557607	Yes	
row_32	MAST3	microtubule associated serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:19036]	3082	0.1490456759929657	0.34196532	Yes	
row_33	SKIL	SKI like proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10897]	3116	0.1470842808485031	0.3472377	Yes	
row_34	EFHD1	EF-hand domain family member D1 [Source:HGNC Symbol;Acc:HGNC:29556]	3152	0.14534926414489746	0.35232896	Yes	
row_35	BARD1	BRCA1 associated RING domain 1 [Source:HGNC Symbol;Acc:HGNC:952]	3279	0.1394612044095993	0.3526147	Yes	
row_36	KCNMB1	potassium calcium-activated channel subfamily M regulatory beta subunit 1 [Source:HGNC Symbol;Acc:HGNC:6285]	3300	0.1384829580783844	0.35812968	Yes	
row_37	CLDN16	claudin 16 [Source:HGNC Symbol;Acc:HGNC:2037]	3476	0.13037489354610443	0.35554972	No	
row_38	LFNG	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:6560]	3627	0.1230490580201149	0.35386953	No	
row_39	ACTC1	actin alpha cardiac muscle 1 [Source:HGNC Symbol;Acc:HGNC:143]	4081	0.10728035867214203	0.3363689	No	
row_40	MEFV	MEFV innate immuity regulator, pyrin [Source:HGNC Symbol;Acc:HGNC:6998]	4178	0.10421095043420792	0.33649045	No	
row_41	SLC16A7	solute carrier family 16 member 7 [Source:HGNC Symbol;Acc:HGNC:10928]	4229	0.1025594100356102	0.33882362	No	
row_42	ITIH3	inter-alpha-trypsin inhibitor heavy chain 3 [Source:HGNC Symbol;Acc:HGNC:6168]	4345	0.0982171967625618	0.33771786	No	
row_43	SSTR4	somatostatin receptor 4 [Source:HGNC Symbol;Acc:HGNC:11333]	4366	0.0972554087638855	0.34129465	No	
row_44	SMPX	small muscle protein X-linked [Source:HGNC Symbol;Acc:HGNC:11122]	4615	0.08937968313694	0.33315453	No	
row_45	RYR1	ryanodine receptor 1 [Source:HGNC Symbol;Acc:HGNC:10483]	4691	0.08686167746782303	0.33350557	No	
row_46	EDAR	ectodysplasin A receptor [Source:HGNC Symbol;Acc:HGNC:2895]	4943	0.07974822074174881	0.32476336	No	
row_47	MTHFR	methylenetetrahydrofolate reductase [Source:HGNC Symbol;Acc:HGNC:7436]	5090	0.07620368897914886	0.32107997	No	
row_48	CALCB	calcitonin related polypeptide beta [Source:HGNC Symbol;Acc:HGNC:1438]	5201	0.07379157841205597	0.31907475	No	
row_49	CHST2	carbohydrate sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:1970]	5261	0.07245868444442749	0.31954494	No	
row_50	EGF	epidermal growth factor [Source:HGNC Symbol;Acc:HGNC:3229]	5603	0.06485244631767273	0.3056235	No	
row_51	IDUA	alpha-L-iduronidase [Source:HGNC Symbol;Acc:HGNC:5391]	5862	0.05989111214876175	0.29559943	No	
row_52	ENTPD7	ectonucleoside triphosphate diphosphohydrolase 7 [Source:HGNC Symbol;Acc:HGNC:19745]	5907	0.058967601507902145	0.29618186	No	
row_53	PCDHB1	protocadherin beta 1 [Source:HGNC Symbol;Acc:HGNC:8680]	6377	0.0502941720187664	0.27520597	No	
row_54	TLX1	T cell leukemia homeobox 1 [Source:HGNC Symbol;Acc:HGNC:5056]	6413	0.049615927040576935	0.27579668	No	
row_55	SLC29A3	solute carrier family 29 member 3 [Source:HGNC Symbol;Acc:HGNC:23096]	6543	0.046892039477825165	0.27158132	No	
row_56	GDNF	glial cell derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:4232]	6701	0.04432675242424011	0.26585189	No	
row_57	IL5	interleukin 5 [Source:HGNC Symbol;Acc:HGNC:6016]	6840	0.04215238615870476	0.26096582	No	
row_58	TFCP2L1	transcription factor CP2 like 1 [Source:HGNC Symbol;Acc:HGNC:17925]	6850	0.04202890023589134	0.26249376	No	
row_59	C5	complement C5 [Source:HGNC Symbol;Acc:HGNC:1331]	6915	0.04104379937052727	0.26123828	No	
row_60	COL2A1	collagen type II alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2200]	7030	0.03931651636958122	0.25741327	No	
row_61	CD207	CD207 molecule [Source:HGNC Symbol;Acc:HGNC:17935]	7059	0.03884626924991608	0.25784603	No	
row_62	ALOX12B	arachidonate 12-lipoxygenase, 12R type [Source:HGNC Symbol;Acc:HGNC:430]	7078	0.03847312927246094	0.2587589	No	
row_63	ATP4A	ATPase H+/K+ transporting subunit alpha [Source:HGNC Symbol;Acc:HGNC:819]	7249	0.035882845520973206	0.25198558	No	
row_64	KRT5	keratin 5 [Source:HGNC Symbol;Acc:HGNC:6442]	7306	0.034972697496414185	0.2508428	No	
row_65	GPRC5C	G protein-coupled receptor class C group 5 member C [Source:HGNC Symbol;Acc:HGNC:13309]	7482	0.032422080636024475	0.24365795	No	
row_66	FGF22	fibroblast growth factor 22 [Source:HGNC Symbol;Acc:HGNC:3679]	7717	0.02938809245824814	0.23339425	No	
row_67	NR6A1	nuclear receptor subfamily 6 group A member 1 [Source:HGNC Symbol;Acc:HGNC:7985]	7746	0.029004160314798355	0.23336433	No	
row_68	PDE6B	phosphodiesterase 6B [Source:HGNC Symbol;Acc:HGNC:8786]	7814	0.027933742851018906	0.23134321	No	
row_69	LYPD3	LY6/PLAUR domain containing 3 [Source:HGNC Symbol;Acc:HGNC:24880]	7977	0.025902405381202698	0.22449881	No	
row_70	ADRA2C	adrenoceptor alpha 2C [Source:HGNC Symbol;Acc:HGNC:283]	8332	0.021412769332528114	0.20788826	No	
row_71	SNN	stannin [Source:HGNC Symbol;Acc:HGNC:11149]	8378	0.02082362398505211	0.20662774	No	
row_72	MYH7	myosin heavy chain 7 [Source:HGNC Symbol;Acc:HGNC:7577]	8494	0.0195790883153677	0.20182508	No	
row_73	GPR3	G protein-coupled receptor 3 [Source:HGNC Symbol;Acc:HGNC:4484]	8661	0.017896132543683052	0.19440523	No	
row_74	ABCB11	ATP binding cassette subfamily B member 11 [Source:HGNC Symbol;Acc:HGNC:42]	8723	0.01713605970144272	0.19217509	No	
row_75	OXT	oxytocin/neurophysin I prepropeptide [Source:HGNC Symbol;Acc:HGNC:8528]	8818	0.01618189550936222	0.18825781	No	
row_76	CALML5	calmodulin like 5 [Source:HGNC Symbol;Acc:HGNC:18180]	8871	0.01565980166196823	0.18640617	No	
row_77	HTR1D	5-hydroxytryptamine receptor 1D [Source:HGNC Symbol;Acc:HGNC:5289]	8875	0.015621581114828587	0.18699126	No	
row_78	KRT1	keratin 1 [Source:HGNC Symbol;Acc:HGNC:6412]	8978	0.014664786867797375	0.18260452	No	
row_79	PTGFR	prostaglandin F receptor [Source:HGNC Symbol;Acc:HGNC:9600]	9098	0.013583198189735413	0.17732093	No	
row_80	LGALS7	galectin 7 [Source:HGNC Symbol;Acc:HGNC:6568]	9141	0.013122989796102047	0.17584768	No	
row_81	SLC5A5	solute carrier family 5 member 5 [Source:HGNC Symbol;Acc:HGNC:11040]	9182	0.012572908774018288	0.17444812	No	
