NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BIRC3	baculoviral IAP repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:591]	11	0.8172361850738525	0.018065557	Yes	
row_1	F13A1	coagulation factor XIII A chain [Source:HGNC Symbol;Acc:HGNC:3531]	28	0.7488671541213989	0.03432511	Yes	
row_2	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	49	0.7156223654747009	0.049628418	Yes	
row_3	LY96	lymphocyte antigen 96 [Source:HGNC Symbol;Acc:HGNC:17156]	65	0.6850970983505249	0.06448534	Yes	
row_4	CXCL10	C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]	101	0.6448570489883423	0.07743036	Yes	
row_5	DOCK2	dedicator of cytokinesis 2 [Source:HGNC Symbol;Acc:HGNC:2988]	119	0.6324865818023682	0.09098951	Yes	
row_6	IL7R	interleukin 7 receptor [Source:HGNC Symbol;Acc:HGNC:6024]	131	0.6195497512817383	0.10455264	Yes	
row_7	KLF4	Kruppel like factor 4 [Source:HGNC Symbol;Acc:HGNC:6348]	145	0.6115984320640564	0.117835134	Yes	
row_8	TFPI	tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]	162	0.5998442769050598	0.1307006	Yes	
row_9	IL2RG	interleukin 2 receptor subunit gamma [Source:HGNC Symbol;Acc:HGNC:6010]	169	0.5941531658172607	0.14393418	Yes	
row_10	GNG11	G protein subunit gamma 11 [Source:HGNC Symbol;Acc:HGNC:4403]	175	0.5906782746315002	0.15713836	Yes	
row_11	C3AR1	complement C3a receptor 1 [Source:HGNC Symbol;Acc:HGNC:1319]	203	0.5767066478729248	0.16892938	Yes	
row_12	PTGS2	prostaglandin-endoperoxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:9605]	231	0.5635830760002136	0.1804215	Yes	
row_13	IRF8	interferon regulatory factor 8 [Source:HGNC Symbol;Acc:HGNC:5358]	282	0.545066237449646	0.19034715	Yes	
row_14	SPARCL1	SPARC like 1 [Source:HGNC Symbol;Acc:HGNC:11220]	294	0.5407238602638245	0.20211498	Yes	
row_15	APOD	apolipoprotein D [Source:HGNC Symbol;Acc:HGNC:612]	306	0.5348363518714905	0.21374871	Yes	
row_16	CCND2	cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]	314	0.5314072966575623	0.22550343	Yes	
row_17	ADGRL4	adhesion G protein-coupled receptor L4 [Source:HGNC Symbol;Acc:HGNC:20822]	360	0.5110490918159485	0.23490319	Yes	
row_18	IKZF1	IKAROS family zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:13176]	382	0.5006247758865356	0.24526002	Yes	
row_19	CTSS	cathepsin S [Source:HGNC Symbol;Acc:HGNC:2545]	417	0.4873466491699219	0.2546674	Yes	
row_20	SERPINA3	serpin family A member 3 [Source:HGNC Symbol;Acc:HGNC:16]	445	0.4806860387325287	0.2642715	Yes	
