NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DOCK2	dedicator of cytokinesis 2 [Source:HGNC Symbol;Acc:HGNC:2988]	119	0.6324865818023682	0.014794335	No	
row_1	MYO1E	myosin IE [Source:HGNC Symbol;Acc:HGNC:7599]	261	0.5536419749259949	0.02591115	No	
row_2	PCGF5	polycomb group ring finger 5 [Source:HGNC Symbol;Acc:HGNC:28264]	293	0.5411570072174072	0.04209384	No	
row_3	EPB41L2	erythrocyte membrane protein band 4.1 like 2 [Source:HGNC Symbol;Acc:HGNC:3379]	317	0.5299434065818787	0.05830739	No	
row_4	NOTCH2	notch receptor 2 [Source:HGNC Symbol;Acc:HGNC:7882]	496	0.4649896025657654	0.06467887	No	
row_5	NEDD9	neural precursor cell expressed, developmentally down-regulated 9 [Source:HGNC Symbol;Acc:HGNC:7733]	606	0.4346901774406433	0.0734921	No	
row_6	ARHGAP10	Rho GTPase activating protein 10 [Source:HGNC Symbol;Acc:HGNC:26099]	836	0.38089829683303833	0.07457085	No	
row_7	TUBA4A	tubulin alpha 4a [Source:HGNC Symbol;Acc:HGNC:12407]	976	0.3491131365299225	0.07908787	No	
row_8	VCL	vinculin [Source:HGNC Symbol;Acc:HGNC:12665]	1074	0.3322112560272217	0.08514165	No	
row_9	PREX1	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:32594]	1146	0.32165050506591797	0.09214356	No	
row_10	GSN	gelsolin [Source:HGNC Symbol;Acc:HGNC:4620]	1314	0.3003288209438324	0.093669064	No	
row_11	MYH9	myosin heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:7579]	1330	0.2988097667694092	0.10271001	No	
row_12	FLNA	filamin A [Source:HGNC Symbol;Acc:HGNC:3754]	1451	0.2831226587295532	0.10601116	No	
row_13	AKAP13	A-kinase anchoring protein 13 [Source:HGNC Symbol;Acc:HGNC:371]	1470	0.28089433908462524	0.11431597	No	
row_14	EZR	ezrin [Source:HGNC Symbol;Acc:HGNC:12691]	1535	0.2724427878856659	0.12005448	No	
row_15	WASF2	WASP family member 2 [Source:HGNC Symbol;Acc:HGNC:12733]	1789	0.24379697442054749	0.11544797	No	
row_16	MID1	midline 1 [Source:HGNC Symbol;Acc:HGNC:7095]	1790	0.24349921941757202	0.123423785	No	
row_17	CD2AP	CD2 associated protein [Source:HGNC Symbol;Acc:HGNC:14258]	1806	0.24205747246742249	0.1306058	No	
row_18	ARHGEF3	Rho guanine nucleotide exchange factor 3 [Source:HGNC Symbol;Acc:HGNC:683]	1905	0.2327936589717865	0.1333534	No	
row_19	FLNB	filamin B [Source:HGNC Symbol;Acc:HGNC:3755]	2176	0.21004395186901093	0.1267952	No	
row_20	FGD4	FYVE, RhoGEF and PH domain containing 4 [Source:HGNC Symbol;Acc:HGNC:19125]	2256	0.20412461459636688	0.12954938	No	
row_21	ROCK1	Rho associated coiled-coil containing protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:10251]	2329	0.19800207018852234	0.13245143	No	
row_22	ARHGAP4	Rho GTPase activating protein 4 [Source:HGNC Symbol;Acc:HGNC:674]	2369	0.19534586369991302	0.1369089	No	
row_23	NIN	ninein [Source:HGNC Symbol;Acc:HGNC:14906]	2482	0.1863974779844284	0.13744	No	
row_24	CDC42EP1	CDC42 effector protein 1 [Source:HGNC Symbol;Acc:HGNC:17014]	2483	0.18638575077056885	0.14354506	No	
row_25	SYNPO	synaptopodin [Source:HGNC Symbol;Acc:HGNC:30672]	2489	0.18562719225883484	0.14937642	No	
row_26	RASA2	RAS p21 protein activator 2 [Source:HGNC Symbol;Acc:HGNC:9872]	2517	0.18325422704219818	0.15403509	No	
row_27	PALLD	palladin, cytoskeletal associated protein [Source:HGNC Symbol;Acc:HGNC:17068]	2530	0.18218573927879333	0.15940532	No	
row_28	STK38L	serine/threonine kinase 38 like [Source:HGNC Symbol;Acc:HGNC:17848]	2547	0.181087926030159	0.16454053	No	
row_29	TLK1	tousled like kinase 1 [Source:HGNC Symbol;Acc:HGNC:11841]	2614	0.17677463591098785	0.16704589	No	
row_30	ARHGAP29	Rho GTPase activating protein 29 [Source:HGNC Symbol;Acc:HGNC:30207]	2617	0.17665456235408783	0.17273267	No	
row_31	ABI1	abl interactor 1 [Source:HGNC Symbol;Acc:HGNC:11320]	2671	0.1732395589351654	0.17576925	No	
row_32	ARF6	ADP ribosylation factor 6 [Source:HGNC Symbol;Acc:HGNC:659]	2753	0.16814017295837402	0.17724523	No	
row_33	BCL2L11	BCL2 like 11 [Source:HGNC Symbol;Acc:HGNC:994]	2773	0.1669940948486328	0.18176946	No	
row_34	NCK1	NCK adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:7664]	2776	0.16671888530254364	0.1871308	No	
row_35	ARHGAP5	Rho GTPase activating protein 5 [Source:HGNC Symbol;Acc:HGNC:675]	2884	0.16012124717235565	0.18705006	No	
row_36	CNTRL	centriolin [Source:HGNC Symbol;Acc:HGNC:1858]	2925	0.15800146758556366	0.19023456	No	
row_37	PDLIM5	PDZ and LIM domain 5 [Source:HGNC Symbol;Acc:HGNC:17468]	2999	0.15322308242321014	0.1916201	No	
row_38	CAPZB	capping actin protein of muscle Z-line subunit beta [Source:HGNC Symbol;Acc:HGNC:1491]	3122	0.14675164222717285	0.19035487	No	
row_39	ACTN4	actinin alpha 4 [Source:HGNC Symbol;Acc:HGNC:166]	3124	0.14660939574241638	0.1951073	No	
row_40	SPTBN1	spectrin beta, non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11275]	3164	0.14485131204128265	0.19791082	No	
row_41	PXN	paxillin [Source:HGNC Symbol;Acc:HGNC:9718]	3308	0.13808542490005493	0.19531655	No	
row_42	SUN2	Sad1 and UNC84 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:14210]	3413	0.13295522332191467	0.1944953	No	
row_43	CDC42	cell division cycle 42 [Source:HGNC Symbol;Acc:HGNC:1736]	3670	0.1212422251701355	0.1857252	No	
row_44	PKD2	polycystin 2, transient receptor potential cation channel [Source:HGNC Symbol;Acc:HGNC:9009]	3711	0.11959794908761978	0.18765178	No	
row_45	ARHGEF2	Rho/Rac guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:682]	3859	0.11432389914989471	0.18408012	No	
row_46	MAP3K11	mitogen-activated protein kinase kinase kinase 11 [Source:HGNC Symbol;Acc:HGNC:6850]	3898	0.11286336928606033	0.18588565	No	
row_47	RAPGEF5	Rap guanine nucleotide exchange factor 5 [Source:HGNC Symbol;Acc:HGNC:16862]	3919	0.11231736838817596	0.18856919	No	
row_48	RHOF	ras homolog family member F, filopodia associated [Source:HGNC Symbol;Acc:HGNC:15703]	4582	0.09054244309663773	0.15858647	No	
row_49	RAB3GAP1	RAB3 GTPase activating protein catalytic subunit 1 [Source:HGNC Symbol;Acc:HGNC:17063]	4667	0.08772266656160355	0.15727906	No	
row_50	UXT	ubiquitously expressed prefoldin like chaperone [Source:HGNC Symbol;Acc:HGNC:12641]	4785	0.08379709720611572	0.15420061	No	
row_51	PLEKHG2	pleckstrin homology and RhoGEF domain containing G2 [Source:HGNC Symbol;Acc:HGNC:29515]	5270	0.0721532478928566	0.13247481	No	
row_52	ABR	ABR activator of RhoGEF and GTPase [Source:HGNC Symbol;Acc:HGNC:81]	5285	0.07182896137237549	0.13413076	No	
row_53	RALBP1	ralA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9841]	5407	0.06933087110519409	0.13037941	No	
row_54	ARHGEF12	Rho guanine nucleotide exchange factor 12 [Source:HGNC Symbol;Acc:HGNC:14193]	5540	0.06643027812242508	0.12598555	No	
row_55	RICTOR	RPTOR independent companion of MTOR complex 2 [Source:HGNC Symbol;Acc:HGNC:28611]	5564	0.06583897769451141	0.12699737	No	
row_56	MID1IP1	MID1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:20715]	5621	0.06440994143486023	0.12631993	No	
row_57	NCK2	NCK adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:7665]	5666	0.06333108246326447	0.12620442	No	
row_58	ARAP3	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:24097]	5715	0.06241249293088913	0.12585972	No	
row_59	HOOK3	hook microtubule tethering protein 3 [Source:HGNC Symbol;Acc:HGNC:23576]	5782	0.0611548013985157	0.12457796	No	
row_60	MYO9B	myosin IXB [Source:HGNC Symbol;Acc:HGNC:7609]	5847	0.06014398857951164	0.12336263	No	
row_61	RFC1	replication factor C subunit 1 [Source:HGNC Symbol;Acc:HGNC:9969]	6302	0.05132201686501503	0.10244762	No	
row_62	ARFGEF1	ADP ribosylation factor guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:15772]	6409	0.049640536308288574	0.098797865	No	
row_63	FGD6	FYVE, RhoGEF and PH domain containing 6 [Source:HGNC Symbol;Acc:HGNC:21740]	6800	0.04271838441491127	0.0807864	No	
row_64	KIF5B	kinesin family member 5B [Source:HGNC Symbol;Acc:HGNC:6324]	6849	0.04206876456737518	0.07977535	No	
row_65	CDC42EP2	CDC42 effector protein 2 [Source:HGNC Symbol;Acc:HGNC:16263]	6856	0.04184499755501747	0.08084735	No	
row_66	RASAL2	RAS protein activator like 2 [Source:HGNC Symbol;Acc:HGNC:9874]	7017	0.039533987641334534	0.07417892	No	
row_67	NET1	neuroepithelial cell transforming 1 [Source:HGNC Symbol;Acc:HGNC:14592]	7311	0.03494621068239212	0.060740665	No	
