NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYC	MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]	1816	0.2413230538368225	-0.07121407	No	
row_1	PRPS2	phosphoribosyl pyrophosphate synthetase 2 [Source:HGNC Symbol;Acc:HGNC:9465]	3100	0.14779134094715118	-0.12333054	No	
row_2	FAM120A	family with sequence similarity 120A [Source:HGNC Symbol;Acc:HGNC:13247]	3708	0.11968202143907547	-0.14403357	No	
row_3	PRDX3	peroxiredoxin 3 [Source:HGNC Symbol;Acc:HGNC:9354]	4543	0.09165627509355545	-0.17826201	No	
row_4	CNBP	CCHC-type zinc finger nucleic acid binding protein [Source:HGNC Symbol;Acc:HGNC:13164]	4963	0.07907357066869736	-0.19283423	No	
row_5	ETF1	eukaryotic translation termination factor 1 [Source:HGNC Symbol;Acc:HGNC:3477]	5109	0.07567229866981506	-0.19403873	No	
row_6	HDDC2	HD domain containing 2 [Source:HGNC Symbol;Acc:HGNC:21078]	5276	0.07210135459899902	-0.19657223	No	
row_7	GLO1	glyoxalase I [Source:HGNC Symbol;Acc:HGNC:4323]	5591	0.06524114310741425	-0.20701729	No	
row_8	AP3S1	adaptor related protein complex 3 subunit sigma 1 [Source:HGNC Symbol;Acc:HGNC:2013]	5647	0.06386423856019974	-0.20468041	No	
row_9	PRDX4	peroxiredoxin 4 [Source:HGNC Symbol;Acc:HGNC:17169]	5770	0.061356302350759506	-0.20587763	No	
row_10	CANX	calnexin [Source:HGNC Symbol;Acc:HGNC:1473]	6053	0.05619630590081215	-0.2154486	No	
row_11	EEF1B2	eukaryotic translation elongation factor 1 beta 2 [Source:HGNC Symbol;Acc:HGNC:3208]	6116	0.05479680374264717	-0.2141806	No	
row_12	PABPC1	poly(A) binding protein cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:8554]	6123	0.05472429469227791	-0.21013105	No	
row_13	MRPL23	mitochondrial ribosomal protein L23 [Source:HGNC Symbol;Acc:HGNC:10322]	6308	0.05119700729846954	-0.21522145	No	
row_14	CLNS1A	chloride nucleotide-sensitive channel 1A [Source:HGNC Symbol;Acc:HGNC:2080]	6327	0.05093579739332199	-0.2120702	No	
