NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LAMA2	laminin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6482]	88	0.6584106683731079	0.019829227	Yes	
row_1	CRYAB	crystallin alpha B [Source:HGNC Symbol;Acc:HGNC:2389]	259	0.5540394186973572	0.03173937	Yes	
row_2	APOD	apolipoprotein D [Source:HGNC Symbol;Acc:HGNC:612]	306	0.5348363518714905	0.04911534	Yes	
row_3	IGF1	insulin like growth factor 1 [Source:HGNC Symbol;Acc:HGNC:5464]	344	0.5198188424110413	0.066387095	Yes	
row_4	MEF2C	myocyte enhancer factor 2C [Source:HGNC Symbol;Acc:HGNC:6996]	412	0.4888245761394501	0.081026	Yes	
row_5	CASQ2	calsequestrin 2 [Source:HGNC Symbol;Acc:HGNC:1513]	640	0.4241364002227783	0.08532261	Yes	
row_6	MYH11	myosin heavy chain 11 [Source:HGNC Symbol;Acc:HGNC:7569]	660	0.4188455641269684	0.09977757	Yes	
row_7	WWTR1	WW domain containing transcription regulator 1 [Source:HGNC Symbol;Acc:HGNC:24042]	670	0.4167904555797577	0.1146547	Yes	
row_8	GPX3	glutathione peroxidase 3 [Source:HGNC Symbol;Acc:HGNC:4555]	675	0.4160401523113251	0.12975311	Yes	
row_9	SSPN	sarcospan [Source:HGNC Symbol;Acc:HGNC:11322]	697	0.41004860401153564	0.14378506	Yes	
row_10	TAGLN	transgelin [Source:HGNC Symbol;Acc:HGNC:11553]	707	0.4075210988521576	0.15832137	Yes	
row_11	CD36	CD36 molecule [Source:HGNC Symbol;Acc:HGNC:1663]	760	0.3965313136577606	0.17031331	Yes	
row_12	HSPB8	heat shock protein family B (small) member 8 [Source:HGNC Symbol;Acc:HGNC:30171]	808	0.3853326737880707	0.18214238	Yes	
row_13	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	817	0.3839675486087799	0.1958624	Yes	
row_14	PPP1R3C	protein phosphatase 1 regulatory subunit 3C [Source:HGNC Symbol;Acc:HGNC:9293]	895	0.36854755878448486	0.20558107	Yes	
row_15	SVIL	supervillin [Source:HGNC Symbol;Acc:HGNC:11480]	902	0.3663273751735687	0.21875204	Yes	
row_16	IGFBP7	insulin like growth factor binding protein 7 [Source:HGNC Symbol;Acc:HGNC:5476]	954	0.3537890911102295	0.22922216	Yes	
row_17	COL15A1	collagen type XV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2192]	1118	0.3252761662006378	0.23306926	Yes	
row_18	ERBB3	erb-b2 receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3431]	1134	0.3232492506504059	0.24420829	Yes	
