NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PDK4	pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812]	136	0.6177036762237549	0.043527283	Yes	
row_1	BDH2	3-hydroxybutyrate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:32389]	455	0.4765875041484833	0.0665054	Yes	
row_2	FDX1	ferredoxin 1 [Source:HGNC Symbol;Acc:HGNC:3638]	1248	0.30841952562332153	0.05219781	Yes	
row_3	DECR1	2,4-dienoyl-CoA reductase 1 [Source:HGNC Symbol;Acc:HGNC:2753]	1483	0.2791076898574829	0.063277125	Yes	
row_4	CASP7	caspase 7 [Source:HGNC Symbol;Acc:HGNC:1508]	1655	0.25628936290740967	0.0756342	Yes	
row_5	SDHD	succinate dehydrogenase complex subunit D [Source:HGNC Symbol;Acc:HGNC:10683]	1664	0.25541025400161743	0.096032776	Yes	
row_6	MAOB	monoamine oxidase B [Source:HGNC Symbol;Acc:HGNC:6834]	1714	0.2508496940135956	0.11401929	Yes	
row_7	ATP6V0E1	ATPase H+ transporting V0 subunit e1 [Source:HGNC Symbol;Acc:HGNC:863]	1785	0.24414712190628052	0.13041481	Yes	
row_8	RETSAT	retinol saturase [Source:HGNC Symbol;Acc:HGNC:25991]	1824	0.24026943743228912	0.14808734	Yes	
row_9	ETFDH	electron transfer flavoprotein dehydrogenase [Source:HGNC Symbol;Acc:HGNC:3483]	2524	0.18278641998767853	0.12817901	Yes	
row_10	IDH3A	isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:5384]	2853	0.16163106262683868	0.1250141	Yes	
row_11	TCIRG1	T cell immune regulator 1, ATPase H+ transporting V0 subunit a3 [Source:HGNC Symbol;Acc:HGNC:11647]	2878	0.1604091078042984	0.13688083	Yes	
row_12	HADHB	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta [Source:HGNC Symbol;Acc:HGNC:4803]	2891	0.15967509150505066	0.14928508	Yes	
row_13	NDUFA1	NADH:ubiquinone oxidoreductase subunit A1 [Source:HGNC Symbol;Acc:HGNC:7683]	3045	0.15134908258914948	0.15399332	Yes	
row_14	SDHB	succinate dehydrogenase complex iron sulfur subunit B [Source:HGNC Symbol;Acc:HGNC:10681]	3192	0.14321115612983704	0.15838735	Yes	
row_15	SLC25A20	solute carrier family 25 member 20 [Source:HGNC Symbol;Acc:HGNC:1421]	3236	0.14120599627494812	0.16774477	Yes	
row_16	ETFA	electron transfer flavoprotein subunit alpha [Source:HGNC Symbol;Acc:HGNC:3481]	3280	0.13943001627922058	0.17695759	Yes	
row_17	CPT1A	carnitine palmitoyltransferase 1A [Source:HGNC Symbol;Acc:HGNC:2328]	3480	0.13016685843467712	0.17765148	Yes	
row_18	PHYH	phytanoyl-CoA 2-hydroxylase [Source:HGNC Symbol;Acc:HGNC:8940]	3526	0.12771359086036682	0.18581074	Yes	
row_19	ACADVL	acyl-CoA dehydrogenase very long chain [Source:HGNC Symbol;Acc:HGNC:92]	3556	0.12636058032512665	0.19465622	Yes	
row_20	FXN	frataxin [Source:HGNC Symbol;Acc:HGNC:3951]	3755	0.11786350607872009	0.19439809	Yes	
row_21	ACAT1	acetyl-CoA acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:93]	3821	0.11566271632909775	0.20058064	Yes	
row_22	NQO2	N-ribosyldihydronicotinamide:quinone reductase 2 [Source:HGNC Symbol;Acc:HGNC:7856]	3825	0.11558026075363159	0.20984243	Yes	
row_23	CYB5A	cytochrome b5 type A [Source:HGNC Symbol;Acc:HGNC:2570]	3839	0.11509225517511368	0.21856676	Yes	
row_24	ATP6V1E1	ATPase H+ transporting V1 subunit E1 [Source:HGNC Symbol;Acc:HGNC:857]	3843	0.11491988599300385	0.22777478	Yes	
row_25	ACADSB	acyl-CoA dehydrogenase short/branched chain [Source:HGNC Symbol;Acc:HGNC:91]	3857	0.11436447501182556	0.23643984	Yes	
row_26	ALAS1	5'-aminolevulinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:396]	3893	0.11310308426618576	0.24390718	Yes	
row_27	ALDH6A1	aldehyde dehydrogenase 6 family member A1 [Source:HGNC Symbol;Acc:HGNC:7179]	4019	0.10941926389932632	0.24659495	Yes	
row_28	NDUFB3	NADH:ubiquinone oxidoreductase subunit B3 [Source:HGNC Symbol;Acc:HGNC:7698]	4119	0.1058037281036377	0.25028244	Yes	
row_29	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	4387	0.09669369459152222	0.24486618	Yes	
row_30	OAT	ornithine aminotransferase [Source:HGNC Symbol;Acc:HGNC:8091]	4403	0.09612057358026505	0.25194618	Yes	
row_31	GLUD1	glutamate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:4335]	4443	0.09459298104047775	0.25770724	Yes	
row_32	PRDX3	peroxiredoxin 3 [Source:HGNC Symbol;Acc:HGNC:9354]	4543	0.09165627509355545	0.26024276	Yes	
row_33	GPX4	glutathione peroxidase 4 [Source:HGNC Symbol;Acc:HGNC:4556]	4575	0.09069180488586426	0.26608437	Yes	
row_34	NDUFB5	NADH:ubiquinone oxidoreductase subunit B5 [Source:HGNC Symbol;Acc:HGNC:7700]	4628	0.08907657116651535	0.27074918	Yes	
row_35	MPC1	mitochondrial pyruvate carrier 1 [Source:HGNC Symbol;Acc:HGNC:21606]	4658	0.08813872933387756	0.27648246	Yes	
row_36	ETFB	electron transfer flavoprotein subunit beta [Source:HGNC Symbol;Acc:HGNC:3482]	4718	0.086162269115448	0.28056157	Yes	
row_37	PDHB	pyruvate dehydrogenase E1 subunit beta [Source:HGNC Symbol;Acc:HGNC:8808]	4733	0.08572215586900711	0.28684467	Yes	
row_38	UQCR11	ubiquinol-cytochrome c reductase, complex III subunit XI [Source:HGNC Symbol;Acc:HGNC:30862]	4739	0.0855432003736496	0.29356113	Yes	
row_39	ACAA1	acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:82]	4831	0.08290024101734161	0.2957819	Yes	
row_40	ISCU	iron-sulfur cluster assembly enzyme [Source:HGNC Symbol;Acc:HGNC:29882]	4865	0.08178927004337311	0.30079907	Yes	
row_41	NDUFV2	NADH:ubiquinone oxidoreductase core subunit V2 [Source:HGNC Symbol;Acc:HGNC:7717]	4915	0.08039427548646927	0.30490625	Yes	
row_42	ATP6V1C1	ATPase H+ transporting V1 subunit C1 [Source:HGNC Symbol;Acc:HGNC:856]	5019	0.07792528718709946	0.30612466	Yes	
row_43	AIFM1	apoptosis inducing factor mitochondria associated 1 [Source:HGNC Symbol;Acc:HGNC:8768]	5059	0.07697416096925735	0.3104511	Yes	
row_44	OXA1L	OXA1L mitochondrial inner membrane protein [Source:HGNC Symbol;Acc:HGNC:8526]	5068	0.07666956633329391	0.3162957	Yes	
row_45	NDUFB6	NADH:ubiquinone oxidoreductase subunit B6 [Source:HGNC Symbol;Acc:HGNC:7701]	5111	0.0756562203168869	0.32036552	Yes	
row_46	ATP5MG	ATP synthase membrane subunit g [Source:HGNC Symbol;Acc:HGNC:14247]	5176	0.07426778972148895	0.3232273	Yes	
row_47	CYB5R3	cytochrome b5 reductase 3 [Source:HGNC Symbol;Acc:HGNC:2873]	5192	0.07399773597717285	0.32850593	Yes	
row_48	MRPL34	mitochondrial ribosomal protein L34 [Source:HGNC Symbol;Acc:HGNC:14488]	5220	0.07340428233146667	0.333139	Yes	
