NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DAPP1	dual adaptor of phosphotyrosine and 3-phosphoinositides 1 [Source:HGNC Symbol;Acc:HGNC:16500]	123	0.6284608840942383	0.039937377	Yes	
row_1	IL2RG	interleukin 2 receptor subunit gamma [Source:HGNC Symbol;Acc:HGNC:6010]	169	0.5941531658172607	0.08122582	Yes	
row_2	VAV3	vav guanine nucleotide exchange factor 3 [Source:HGNC Symbol;Acc:HGNC:12659]	248	0.5579013824462891	0.11822436	Yes	
row_3	IRAK4	interleukin 1 receptor associated kinase 4 [Source:HGNC Symbol;Acc:HGNC:17967]	347	0.5170495510101318	0.15124005	Yes	
row_4	SLA	Src like adaptor [Source:HGNC Symbol;Acc:HGNC:10902]	489	0.4665781557559967	0.17842896	Yes	
row_5	ITPR2	inositol 1,4,5-trisphosphate receptor type 2 [Source:HGNC Symbol;Acc:HGNC:6181]	588	0.4399493634700775	0.2057976	Yes	
row_6	CAB39L	calcium binding protein 39 like [Source:HGNC Symbol;Acc:HGNC:20290]	673	0.41631317138671875	0.23212856	Yes	
row_7	EGFR	epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236]	708	0.4070812463760376	0.2602602	Yes	
row_8	GNA14	G protein subunit alpha 14 [Source:HGNC Symbol;Acc:HGNC:4382]	869	0.3732858896255493	0.2796749	Yes	
row_9	TNFRSF1A	TNF receptor superfamily member 1A [Source:HGNC Symbol;Acc:HGNC:11916]	935	0.3586539030075073	0.3027239	Yes	
row_10	CXCR4	C-X-C motif chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:2561]	1158	0.32049307227134705	0.31520063	Yes	
row_11	NOD1	nucleotide binding oligomerization domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16390]	1279	0.30563509464263916	0.33164188	Yes	
row_12	RPS6KA3	ribosomal protein S6 kinase A3 [Source:HGNC Symbol;Acc:HGNC:10432]	1837	0.2388114482164383	0.32154113	Yes	
row_13	STAT2	signal transducer and activator of transcription 2 [Source:HGNC Symbol;Acc:HGNC:11363]	1949	0.228684663772583	0.33279213	Yes	
row_14	RIPK1	receptor interacting serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:10019]	2007	0.2232154756784439	0.3463175	Yes	
row_15	LCK	LCK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6524]	2149	0.2120828479528427	0.35486642	Yes	
row_16	MKNK2	MAPK interacting serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:7111]	2288	0.20104537904262543	0.3627555	Yes	
row_17	RALB	RAS like proto-oncogene B [Source:HGNC Symbol;Acc:HGNC:9840]	2299	0.20007552206516266	0.3769143	Yes	
row_18	MYD88	MYD88 innate immune signal transduction adaptor [Source:HGNC Symbol;Acc:HGNC:7562]	2598	0.17774851620197296	0.37517115	Yes	
row_19	ACTR3	actin related protein 3 [Source:HGNC Symbol;Acc:HGNC:170]	2768	0.16721577942371368	0.37904683	Yes	
row_20	ARPC3	actin related protein 2/3 complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:706]	2772	0.16711795330047607	0.39113846	Yes	
row_21	NCK1	NCK adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:7664]	2776	0.16671888530254364	0.40320083	Yes	
row_22	TBK1	TANK binding kinase 1 [Source:HGNC Symbol;Acc:HGNC:11584]	2987	0.15424682199954987	0.40409562	Yes	
row_23	MAP2K3	mitogen-activated protein kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6843]	3007	0.15295802056789398	0.41435754	Yes	
row_24	RPS6KA1	ribosomal protein S6 kinase A1 [Source:HGNC Symbol;Acc:HGNC:10430]	3044	0.1514422446489334	0.4236663	Yes	
row_25	PTEN	phosphatase and tensin homolog [Source:HGNC Symbol;Acc:HGNC:9588]	3079	0.14934571087360382	0.4329206	Yes	
row_26	SQSTM1	sequestosome 1 [Source:HGNC Symbol;Acc:HGNC:11280]	3095	0.14819900691509247	0.4430321	Yes	
row_27	PPP2R1B	protein phosphatase 2 scaffold subunit Abeta [Source:HGNC Symbol;Acc:HGNC:9303]	3191	0.14331600069999695	0.448823	Yes	
row_28	PRKCB	protein kinase C beta [Source:HGNC Symbol;Acc:HGNC:9395]	3326	0.13727831840515137	0.45223975	Yes	
row_29	RIT1	Ras like without CAAX 1 [Source:HGNC Symbol;Acc:HGNC:10023]	3353	0.13560916483402252	0.4608842	Yes	
row_30	PFN1	profilin 1 [Source:HGNC Symbol;Acc:HGNC:8881]	3667	0.1212877705693245	0.45426267	Yes	
row_31	ATF1	activating transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:783]	3716	0.11942554265260696	0.460632	Yes	
