NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BIRC3	baculoviral IAP repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:591]	11	0.8172361850738525	0.015885988	Yes	
row_1	CD69	CD69 molecule [Source:HGNC Symbol;Acc:HGNC:1694]	12	0.8152106404304504	0.032278758	Yes	
row_2	KYNU	kynureninase [Source:HGNC Symbol;Acc:HGNC:6469]	71	0.6737273335456848	0.042939626	Yes	
row_3	IFIH1	interferon induced with helicase C domain 1 [Source:HGNC Symbol;Acc:HGNC:18873]	94	0.6515616178512573	0.054946616	Yes	
row_4	DDX58	DExD/H-box helicase 58 [Source:HGNC Symbol;Acc:HGNC:19102]	95	0.6507322788238525	0.06803195	Yes	
row_5	CXCL10	C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]	101	0.6448570489883423	0.08075027	Yes	
row_6	GPR183	G protein-coupled receptor 183 [Source:HGNC Symbol;Acc:HGNC:3128]	125	0.6261820197105408	0.09219714	Yes	
row_7	IL7R	interleukin 7 receptor [Source:HGNC Symbol;Acc:HGNC:6024]	131	0.6195497512817383	0.10440657	Yes	
row_8	KLF4	Kruppel like factor 4 [Source:HGNC Symbol;Acc:HGNC:6348]	145	0.6115984320640564	0.11605792	Yes	
row_9	IFIT2	interferon induced protein with tetratricopeptide repeats 2 [Source:HGNC Symbol;Acc:HGNC:5409]	164	0.5987503528594971	0.12720205	Yes	
row_10	TLR2	toll like receptor 2 [Source:HGNC Symbol;Acc:HGNC:11848]	185	0.5847089886665344	0.13796426	Yes	
row_11	PLEK	pleckstrin [Source:HGNC Symbol;Acc:HGNC:9070]	186	0.5843997597694397	0.14971575	Yes	
row_12	IL18	interleukin 18 [Source:HGNC Symbol;Acc:HGNC:5986]	217	0.5697541832923889	0.15967952	Yes	
row_13	CCL2	C-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:10618]	223	0.5667612552642822	0.17082743	Yes	
row_14	F3	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	226	0.5659180283546448	0.18210773	Yes	
row_15	PTGS2	prostaglandin-endoperoxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:9605]	231	0.5635830760002136	0.19324152	Yes	
row_16	CCN1	cellular communication network factor 1 [Source:HGNC Symbol;Acc:HGNC:2654]	281	0.5452240705490112	0.20176633	Yes	
row_17	NR4A2	nuclear receptor subfamily 4 group A member 2 [Source:HGNC Symbol;Acc:HGNC:7981]	355	0.5125681757926941	0.2084399	Yes	
row_18	CXCL11	C-X-C motif chemokine ligand 11 [Source:HGNC Symbol;Acc:HGNC:10638]	467	0.47331559658050537	0.21243276	Yes	
row_19	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	483	0.46751105785369873	0.22108717	Yes	
row_20	NR4A3	nuclear receptor subfamily 4 group A member 3 [Source:HGNC Symbol;Acc:HGNC:7982]	579	0.44228124618530273	0.22525235	Yes	
row_21	MAP3K8	mitogen-activated protein kinase kinase kinase 8 [Source:HGNC Symbol;Acc:HGNC:6860]	587	0.44020605087280273	0.23375587	Yes	
row_22	TNFAIP3	TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]	597	0.43678537011146545	0.24209106	Yes	
row_23	SDC4	syndecan 4 [Source:HGNC Symbol;Acc:HGNC:10661]	599	0.436463862657547	0.25081798	Yes	
row_24	TNFAIP8	TNF alpha induced protein 8 [Source:HGNC Symbol;Acc:HGNC:17260]	602	0.43522176146507263	0.25947013	Yes	
row_25	IL6ST	interleukin 6 signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]	611	0.4332294166088104	0.2677836	Yes	
row_26	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	648	0.42230015993118286	0.27448365	Yes	
row_27	ZFP36	ZFP36 ring finger protein [Source:HGNC Symbol;Acc:HGNC:12862]	659	0.4191174805164337	0.28241378	Yes	
row_28	BCL2A1	BCL2 related protein A1 [Source:HGNC Symbol;Acc:HGNC:991]	663	0.4184257984161377	0.29067844	Yes	
row_29	TAP1	transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]	674	0.41613104939460754	0.29854852	Yes	
row_30	EGR3	early growth response 3 [Source:HGNC Symbol;Acc:HGNC:3240]	680	0.41475310921669006	0.30663976	Yes	
row_31	CD80	CD80 molecule [Source:HGNC Symbol;Acc:HGNC:1700]	698	0.40998491644859314	0.31403786	Yes	
row_32	ABCA1	ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]	746	0.398870587348938	0.31971923	Yes	
row_33	CCL4	C-C motif chemokine ligand 4 [Source:HGNC Symbol;Acc:HGNC:10630]	773	0.39369097352027893	0.32634172	Yes	
row_34	SAT1	spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]	800	0.38674241304397583	0.33282447	Yes	
row_35	FOSB	FosB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3797]	810	0.38460972905158997	0.34011048	Yes	
row_36	EGR2	early growth response 2 [Source:HGNC Symbol;Acc:HGNC:3239]	813	0.3845624625682831	0.34774396	Yes	
row_37	PTPRE	protein tyrosine phosphatase receptor type E [Source:HGNC Symbol;Acc:HGNC:9669]	819	0.3838987350463867	0.35521474	Yes	
row_38	TRIP10	thyroid hormone receptor interactor 10 [Source:HGNC Symbol;Acc:HGNC:12304]	824	0.383245050907135	0.3627222	Yes	
row_39	CCL5	C-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10632]	852	0.37707874178886414	0.36896086	Yes	
row_40	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]	894	0.3686884045600891	0.37433395	Yes	
row_41	PTGER4	prostaglandin E receptor 4 [Source:HGNC Symbol;Acc:HGNC:9596]	930	0.35973453521728516	0.37982565	Yes	
row_42	CFLAR	CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]	940	0.3577447235584259	0.38657144	Yes	
row_43	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	958	0.35228487849235535	0.39280924	Yes	
row_44	ICAM1	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]	988	0.34708255529403687	0.39834517	Yes	
row_45	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	1004	0.34275829792022705	0.40449098	Yes	
row_46	TNC	tenascin C [Source:HGNC Symbol;Acc:HGNC:5318]	1014	0.341393381357193	0.41090795	Yes	
row_47	PTX3	pentraxin 3 [Source:HGNC Symbol;Acc:HGNC:9692]	1017	0.3410775661468506	0.417667	Yes	
row_48	BTG2	BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]	1049	0.33602476119995117	0.42288104	Yes	
row_49	NFKB1	nuclear factor kappa B subunit 1 [Source:HGNC Symbol;Acc:HGNC:7794]	1052	0.3355925381183624	0.4295298	Yes	
row_50	NR4A1	nuclear receptor subfamily 4 group A member 1 [Source:HGNC Symbol;Acc:HGNC:7980]	1062	0.3342270851135254	0.43580267	Yes	
row_51	SERPINB8	serpin family B member 8 [Source:HGNC Symbol;Acc:HGNC:8952]	1085	0.3303084373474121	0.44134971	Yes	
row_52	CXCL2	C-X-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:4603]	1097	0.32819947600364685	0.44740185	Yes	
row_53	SOCS3	suppressor of cytokine signaling 3 [Source:HGNC Symbol;Acc:HGNC:19391]	1107	0.3266919255256653	0.45352322	Yes	
row_54	SLC2A3	solute carrier family 2 member 3 [Source:HGNC Symbol;Acc:HGNC:11007]	1122	0.3249388337135315	0.45936045	Yes	
row_55	IRF1	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]	1135	0.32306304574012756	0.46525952	Yes	
row_56	CD83	CD83 molecule [Source:HGNC Symbol;Acc:HGNC:1703]	1161	0.32024309039115906	0.47045484	Yes	
row_57	DUSP1	dual specificity phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3064]	1172	0.3181149363517761	0.47635394	Yes	
row_58	EGR1	early growth response 1 [Source:HGNC Symbol;Acc:HGNC:3238]	1191	0.31561851501464844	0.4818047	Yes	
row_59	DUSP5	dual specificity phosphatase 5 [Source:HGNC Symbol;Acc:HGNC:3071]	1200	0.3135457932949066	0.48771146	Yes	
row_60	RIPK2	receptor interacting serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:10020]	1212	0.3127477765083313	0.4934529	Yes	
row_61	NFE2L2	nuclear factor, erythroid 2 like 2 [Source:HGNC Symbol;Acc:HGNC:7782]	1251	0.3078610897064209	0.49775216	Yes	
row_62	BCL6	BCL6 transcription repressor [Source:HGNC Symbol;Acc:HGNC:1001]	1259	0.30720046162605286	0.5035811	Yes	
row_63	MSC	musculin [Source:HGNC Symbol;Acc:HGNC:7321]	1301	0.3017156720161438	0.5076075	Yes	
row_64	KLF9	Kruppel like factor 9 [Source:HGNC Symbol;Acc:HGNC:1123]	1321	0.29950955510139465	0.5126845	Yes	
row_65	TNFRSF9	TNF receptor superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11924]	1335	0.29828891158103943	0.51803565	Yes	
row_66	IER3	immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]	1355	0.29584968090057373	0.5230391	Yes	
row_67	KLF6	Kruppel like factor 6 [Source:HGNC Symbol;Acc:HGNC:2235]	1367	0.294784277677536	0.5284193	Yes	
row_68	SLC16A6	solute carrier family 16 member 6 [Source:HGNC Symbol;Acc:HGNC:10927]	1370	0.2945937216281891	0.53424364	Yes	
row_69	TRAF1	TNF receptor associated factor 1 [Source:HGNC Symbol;Acc:HGNC:12031]	1376	0.29415324330329895	0.5399098	Yes	
row_70	SGK1	serum/glucocorticoid regulated kinase 1 [Source:HGNC Symbol;Acc:HGNC:10810]	1393	0.29068663716316223	0.5449587	Yes	
row_71	CCRL2	C-C motif chemokine receptor like 2 [Source:HGNC Symbol;Acc:HGNC:1612]	1408	0.2889981269836426	0.5500732	Yes	
row_72	PLK2	polo like kinase 2 [Source:HGNC Symbol;Acc:HGNC:19699]	1415	0.2873968780040741	0.55555373	Yes	
row_73	KLF2	Kruppel like factor 2 [Source:HGNC Symbol;Acc:HGNC:6347]	1479	0.27971044182777405	0.5580426	Yes	
row_74	CEBPB	CCAAT enhancer binding protein beta [Source:HGNC Symbol;Acc:HGNC:1834]	1505	0.276357501745224	0.56235546	Yes	
row_75	FOSL2	FOS like 2, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3798]	1521	0.2736482620239258	0.56711155	Yes	
row_76	OLR1	oxidized low density lipoprotein receptor 1 [Source:HGNC Symbol;Acc:HGNC:8133]	1546	0.27137598395347595	0.57137394	Yes	
